"";"Občina";"Leto";"Število.dokončanih.stanovanj.na.1000.prebivalcev";"Povprečna.površina.dokončanih.stanovanj..m2."
"148";"Bloke";2013;"3.8";156
"149";"Bloke";2014;"0.6";71
"150";"Bloke";2015;"1.3";178
"151";"Bloke";2016;"1.9";180
"152";"Bloke";2017;"1.3";89
"153";"Bohinj";2017;NA;NA
"154";"Bohinj";2002;"5.1";98
"155";"Bohinj";2003;"3.6";99
"156";"Bohinj";2004;"3.8";87
"157";"Bohinj";2005;"2.6";123
"158";"Bohinj";2006;"11.7";58
"159";"Bohinj";2007;"12.7";96
"160";"Bohinj";2008;"1.0";110
"161";"Bohinj";2009;"1.3";256
"162";"Bohinj";2010;"5.3";118
"163";"Bohinj";2011;"5.7";82
"164";"Bohinj";2012;"1.3";97
"165";"Bohinj";2013;"1.9";102
"166";"Bohinj";2014;"2.7";94
"167";"Bohinj";2015;"0.8";114
"168";"Bohinj";2016;"2.7";100
"169";"Bohinj";2017;"4.7";109
"170";"Borovnica";2017;NA;NA
"171";"Borovnica";2002;"2.4";105
"172";"Borovnica";2003;"3.4";102
"173";"Borovnica";2004;"2.6";86
"174";"Borovnica";2005;"3.7";110
"175";"Borovnica";2006;"3.1";96
"176";"Borovnica";2007;"0.5";134
"177";"Borovnica";2008;"8.7";74
"178";"Borovnica";2009;"1.8";152
"179";"Borovnica";2010;"51.7";80
"180";"Borovnica";2011;"1.8";201
"181";"Borovnica";2012;"2.5";185
"182";"Borovnica";2013;"0.5";243
"183";"Borovnica";2014;"2.6";204
"184";"Borovnica";2015;"1.9";191
"185";"Borovnica";2016;"2.1";146
"186";"Borovnica";2017;"1.8";140
"187";"Bovec";2017;NA;NA
"188";"Bovec";2002;"18.8";100
"189";"Bovec";2003;"11.4";111
"190";"Bovec";2004;"13.0";109
"191";"Bovec";2005;"1.2";141
"192";"Bovec";2006;"3.3";127
"193";"Bovec";2007;"9.0";76
"194";"Bovec";2008;"7.8";112
"195";"Bovec";2009;"2.2";113
"196";"Bovec";2010;"8.9";80
"197";"Bovec";2011;"1.2";133
"198";"Bovec";2012;"2.2";123
"199";"Bovec";2013;"2.5";136
"200";"Bovec";2014;"1.6";155
"201";"Bovec";2015;"1.0";120
"202";"Bovec";2016;"5.5";93
"203";"Bovec";2017;"0.7";70
"204";"Braslovče";2017;NA;NA
"205";"Braslovče";2002;"4.9";163
"206";"Braslovče";2003;"3.1";158
"207";"Braslovče";2004;"3.3";176
"208";"Braslovče";2005;"1.7";148
"209";"Braslovče";2006;"1.5";154
"210";"Braslovče";2007;"1.5";189
"211";"Braslovče";2008;"2.9";164
"212";"Braslovče";2009;"4.6";182
"213";"Braslovče";2010;"4.7";211
"214";"Braslovče";2011;"1.7";168
"215";"Braslovče";2012;"1.8";179
"216";"Braslovče";2013;"3.3";162
"217";"Braslovče";2014;"3.5";202
"218";"Braslovče";2015;"2.9";160
"219";"Braslovče";2016;"2.4";159
"220";"Braslovče";2017;"2.2";151
"221";"Brda";2017;NA;NA
"222";"Brda";2002;"5.0";172
"223";"Brda";2003;"5.2";133
"224";"Brda";2004;"4.3";166
"225";"Brda";2005;"4.3";129
"226";"Brda";2006;"4.2";178
"227";"Brda";2007;"3.1";171
"228";"Brda";2008;"3.9";141
"229";"Brda";2009;"3.3";112
"230";"Brda";2010;"3.6";154
"231";"Brda";2011;"3.1";161
"232";"Brda";2012;"1.6";180
"233";"Brda";2013;"2.3";149
"234";"Brda";2014;"1.2";113
"235";"Brda";2015;"3.2";138
"236";"Brda";2016;"1.8";160
"237";"Brda";2017;"1.6";233
"238";"Brezovica";2017;NA;NA
"239";"Brezovica";2002;"3.9";127
"240";"Brezovica";2003;"3.2";114
"241";"Brezovica";2004;"4.6";135
"242";"Brezovica";2005;"5.6";142
"243";"Brezovica";2006;"6.6";156
"244";"Brezovica";2007;"4.3";154
"245";"Brezovica";2008;"11.2";116
"246";"Brezovica";2009;"4.9";147
"247";"Brezovica";2010;"4.1";146
"248";"Brezovica";2011;"2.8";167
"249";"Brezovica";2012;"1.4";197
"250";"Brezovica";2013;"1.3";190
"251";"Brezovica";2014;"0.9";170
"252";"Brezovica";2015;"2.1";146
"253";"Brezovica";2016;"1.7";170
"254";"Brezovica";2017;"1.3";168
"255";"Brežice";2017;NA;NA
"256";"Brežice";2002;"2.9";97
"257";"Brežice";2003;"2.2";142
"258";"Brežice";2004;"1.6";128
"259";"Brežice";2005;"2.5";128
"260";"Brežice";2006;"4.5";127
"261";"Brežice";2007;"1.9";123
"262";"Brežice";2008;"5.2";109
"263";"Brežice";2009;"2.3";144
"264";"Brežice";2010;"3.6";142
"265";"Brežice";2011;"2.3";147
"266";"Brežice";2012;"1.6";157
"267";"Brežice";2013;"1.9";143
"268";"Brežice";2014;"1.0";159
"269";"Brežice";2015;"1.1";150
"270";"Brežice";2016;"1.2";162
"271";"Brežice";2017;"2.2";125
"272";"Cankova";2017;NA;NA
"273";"Cankova";2002;"0.5";70
"274";"Cankova";2003;"1.0";133
"275";"Cankova";2004;"0.5";121
"276";"Cankova";2005;"2.0";82
