"Vrednost opravljenih gradbenih del po: INVESTITOR, KLASIFIKACIJA VRST"
"OBJEKTOV [CC-SI], LETO , MERITVE"

"Investitor";"Vrsta objekta";"Leto";"Tip gradbene aktivnosti - SKUPAJ";"Novogradnja";"Poveèava";"Rekonstrukcija in sprememba namembnosti";"Investicijska vzdrževalna dela";"Redna vzdrževalna dela"
"Investitor - SKUPAJ"
" ";"CC_SI - SKUPAJ"
" ";" ";"2017";655167673;374966812;16257220;108870143;3019318;152054180
" ";"121 Gostinske stavbe"
" ";" ";"2010";79708752;48740067;z;z;z;8912390
" ";" ";"2011";40683438;z;z;7528191;7947082;z
" ";" ";"2012";19079828;4089591;4690183;z;z;4658202
" ";" ";"2013";16697554;6914582;z;z;z;6079595
" ";" ";"2014";17202701;8433532;19032;z;z;z
" ";" ";"2015";18168372;12734688;z;1762419;32626;z
" ";" ";"2016";37925928;21915456;z;10052662;z;5854706
" ";" ";"2017";47971656;31198258;145954;9842910;278330;6506205
" ";"1211 Hotelske in podobne gostinske stavbe"
" ";" ";"2010";78507025;48121340;z;z;z;8912390
" ";" ";"2011";39498730;z;z;z;z;z
" ";" ";"2012";18019065;z;4690183;z;z;3931296
" ";" ";"2013";15134653;z;z;2993956;z;5895943
" ";" ";"2014";15653498;7324476;19032;1401018;z;z
" ";" ";"2015";17061491;11855509;z;1755848;z;z
" ";" ";"2016";35977794;21130399;z;9721510;z;5022782
" ";" ";"2017";45725864;29655662;z;9591270;278330;z
" ";"1212 Druge gostinske stavbe za kratkotrajno nastanitev"
" ";" ";"2010";1201727;618727;-;z;z;-
" ";" ";"2011";1184708;z;z;z;z;z
" ";" ";"2012";1060763;z;-;z;-;726906
" ";" ";"2013";1562900;z;z;z;-;183652
" ";" ";"2014";1549203;1109057;-;z;z;z
" ";" ";"2015";1106881;879179;z;6571;z;z
" ";" ";"2016";1948133;785057;-;331152;-;831924
" ";" ";"2017";2245792;1542597;z;251639;-;z
" ";"122 Poslovne in upravne stavbe"
" ";" ";"2010";79370492;53519707;2235290;6199429;13194092;4221973
" ";" ";"2011";111588992;67257740;3439374;12306029;22416210;6169639
" ";" ";"2012";124006348;55305284;z;26848764;z;30883478
" ";" ";"2013";80658660;21822386;429952;22398800;5552977;30454545
" ";" ";"2014";95608711;31899857;808280;30923537;4411785;27565251
" ";" ";"2015";77247708;30193307;492751;19357127;304726;26899798
" ";" ";"2016";91385787;35191381;1938757;16426126;575240;37254283
" ";" ";"2017";116730327;45898070;492974;25093091;238842;45007350
" ";"1220 Poslovne in upravne stavbe"
" ";" ";"2010";79370492;53519707;2235290;6199429;13194092;4221973
" ";" ";"2011";111588992;67257740;3439374;12306029;22416210;6169639
" ";" ";"2012";124006348;55305284;z;26848764;z;30883478
" ";" ";"2013";80658660;21822386;429952;22398800;5552977;30454545
" ";" ";"2014";95608711;31899857;808280;30923537;4411785;27565251
" ";" ";"2015";77247708;30193307;492751;19357127;304726;26899798
" ";" ";"2016";91385787;35191381;1938757;16426126;575240;37254283
" ";" ";"2017";116730327;45898070;492974;25093091;238842;45007350
" ";"123 Trgovske stavbe in stavbe za storitvene dejavnosti"
" ";" ";"2010";315199532;273603546;5874734;23339360;8537208;3844683
" ";" ";"2011";136759632;107795580;1522723;8735508;11695910;7009912
" ";" ";"2012";122452961;93037506;z;14453341;z;14639713
" ";" ";"2013";70560904;44722176;z;11216556;z;13807478
