"Vrednost opravljenih gradbenih del po: INVESTITOR, KLASIFIKACIJA VRST"
"OBJEKTOV [CC-SI], LETO , MERITVE"

"Investitor";"Vrsta objekta";"Leto";"Tip gradbene aktivnosti - SKUPAJ";"Novogradnja";"Poveèava";"Rekonstrukcija in sprememba namembnosti";"Investicijska vzdrževalna dela";"Redna vzdrževalna dela"
"Investitor - SKUPAJ"
" ";"CC_SI - SKUPAJ"
" ";" ";"2016";36975143;31991179;z;z;-;z
" ";" ";"2017";35582707;19317879;z;z;-;15451560
" ";"2153 Sistemi za namakanje in osuševanje, akvadukti"
" ";" ";"2010";4164012;1957200;-;878435;z;z
" ";" ";"2011";1092878;z;-;z;z;z
" ";" ";"2012";1447013;z;-;-;-;z
" ";" ";"2013";154857;z;-;-;-;z
" ";" ";"2014";z;z;-;-;-;z
" ";" ";"2015";448487;z;-;z;-;z
" ";" ";"2016";132356;58837;-;z;-;z
" ";" ";"2017";643900;z;-;-;-;z
" ";"22 Cevovodi, komunikacijska omrežja in elektroenergetski vodi"
" ";" ";"2010";300458838;z;z;27497599;z;13287228
" ";" ";"2011";298921776;240768185;z;z;13063263;z
" ";" ";"2012";z;z;z;32022672;-;31094313
" ";" ";"2013";316270449;243167121;z;z;-;z
" ";" ";"2014";472244825;340043888;z;z;-;z
" ";" ";"2015";365582082;248071919;61270;81517170;-;35931723
" ";" ";"2016";268669146;193995343;602634;47336444;-;26734725
" ";" ";"2017";333837565;254952471;1375117;50069200;-;27440777
" ";"221 Daljinski cevovodi, daljinska [hrbtenièna] komunikacijska omrežja in daljinski [prenosni] elektroenergetski vodi"
" ";" ";"2010";z;z;z;2508662;z;z
" ";" ";"2011";104423967;94565251;z;5020569;z;z
" ";" ";"2012";69253232;z;z;5673083;-;3283751
" ";" ";"2013";z;z;z;z;-;1904669
" ";" ";"2014";z;z;-;z;-;z
" ";" ";"2015";45281029;35958341;z;5084604;-;z
" ";" ";"2016";42751493;33827542;-;4815503;-;4108448
" ";" ";"2017";47398619;36857216;z;5161279;-;z
" ";"2211 Naftovodi in daljinski [prenosni] plinovodi"
" ";" ";"2010";42721887;z;-;-;z;-
" ";" ";"2011";76126624;z;-;z;-;z
" ";" ";"2012";39298014;37984705;-;z;-;z
" ";" ";"2013";z;z;-;-;-;-
" ";" ";"2014";29213877;28937712;-;-;-;276165
" ";" ";"2015";262781;z;-;-;-;z
" ";" ";"2016";1513412;1065435;-;-;-;447977
" ";" ";"2017";9445406;z;-;z;-;z
" ";"2212 Daljinski vodovodi"
" ";" ";"2010";6801968;5970656;z;-;-;z
" ";" ";"2011";10910842;z;z;z;z;z
" ";" ";"2012";5452192;5234890;-;z;-;z
" ";" ";"2013";z;15725709;-;z;-;z
" ";" ";"2014";z;z;-;z;-;z
" ";" ";"2015";26895448;21813125;z;2264402;-;z
" ";" ";"2016";16873255;14602304;-;1885804;-;385146
" ";" ";"2017";19973840;16483172;-;2586507;-;904161
" ";"2213 Daljinska [hrbtenièna] komunikacijska omrežja"
" ";" ";"2010";13855312;12886497;-;z;z;z
" ";" ";"2011";7018581;z;-;-;z;z
" ";" ";"2012";12215299;11916566;z;-;-;z
" ";" ";"2013";10309184;z;-;-;-;z
" ";" ";"2014";18770253;18526288;-;z;-;z
" ";" ";"2015";3624309;z;-;-;-;z
" ";" ";"2016";4079648;3713095;-;-;-;366553
" ";" ";"2017";2403893;z;z;z;-;-
" ";"2214 Daljinski [prenosni] elektroenergetski vodi"
" ";" ";"2010";z;z;-;z;z;z
" ";" ";"2011";10367920;z;-;z;z;z
" ";" ";"2012";12287727;z;-;z;-;1494766
" ";" ";"2013";20163964;11334426;z;z;-;z
" ";" ";"2014";22173402;11804051;-;4937920;-;5431430
" ";" ";"2015";14498492;10384406;z;2820202;-;z
" ";" ";"2016";20285178;14446708;-;2929698;-;2908772
" ";" ";"2017";15575480;10552328;-;1578061;-;3445091
" ";"222 Lokalni cevovodi, lokalni [distribucijski] elektroenergetski vodi in lokalna [dostopovna] komunikacijska omrežja"
" ";" ";"2010";z;184505648;z;24988937;z;z
" ";" ";"2011";194497809;146202933;z;z;z;z
" ";" ";"2012";z;z;z;26349589;-;27810562
" ";" ";"2013";z;z;z;z;-;z
" ";" ";"2014";z;z;z;z;-;z
" ";" ";"2015";320301053;212113578;z;76432565;-;z
" ";" ";"2016";225917652;160167800;602634;42520941;-;22626277
" ";" ";"2017";286438946;218095255;z;44907921;-;z
" ";"2221 Lokalni [distribucijski] plinovodi"
" ";" ";"2010";12907036;z;-;z;-;-
" ";" ";"2011";3637057;z;-;z;z;-
" ";" ";"2012";9873523;z;-;z;-;673484
" ";" ";"2013";1385849;1068711;-;z;-;z
" ";" ";"2014";z;z;-;z;-;119875
" ";" ";"2015";2847956;2611880;-;41808;-;194268
" ";" ";"2016";2328354;1911851;-;147975;-;268528
" ";" ";"2017";2059473;544390;z;189874;-;z
" ";"2222 Lokalni vodovodi"
" ";" ";"2010";37865206;z;-;z;2219370;587314
" ";" ";"2011";35946148;23929426;-;7945763;2979885;1091075
" ";" ";"2012";z;z;-;5500866;-;8615886
" ";" ";"2013";z;z;z;7425013;-;2217706
" ";" ";"2014";97959726;64444086;z;z;-;z
" ";" ";"2015";55038762;29540879;-;13728273;-;11769610
" ";" ";"2016";46079535;29656665;431011;9874982;-;6116877
" ";" ";"2017";92384710;72080511;27862;15575127;-;4701211
" ";"2223 Cevovodi za odpadno vodo"
" ";" ";"2010";z;64926507;z;5059135;z;z
" ";" ";"2011";54616329;z;z;z;z;z
" ";" ";"2012";62804774;59394054;z;z;-;2346476
" ";" ";"2013";88558560;80042031;-;7447408;-;1069121
" ";" ";"2014";159397931;136035458;2609676;9426376;-;11326421
" ";" ";"2015";162700294;115898928;19995;42604544;-;4176826
" ";" ";"2016";59435327;47306227;z;10299619;-;z
" ";" ";"2017";44354426;34327523;-;6731501;-;3295402
" ";"2224 Lokalni [distribucijski] elektroenergetski vodi in lokalna [dostopovna] komunikacijska omrežja"
" ";" ";"2010";106006432;75912051;-;15631334;2521304;11941743
" ";" ";"2011";100298275;69776070;-;15211977;3149361;12160866
" ";" ";"2012";108075657;z;z;15121702;-;16174717
" ";" ";"2013";95631645;52883478;z;z;-;z
" ";" ";"2014";123285333;60239793;z;z;-;z
" ";" ";"2015";99714041;64061891;z;20057940;-;z
" ";" ";"2016";118074436;81293056;z;22198365;-;z
" ";" ";"2017";147640337;111142831;55096;22411419;-;14030990
" ";"23 Industrijski gradbeni kompleksi"
" ";" ";"2010";96540024;79881049;-;10240942;1879389;4538644
" ";" ";"2011";107152953;83489998;z;z;12640749;z
" ";" ";"2012";83188043;z;z;19369940;-;16015318
" ";" ";"2013";59782758;z;z;6187304;-;z
" ";" ";"2014";z;36006065;z;9039904;-;z
" ";" ";"2015";41588414;16285988;421941;7355421;-;17525064
" ";" ";"2016";44137874;16556758;336453;6615574;-;20629088
" ";" ";"2017";50783992;24646740;659017;7936394;-;17541841
" ";"230 Industrijski gradbeni kompleksi"
" ";" ";"2010";96540024;79881049;-;10240942;1879389;4538644
" ";" ";"2011";107152953;83489998;z;z;12640749;z
" ";" ";"2012";83188043;z;z;19369940;-;16015318
" ";" ";"2013";59782758;z;z;6187304;-;z
" ";" ";"2014";z;36006065;z;9039904;-;z
" ";" ";"2015";41588414;16285988;421941;7355421;-;17525064
" ";" ";"2016";44137874;16556758;336453;6615574;-;20629088
" ";" ";"2017";50783992;24646740;659017;7936394;-;17541841
" ";"2301 Objekti za pridobivanje in izkorišèanje mineralnih surovin"
" ";" ";"2010";z;z;-;-;-;-
" ";" ";"2011";4981687;z;z;z;z;-
" ";" ";"2012";6321870;z;-;z;-;4359513
" ";" ";"2013";7777872;z;-;-;-;z
" ";" ";"2014";8254000;3144626;-;-;-;5109374
" ";" ";"2015";3387506;2033320;z;z;-;1344966
" ";" ";"2016";2870326;2556883;z;z;-;168682
" ";" ";"2017";1179680;z;-;z;-;z
" ";"2302 Elektrarne in drugi energetski objekti"
" ";" ";"2010";84498183;71388490;-;z;z;z
" ";" ";"2011";92505381;75487252;-;z;8951132;z
" ";" ";"2012";63192669;42566828;-;11461520;-;9164321
" ";" ";"2013";44616131;26171638;z;z;-;z
" ";" ";"2014";z;26238128;-;5253374;-;z
" ";" ";"2015";25132029;9648982;z;z;-;11870049
" ";" ";"2016";26470854;8945865;-;795365;-;16729624
" ";" ";"2017";25974923;12235403;-;1621572;-;12117947
" ";"2303 Objekti kemiène industrije"
" ";" ";"2010";z;z;-;z;z;z
" ";" ";"2011";1568153;z;-;z;z;z
" ";" ";"2012";3116598;z;-;z;-;280379
" ";" ";"2013";748235;z;-;-;-;z
" ";" ";"2014";z;-;-;z;-;65487
" ";" ";"2015";2212845;-;z;z;-;616971
" ";" ";"2016";2390162;-;z;z;-;2225762
" ";" ";"2017";7518559;z;72736;z;-;1856123
" ";"2304 Drugi industrijski gradbeni kompleksi, ki niso uvršèeni drugje"
" ";" ";"2010";z;8083227;-;z;z;z
" ";" ";"2011";8097732;5869322;-;z;z;z
" ";" ";"2012";10556907;z;z;4993972;-;2211106
" ";" ";"2013";6640521;4814744;z;z;-;z
" ";" ";"2014";z;6623312;z;z;-;1489591
" ";" ";"2015";10856035;4603687;z;z;-;3693077
" ";" ";"2016";12406531;5054010;212730;5634771;-;1505021
" ";" ";"2017";16110830;z;586281;5016500;-;z
" ";"24 Drugi gradbeni inženirski objekti"
" ";" ";"2010";126012391;88418006;2230441;13597327;10549573;11217044
" ";" ";"2011";50772137;26755770;1150224;7977830;8978472;5909841
" ";" ";"2012";z;z;1220359;5101771;-;15523684
" ";" ";"2013";74275969;z;252865;z;-;24289608
" ";" ";"2014";z;z;514437;z;-;20284000
" ";" ";"2015";67107875;40056565;214683;9439773;-;17396854
" ";" ";"2016";62792262;34581121;805013;13980004;-;13426125
" ";" ";"2017";45274642;22417178;1300867;9313153;-;12243443
" ";"241 Objekti za šport, rekreacijo in prosti èas"
" ";" ";"2010";62279512;53521176;z;7142194;569796;z
" ";" ";"2011";14102210;10673604;-;2010333;1365680;52593
" ";" ";"2012";6978664;z;z;723277;-;1000366
" ";" ";"2013";11581598;z;-;z;-;2292179
" ";" ";"2014";z;z;z;z;-;1051712
" ";" ";"2015";10037242;6315167;63652;2899521;-;758902
" ";" ";"2016";9099868;3260992;148136;5219663;-;471076
" ";" ";"2017";11286921;7300969;610877;2728734;-;646342
" ";"2411 Športna igrišèa"
" ";" ";"2010";51260482;47073192;z;z;71068;z
" ";" ";"2011";6030706;4530224;-;488163;z;z
" ";" ";"2012";3105012;1628317;-;578270;-;898424
" ";" ";"2013";4099679;z;-;z;-;1393914
" ";" ";"2014";4586309;z;-;z;-;216671
" ";" ";"2015";3623268;740278;z;2345204;-;z
" ";" ";"2016";2734680;1486419;z;887416;-;z
" ";" ";"2017";7260038;5468524;z;849154;-;z
" ";"2412 Drugi gradbeni inženirski objekti za šport, rekreacijo in prosti èas"
" ";" ";"2010";11019030;6447984;z;z;498728;z
" ";" ";"2011";8071503;6143379;-;1522169;z;z
" ";" ";"2012";3873652;z;z;145007;-;101942
" ";" ";"2013";7481919;6258833;-;324822;-;898264
" ";" ";"2014";z;4250809;z;3147166;-;835040
" ";" ";"2015";6413974;5574889;z;554317;-;z
" ";" ";"2016";6365188;1774573;z;4332247;-;z
" ";" ";"2017";4026884;1832445;z;1879579;-;z
" ";"242 Drugi gradbeni inženirski objekti"
" ";" ";"2010";63732880;34896830;z;6455133;9979777;z
" ";" ";"2011";36669927;16082166;1150224;5967497;7612792;5857248
" ";" ";"2012";z;z;z;4378494;-;14523318
" ";" ";"2013";62694370;27979927;252865;12464149;-;21997429
" ";" ";"2014";66640209;32164985;z;z;-;19232289
" ";" ";"2015";57070633;33741397;151031;6540252;-;16637952
" ";" ";"2016";53692395;31320128;656877;8760341;-;12955048
" ";" ";"2017";33987721;15116209;689990;6584420;-;11597102
" ";"2420 Drugi gradbeni inženirski objekti"
" ";" ";"2010";63732880;34896830;z;6455133;9979777;z
" ";" ";"2011";36669927;16082166;1150224;5967497;7612792;5857248
" ";" ";"2012";z;z;z;4378494;-;14523318
" ";" ";"2013";62694370;27979927;252865;12464149;-;21997429
" ";" ";"2014";66640209;32164985;z;z;-;19232289
" ";" ";"2015";57070633;33741397;151031;6540252;-;16637952
" ";" ";"2016";53692395;31320128;656877;8760341;-;12955048
" ";" ";"2017";33987721;15116209;689990;6584420;-;11597102
"Pravna oseba"
" ";"CC_SI - SKUPAJ"
" ";" ";"2010";2448079119;1610146731;24993588;326595171;241601152;244742478
" ";" ";"2011";1927261829;1072765984;22408331;270052916;337475223;224559375
" ";" ";"2012";1616440466;883277367;13607959;323390629;12977063;383187447
" ";" ";"2013";1549841700;730039512;14071617;344748442;15195711;445786418
" ";" ";"2014";1792779058;837401638;15424193;393681126;12723064;533549037
" ";" ";"2015";1729072617;766146381;20621087;404933090;5687336;531684724
" ";" ";"2016";1430994542;665030664;18283550;311880554;6148952;429650822
" ";" ";"2017";1773500134;918127893;22320472;362671229;3871226;466509314
" ";"1 STAVBE"
" ";" ";"2010";1144842448;900179523;z;z;76391667;z
" ";" ";"2011";851410252;595463388;17647382;87711741;115237928;35349812
" ";" ";"2012";706028112;427964767;11757774;108302177;12977063;145026332
" ";" ";"2013";599650788;334389964;z;z;15195711;139593844
" ";" ";"2014";528138792;257361382;z;z;12723064;146404100
" ";" ";"2015";582082802;308577586;14507753;114373997;5687336;138936130
" ";" ";"2016";570339444;290935245;15862510;104302042;6148952;153090695
" ";" ";"2017";793820521;468443701;16368084;122225306;3871226;182912203
" ";"11 STANOVANJSKE STAVBE"
" ";" ";"2010";185135210;165329680;z;z;8901805;z
" ";" ";"2011";172016339;143415688;z;z;z;z
" ";" ";"2012";116754709;81985808;z;8500784;z;24233651
" ";" ";"2013";102531413;56781985;z;z;1678123;31117748
" ";" ";"2014";76900625;41193835;15187;z;z;30596140
" ";" ";"2015";111969327;62906769;z;8230572;z;40026829
" ";" ";"2016";110279877;51981368;466809;12809281;1458530;43563888
" ";" ";"2017";160187529;108643039;z;14305910;z;35935429
" ";"111 Enostanovanjske stavbe"
" ";" ";"2010";z;z;z;z;z;z
" ";" ";"2011";z;z;z;z;z;z
" ";" ";"2012";15372879;12202891;z;1141924;z;1892110
" ";" ";"2013";13746085;9201688;-;z;z;4087623
" ";" ";"2014";17846020;11449212;z;595874;z;5784575
" ";" ";"2015";12686678;6221172;z;1694613;z;4569197
" ";" ";"2016";17545228;12092654;30565;1401479;12556;4007974
" ";" ";"2017";28660118;22252247;47377;1178859;145722;5035914
" ";"1110 Enostanovanjske stavbe"
" ";" ";"2010";z;z;z;z;z;z
" ";" ";"2011";z;z;z;z;z;z
" ";" ";"2012";15372879;12202891;z;1141924;z;1892110
" ";" ";"2013";13746085;9201688;-;z;z;4087623
" ";" ";"2014";17846020;11449212;z;595874;z;5784575
" ";" ";"2015";12686678;6221172;z;1694613;z;4569197
" ";" ";"2016";17545228;12092654;30565;1401479;12556;4007974
" ";" ";"2017";28660118;22252247;47377;1178859;145722;5035914
" ";"112 Veèstanovanjske stavbe"
" ";" ";"2010";140176150;127602842;z;z;z;z
" ";" ";"2011";123818676;104002248;-;3973893;12995915;2846619
" ";" ";"2012";69852929;51114882;z;1644787;z;16692041
" ";" ";"2013";70773824;43142001;z;z;z;22810845
" ";" ";"2014";45113134;20835294;z;z;z;21622648
" ";" ";"2015";79631679;45394330;z;3563586;z;30109859
" ";" ";"2016";77200587;33812264;z;10034828;z;32314491
" ";" ";"2017";107693985;69918037;z;z;z;26967021
" ";"1121 Dvostanovanjske stavbe"
" ";" ";"2010";5731089;5147674;-;-;z;z
" ";" ";"2011";3517732;3324555;-;z;73861;z
" ";" ";"2012";2844113;2559539;-;36185;-;248389
" ";" ";"2013";4939458;3183248;z;z;-;1691439
" ";" ";"2014";1027913;780957;-;65670;-;181286
" ";" ";"2015";2159852;1633777;-;z;z;224965
" ";" ";"2016";3964565;2270291;-;597215;-;1097058
" ";" ";"2017";3628810;2901030;z;z;-;466998
" ";"1122 Tri- in veèstanovanjske stavbe"
" ";" ";"2010";134445061;122455168;z;z;z;z
" ";" ";"2011";120300944;100677694;-;z;12922055;z
" ";" ";"2012";67008816;48555343;z;1608602;z;16443652
" ";" ";"2013";65834367;39958753;-;z;z;21119405
" ";" ";"2014";44085221;20054338;z;z;z;21441362
" ";" ";"2015";77471827;43760552;z;z;z;29884894
" ";" ";"2016";73236022;31541973;z;9437613;z;31217432
" ";" ";"2017";104065175;67017007;z;z;z;26500023
" ";"113 Stanovanjske stavbe za posebne družbene skupine"
" ";" ";"2010";z;z;-;z;z;z
" ";" ";"2011";z;z;-;1176027;2350190;z
" ";" ";"2012";31528902;18668035;z;5714073;z;5649500
" ";" ";"2013";18011503;4438295;z;8131976;z;4219280
" ";" ";"2014";13941471;8909329;-;z;z;3188917
" ";" ";"2015";19650969;11291268;z;2972373;z;5347773
" ";" ";"2016";15534063;6076450;z;1372974;z;7241423
" ";" ";"2017";23833426;16472756;z;z;-;3932493
" ";"1130 Stanovanjske stavbe za posebne družbene skupine"
" ";" ";"2010";z;z;-;z;z;z
" ";" ";"2011";z;z;-;1176027;2350190;z
" ";" ";"2012";31528902;18668035;z;5714073;z;5649500
" ";" ";"2013";18011503;4438295;z;8131976;z;4219280
" ";" ";"2014";13941471;8909329;-;z;z;3188917
" ";" ";"2015";19650969;11291268;z;2972373;z;5347773
" ";" ";"2016";15534063;6076450;z;1372974;z;7241423
" ";" ";"2017";23833426;16472756;z;z;-;3932493
" ";"12 NESTANOVANJSKE STAVBE"
" ";" ";"2010";959707238;734849843;21917320;102536673;67489862;32913540
" ";" ";"2011";679393912;452047700;z;z;z;z
" ";" ";"2012";589273403;345978959;z;99801393;z;120792680
" ";" ";"2013";497119375;277607980;8000707;89517004;13517588;108476096
" ";" ";"2014";451238168;216167547;z;98275632;z;115807960
" ";" ";"2015";470113475;245670817;z;106143425;z;98909300
" ";" ";"2016";460059567;238953877;15395700;91492761;4690422;109526808
" ";" ";"2017";633632992;359800661;z;107919396;z;146976774
" ";"121 Gostinske stavbe"
" ";" ";"2010";78686302;z;z;z;z;z
" ";" ";"2011";35373594;z;z;z;z;z
" ";" ";"2012";18461215;3575142;4690183;z;z;z
" ";" ";"2013";15141510;z;z;z;z;6068969
" ";" ";"2014";16270818;7557370;19032;z;z;z
" ";" ";"2015";z;12584857;z;z;32626;z
" ";" ";"2016";36627335;21262758;z;9864549;z;5396925
" ";" ";"2017";47261802;30599171;145954;9824119;278330;6414228
" ";"1211 Hotelske in podobne gostinske stavbe"
" ";" ";"2010";z;z;z;z;z;z
" ";" ";"2011";34649002;z;z;z;z;z
" ";" ";"2012";z;z;4690183;z;z;z
" ";" ";"2013";14824630;z;z;z;z;z
" ";" ";"2014";z;z;19032;z;z;z
" ";" ";"2015";16971178;z;z;z;z;z
" ";" ";"2016";35040057;z;z;9533397;z;z
" ";" ";"2017";45113443;29124066;z;9572480;278330;z
" ";"1212 Druge gostinske stavbe za kratkotrajno nastanitev"
" ";" ";"2010";z;z;-;z;z;-
" ";" ";"2011";724593;z;-;z;z;z
" ";" ";"2012";z;z;-;z;-;726906
" ";" ";"2013";316880;47545;z;z;-;z
" ";" ";"2014";z;z;-;z;z;z
" ";" ";"2015";z;z;-;6571;z;z
" ";" ";"2016";1587278;z;-;331152;-;z
" ";" ";"2017";2148359;1475105;z;251639;-;z
" ";"122 Poslovne in upravne stavbe"
" ";" ";"2010";z;z;2235290;z;z;z
" ";" ";"2011";111144900;z;3439374;z;22201434;6169639
" ";" ";"2012";123445547;54981350;z;z;z;30813515
" ";" ";"2013";79496132;z;429952;z;5552977;z
" ";" ";"2014";94793699;z;808280;30846755;z;z
" ";" ";"2015";77088315;30135992;z;z;304726;26833983
" ";" ";"2016";89324612;z;z;16363913;575240;z
" ";" ";"2017";111444442;41305556;z;z;238842;44714784
" ";"1220 Poslovne in upravne stavbe"
" ";" ";"2010";z;z;2235290;z;z;z
" ";" ";"2011";111144900;z;3439374;z;22201434;6169639
" ";" ";"2012";123445547;54981350;z;z;z;30813515
" ";" ";"2013";79496132;z;429952;z;5552977;z
" ";" ";"2014";94793699;z;808280;30846755;z;z
" ";" ";"2015";77088315;30135992;z;z;304726;26833983
" ";" ";"2016";89324612;z;z;16363913;575240;z
" ";" ";"2017";111444442;41305556;z;z;238842;44714784
" ";"123 Trgovske stavbe in stavbe za storitvene dejavnosti"
" ";" ";"2010";z;z;z;z;8537208;3838588
" ";" ";"2011";z;107581786;1522723;8735508;z;z
" ";" ";"2012";120771826;91435571;z;14417783;z;14602745
" ";" ";"2013";69993237;44251737;z;z;z;z
" ";" ";"2014";55111086;29151917;z;12898594;291083;z
" ";" ";"2015";79252979;42714418;z;18179113;z;15819488
" ";" ";"2016";90180718;50341756;4811945;22783260;268590;11975167
" ";" ";"2017";129424893;85393095;2999103;25136023;829469;15067203
" ";"1230 Trgovske stavbe in stavbe za storitvene dejavnosti"
" ";" ";"2010";z;z;z;z;8537208;3838588
" ";" ";"2011";z;107581786;1522723;8735508;z;z
" ";" ";"2012";120771826;91435571;z;14417783;z;14602745
" ";" ";"2013";69993237;44251737;z;z;z;z
" ";" ";"2014";55111086;29151917;z;12898594;291083;z
" ";" ";"2015";79252979;42714418;z;18179113;z;15819488
" ";" ";"2016";90180718;50341756;4811945;22783260;268590;11975167
" ";" ";"2017";129424893;85393095;2999103;25136023;829469;15067203
" ";"124 Stavbe za promet in stavbe za izvajanje komunikacij"
" ";" ";"2010";106580676;z;z;z;z;5187627
" ";" ";"2011";z;22709345;-;984857;z;z
" ";" ";"2012";13064483;z;-;z;-;6566246
" ";" ";"2013";z;z;-;z;z;5305115
" ";" ";"2014";9145655;3507857;z;z;z;5259182
" ";" ";"2015";8507337;3297480;z;687707;z;4471798
" ";" ";"2016";5727275;2258777;32465;57365;-;3378668
" ";" ";"2017";z;z;z;z;-;4362236
" ";"1241 Postajna poslopja, terminali, stavbe za izvajanje komunikacij ter z njimi povezane stavbe"
" ";" ";"2010";16680871;8659068;z;z;1425515;5187627
" ";" ";"2011";15305364;7479144;-;z;z;4956211
" ";" ";"2012";9707355;1843726;-;1338204;-;6525425
" ";" ";"2013";6719046;z;-;z;z;5157623
" ";" ";"2014";5461918;z;-;z;z;4659042
" ";" ";"2015";5987349;1281269;z;z;z;4308719
" ";" ";"2016";3376728;221916;-;20928;-;3133884
" ";" ";"2017";4881187;z;z;z;-;z
" ";"1242 Garažne stavbe"
" ";" ";"2010";89899805;z;z;z;z;-
" ";" ";"2011";z;15230201;-;z;z;z
" ";" ";"2012";3357128;z;-;z;-;40821
" ";" ";"2013";z;z;-;z;-;147492
" ";" ";"2014";3683737;z;z;z;-;600140
" ";" ";"2015";2519988;2016211;z;z;-;163080
" ";" ";"2016";2350547;2036861;32465;36437;-;244785
" ";" ";"2017";z;1748210;-;137994;-;z
" ";"125 Industrijske stavbe in skladišèa"
" ";" ";"2010";91689591;61315261;z;z;z;7497766
" ";" ";"2011";109593490;73519476;919364;z;z;z
" ";" ";"2012";110629782;79074641;z;z;487460;z
" ";" ";"2013";121508055;z;644634;10622295;790690;z
" ";" ";"2014";z;61724615;692799;5670226;613457;z
" ";" ";"2015";108733776;65194960;z;z;399356;20624862
" ";" ";"2016";126690148;z;z;9624346;2922612;z
" ";" ";"2017";z;138837106;6041166;16126322;510654;z
" ";"1251 Industrijske stavbe"
" ";" ";"2010";84127298;55670036;z;z;z;7374770
" ";" ";"2011";104466935;z;z;z;z;z
" ";" ";"2012";z;z;z;z;487460;18852991
" ";" ";"2013";z;85913853;z;z;790690;17976641
" ";" ";"2014";81950957;58094482;692799;z;z;z
" ";" ";"2015";96342281;56311957;z;z;399356;z
" ";" ";"2016";119046535;z;z;8589920;z;26492638
" ";" ";"2017";181655605;123954933;5246635;15091415;510654;36851967
" ";"1252 Rezervoarji, silosi in skladišèa"
" ";" ";"2010";7562292;5645224;760174;203704;830193;122996
" ";" ";"2011";5126555;z;z;z;z;210245
" ";" ";"2012";z;z;z;z;-;z
" ";" ";"2013";z;z;z;z;-;z
" ";" ";"2014";z;3630133;-;z;z;474813
" ";" ";"2015";12391495;8883002;147315;z;-;z
" ";" ";"2016";7643613;z;z;1034426;z;z
" ";" ";"2017";z;14882172;794531;1034908;-;z
" ";"126 Stavbe splošnega družbenega pomena"
" ";" ";"2010";z;182565940;z;35523427;z;z
" ";" ";"2011";z;z;9165768;z;z;5462199
" ";" ";"2012";177750667;z;1775365;z;200078;36153851
" ";" ";"2013";z;z;6084557;35636669;4869747;z
" ";" ";"2014";z;z;7357749;z;4755320;41344243
" ";" ";"2015";z;80245819;z;z;782634;z
" ";" ";"2016";73101826;26164933;5380969;21130107;674400;19751417
" ";" ";"2017";107632976;z;z;24684841;1044237;z
" ";"1261 Stavbe za kulturo in razvedrilo"
" ";" ";"2010";20680699;5999386;z;z;4016512;29592
" ";" ";"2011";z;5158695;z;z;z;813202
" ";" ";"2012";z;6117004;z;4583007;z;z
" ";" ";"2013";12677893;5757443;z;5415245;z;z
" ";" ";"2014";20886954;7944933;z;10107720;z;1622987
" ";" ";"2015";15383941;4441894;-;6970050;-;3971997
" ";" ";"2016";5394497;z;-;567873;z;4380610
" ";" ";"2017";14010992;z;-;2514371;-;z
" ";"1262 Muzeji in knjižnice"
" ";" ";"2010";z;1430351;-;z;1766741;95823
" ";" ";"2011";7421561;2590143;z;z;2275932;26009
" ";" ";"2012";9546771;z;z;8606973;z;685711
" ";" ";"2013";999672;-;-;732491;-;267181
" ";" ";"2014";5052342;z;-;2324971;z;1718580
" ";" ";"2015";3336344;324906;-;2015033;196067;800338
" ";" ";"2016";1424656;z;-;905259;z;190516
" ";" ";"2017";2504883;z;-;z;z;695258
" ";"1263 Stavbe za izobraževanje in znanstvenoraziskovalno delo"
" ";" ";"2010";z;38661070;z;z;z;800038
" ";" ";"2011";102969394;69666369;4501176;12379591;13522012;2900246
" ";" ";"2012";93997160;z;z;z;z;z
" ";" ";"2013";134033727;82506582;5057032;23058508;3865440;19546164
" ";" ";"2014";112993288;44788814;6883593;24805565;3211585;33303732
" ";" ";"2015";z;19905251;3688008;21660840;461829;z
" ";" ";"2016";41403883;13872988;4812857;z;121440;z
" ";" ";"2017";57301767;23035483;4803864;13220576;351064;15890780
" ";"1264 Stavbe za zdravstveno oskrbo"
" ";" ";"2010";z;11896729;z;z;5945638;z
" ";" ";"2011";z;14904621;z;z;9276798;1670448
" ";" ";"2012";z;18629367;z;6820511;z;z
" ";" ";"2013";21800517;9865985;z;4835786;z;6690926
" ";" ";"2014";z;10243741;z;z;z;3839569
" ";" ";"2015";49408821;36103060;z;8198900;z;4986224
" ";" ";"2016";z;z;z;z;z;z
" ";" ";"2017";22033619;6530388;z;z;z;z
" ";"1265 Stavbe za šport"
" ";" ";"2010";129817121;124578405;z;z;33765;2327
" ";" ";"2011";z;z;1824956;952071;1580605;52295
" ";" ";"2012";z;z;z;z;-;981429
" ";" ";"2013";z;z;-;1594640;z;z
" ";" ";"2014";z;z;-;z;z;859376
" ";" ";"2015";21270127;19470708;z;z;z;730015
" ";" ";"2016";z;z;z;1230698;-;z
" ";" ";"2017";11781715;8882140;12061;462162;-;2425353
" ";"127 Druge nestanovanjske stavbe"
" ";" ";"2010";38966783;z;z;z;5049630;z
" ";" ";"2011";65767775;z;1290705;5463179;z;3644837
" ";" ";"2012";25149883;7159129;z;7632182;z;8311048
" ";" ";"2013";26584305;10998495;664543;6499478;1474293;6947496
" ";" ";"2014";25543481;15506031;z;z;z;5688058
" ";" ";"2015";30986391;11497293;z;9315364;z;5336752
" ";" ";"2016";38233756;20833751;z;11669221;z;z
" ";" ";"2017";31249419;14496907;1384885;z;z;8010235
