Obsojeni polnoletni in mladoletni po: OBÈINE, LETO , KAZALNIK;;
;;
 ; ;Število obsojenih polnoletnih in mladoletnih oseb
 ;2006;0
 ;2007;0
 ;2008;z
 ;2009;0
 ;2010;z
 ;2011;0
 ;2012;z
 ;2013;z
 ;2014;6
 ;2015;5
 ;2016;5
Renèe - Vogrsko;;
 ;2006;0
 ;2007;9
 ;2008;14
 ;2009;15
 ;2010;5
 ;2011;15
 ;2012;16
 ;2013;10
 ;2014;9
 ;2015;6
 ;2016;11
Ribnica;;
 ;2006;42
 ;2007;52
 ;2008;50
 ;2009;55
 ;2010;31
 ;2011;69
 ;2012;51
 ;2013;84
 ;2014;54
 ;2015;55
 ;2016;43
Ribnica na Pohorju;;
 ;2006;0
 ;2007;7
 ;2008;7
 ;2009;6
 ;2010;5
 ;2011;10
 ;2012;6
 ;2013;z
 ;2014;z
 ;2015;z
 ;2016;0
Rogaška Slatina;;
 ;2006;40
 ;2007;42
 ;2008;26
 ;2009;31
 ;2010;38
 ;2011;31
 ;2012;52
 ;2013;50
 ;2014;48
 ;2015;23
 ;2016;26
Rogašovci;;
 ;2006;6
 ;2007;16
 ;2008;16
 ;2009;10
 ;2010;13
 ;2011;8
 ;2012;z
 ;2013;15
 ;2014;9
 ;2015;13
 ;2016;13
Rogatec;;
 ;2006;12
 ;2007;9
 ;2008;6
 ;2009;8
 ;2010;6
 ;2011;6
 ;2012;5
 ;2013;13
 ;2014;10
 ;2015;10
 ;2016;5
Ruše;;
 ;2006;48
 ;2007;35
 ;2008;43
 ;2009;54
 ;2010;50
 ;2011;54
 ;2012;34
 ;2013;56
 ;2014;43
 ;2015;30
 ;2016;31
Selnica ob Dravi;;
 ;2006;8
 ;2007;13
 ;2008;17
 ;2009;16
 ;2010;15
 ;2011;17
 ;2012;10
 ;2013;21
 ;2014;12
 ;2015;5
 ;2016;19
Semiè;;
 ;2006;33
 ;2007;41
 ;2008;23
 ;2009;23
 ;2010;17
 ;2011;51
 ;2012;34
 ;2013;52
 ;2014;41
 ;2015;33
 ;2016;30
Sevnica;;
 ;2006;72
 ;2007;68
 ;2008;77
 ;2009;58
 ;2010;59
 ;2011;50
 ;2012;45
 ;2013;47
 ;2014;35
 ;2015;58
 ;2016;38
Sežana;;
 ;2006;46
 ;2007;23
 ;2008;33
 ;2009;27
 ;2010;34
 ;2011;25
 ;2012;35
 ;2013;42
 ;2014;31
 ;2015;43
 ;2016;31
Slovenj Gradec;;
 ;2006;86
 ;2007;101
 ;2008;74
 ;2009;76
 ;2010;67
 ;2011;69
 ;2012;83
 ;2013;87
 ;2014;61
 ;2015;67
 ;2016;41
Slovenska Bistrica;;
 ;2006;73
 ;2007;96
 ;2008;128
 ;2009;107
 ;2010;134
 ;2011;100
 ;2012;101
 ;2013;105
 ;2014;123
 ;2015;94
 ;2016;77
Slovenske Konjice;;
 ;2006;48
 ;2007;60
 ;2008;61
 ;2009;55
 ;2010;68
 ;2011;88
 ;2012;70
 ;2013;90
 ;2014;61
 ;2015;57
 ;2016;43
Sodražica;;
 ;2006;4
 ;2007;5
 ;2008;4
 ;2009;z
 ;2010;4
 ;2011;6
 ;2012;4
 ;2013;5
 ;2014;4
 ;2015;6
 ;2016;z
Solèava;;
 ;2006;0
 ;2007;0
 ;2008;0
 ;2009;0
 ;2010;0
 ;2011;0
 ;2012;0
 ;2013;0
 ;2014;0
 ;2015;z
 ;2016;0
Središèe ob Dravi;;
 ;2006;0
 ;2007;3
 ;2008;0
 ;2009;0
 ;2010;z
 ;2011;3
 ;2012;z
 ;2013;z
 ;2014;z
 ;2015;0
 ;2016;5
Starše;;
 ;2006;8
 ;2007;8
 ;2008;12
 ;2009;12
 ;2010;10
 ;2011;15
 ;2012;16
 ;2013;16
 ;2014;10
 ;2015;16
 ;2016;7
Straža;;
 ;2006;0
 ;2007;3
 ;2008;9
 ;2009;13
 ;2010;16
 ;2011;7
 ;2012;14
 ;2013;18
 ;2014;12
 ;2015;16
 ;2016;23
Sveta Ana;;
 ;2006;6
 ;2007;3
 ;2008;5
 ;2009;7
 ;2010;6
 ;2011;5
 ;2012;14
 ;2013;6
 ;2014;5
 ;2015;16
 ;2016;6
Sveta Trojica v Slov. goricah;;
 ;2006;0
 ;2007;7
 ;2008;6
 ;2009;4
 ;2010;3
 ;2011;4
 ;2012;7
 ;2013;3
 ;2014;z
 ;2015;6
 ;2016;9
Sveti Andraž v Slov. goricah;;
 ;2006;z
 ;2007;0
 ;2008;z
 ;2009;z
 ;2010;z
 ;2011;z
 ;2012;z
 ;2013;0
 ;2014;z
 ;2015;6
 ;2016;z
Sveti Jurij ob Šèavnici;;
 ;2006;13
 ;2007;9
 ;2008;9
 ;2009;10
 ;2010;9
 ;2011;8
 ;2012;12
 ;2013;16
 ;2014;14
 ;2015;8
 ;2016;12
Sveti Jurij v Slov. goricah;;
 ;2006;0
 ;2007;z
 ;2008;6
 ;2009;8
 ;2010;0
 ;2011;3
 ;2012;3
 ;2013;3
 ;2014;z
 ;2015;z
 ;2016;4
Sveti Tomaž;;
 ;2006;0
 ;2007;6
 ;2008;7
 ;2009;4
 ;2010;6
 ;2011;10
 ;2012;8
 ;2013;10
 ;2014;z
 ;2015;6
 ;2016;5
Šalovci;;
 ;2006;z
 ;2007;12
 ;2008;8
 ;2009;7
 ;2010;5
 ;2011;5
 ;2012;7
 ;2013;4
 ;2014;7
 ;2015;z
 ;2016;7
Šempeter - Vrtojba;;
 ;2006;15
 ;2007;9
 ;2008;14
 ;2009;23
 ;2010;14
 ;2011;18
 ;2012;16
 ;2013;22
 ;2014;11
 ;2015;18
 ;2016;10
Šenèur;;
 ;2006;8
 ;2007;10
 ;2008;7
 ;2009;7
 ;2010;6
 ;2011;5
 ;2012;15
 ;2013;14
 ;2014;15
 ;2015;8
 ;2016;19
Šentilj;;
 ;2006;17
 ;2007;32
 ;2008;36
 ;2009;57
 ;2010;39
 ;2011;29
 ;2012;32
 ;2013;37
 ;2014;29
 ;2015;31
 ;2016;30
Šentjernej;;
 ;2006;24
 ;2007;22
 ;2008;28
 ;2009;35
 ;2010;28
 ;2011;33
 ;2012;44
 ;2013;47
 ;2014;35
 ;2015;50
 ;2016;45
Šentjur;;
 ;2006;54
 ;2007;62
 ;2008;55
 ;2009;49
 ;2010;59
 ;2011;29
 ;2012;39
 ;2013;91
 ;2014;68
 ;2015;69
 ;2016;50
Šentrupert;;
 ;2006;0
 ;2007;z
 ;2008;3
 ;2009;z
 ;2010;z
 ;2011;0
 ;2012;3
 ;2013;5
 ;2014;z
 ;2015;14
 ;2016;10
Škocjan;;
 ;2006;34
 ;2007;25
 ;2008;31
 ;2009;30
 ;2010;25
 ;2011;31
 ;2012;32
 ;2013;64
 ;2014;43
 ;2015;35
 ;2016;38
Škofja Loka;;
 ;2006;53
 ;2007;63
 ;2008;57
 ;2009;45
 ;2010;45
 ;2011;46
 ;2012;58
 ;2013;54
 ;2014;72
 ;2015;68
 ;2016;56
Škofljica;;
 ;2006;6
 ;2007;15
 ;2008;19
 ;2009;16
 ;2010;17
 ;2011;15
 ;2012;23
 ;2013;23
 ;2014;26
 ;2015;26
 ;2016;25
Šmarje pri Jelšah;;
 ;2006;53
 ;2007;51
 ;2008;58
 ;2009;44
 ;2010;52
 ;2011;27
 ;2012;26
 ;2013;56
 ;2014;37
 ;2015;21
 ;2016;23
Šmarješke Toplice;;
 ;2006;0
 ;2007;3
 ;2008;6
 ;2009;3
 ;2010;4
 ;2011;8
 ;2012;8
 ;2013;6
 ;2014;4
 ;2015;4
 ;2016;6
Šmartno ob Paki;;
 ;2006;3
 ;2007;9
 ;2008;7
 ;2009;10
 ;2010;6
 ;2011;5
 ;2012;12
 ;2013;12
 ;2014;10
 ;2015;15
 ;2016;13
Šmartno pri Litiji;;
 ;2006;z
 ;2007;12
 ;2008;10
 ;2009;10
 ;2010;6
 ;2011;9
 ;2012;3
 ;2013;15
 ;2014;10
 ;2015;11
 ;2016;5
Šoštanj;;
 ;2006;17
 ;2007;18
 ;2008;17
 ;2009;19
 ;2010;21
 ;2011;14
 ;2012;21
 ;2013;20
 ;2014;22
 ;2015;24
 ;2016;31
Štore;;
 ;2006;7
 ;2007;6
 ;2008;13
 ;2009;13
 ;2010;14
 ;2011;12
 ;2012;16
 ;2013;17
 ;2014;20
 ;2015;9
 ;2016;8
Tabor;;
 ;2006;4
 ;2007;3
 ;2008;0
 ;2009;z
 ;2010;z
 ;2011;z
 ;2012;z
 ;2013;4
 ;2014;0
 ;2015;3
 ;2016;3
Tišina;;
 ;2006;0
 ;2007;5
 ;2008;16
 ;2009;16
 ;2010;9
 ;2011;7
 ;2012;18
 ;2013;19
 ;2014;15
 ;2015;9
 ;2016;15
Tolmin;;
 ;2006;31
 ;2007;33
 ;2008;22
 ;2009;16
 ;2010;23
 ;2011;27
 ;2012;20
 ;2013;34
 ;2014;24
 ;2015;26
 ;2016;19
Trbovlje;;
 ;2006;76
 ;2007;128
 ;2008;102
 ;2009;113
 ;2010;110
 ;2011;94
 ;2012;95
 ;2013;142
 ;2014;102
 ;2015;66
 ;2016;57
Trebnje;;
 ;2006;60
 ;2007;58
 ;2008;68
 ;2009;53
 ;2010;53
 ;2011;40
 ;2012;47
 ;2013;48
 ;2014;57
 ;2015;43
 ;2016;47
Trnovska vas;;
 ;2006;z
 ;2007;6
 ;2008;6
 ;2009;5
 ;2010;z
 ;2011;3
 ;2012;0
 ;2013;z
 ;2014;z
 ;2015;z
 ;2016;3
Trzin;;
 ;2006;9
 ;2007;9
 ;2008;6
 ;2009;8
 ;2010;9
 ;2011;5
 ;2012;4
 ;2013;17
 ;2014;11
 ;2015;5
 ;2016;6
Tržiè;;
 ;2006;53
 ;2007;59
 ;2008;64
 ;2009;41
 ;2010;49
 ;2011;45
 ;2012;60
 ;2013;51
 ;2014;59
 ;2015;46
 ;2016;34
Turnišèe;;
 ;2006;8
 ;2007;15
 ;2008;14
 ;2009;8
 ;2010;10
 ;2011;10
 ;2012;26
 ;2013;35
 ;2014;24
 ;2015;14
 ;2016;18
Velenje;;
 ;2006;156
 ;2007;136
 ;2008;137
 ;2009;145
 ;2010;123
 ;2011;122
 ;2012;128
 ;2013;192
 ;2014;141
 ;2015;101
 ;2016;114
Velika Polana;;
 ;2006;3
 ;2007;6
 ;2008;z
 ;2009;5
 ;2010;8
 ;2011;6
 ;2012;7
 ;2013;5
 ;2014;z
 ;2015;6
 ;2016;3
Velike Lašèe;;
 ;2006;3
 ;2007;7
 ;2008;7
 ;2009;3
 ;2010;8
 ;2011;9
 ;2012;8
 ;2013;15
 ;2014;7
 ;2015;8
 ;2016;12
Veržej;;
 ;2006;z
 ;2007;4
 ;2008;z
 ;2009;z
 ;2010;z
 ;2011;4
 ;2012;z
 ;2013;z
 ;2014;z
 ;2015;4
 ;2016;5
Videm;;
 ;2006;z
 ;2007;4
 ;2008;6
 ;2009;3
 ;2010;3
 ;2011;6
 ;2012;13
 ;2013;14
 ;2014;14
 ;2015;24
 ;2016;18
Vipava;;
 ;2006;7
 ;2007;12
 ;2008;12
 ;2009;10
 ;2010;5
 ;2011;13
 ;2012;12
 ;2013;13
 ;2014;10
 ;2015;9
 ;2016;7
Vitanje;;
 ;2006;9
 ;2007;8
 ;2008;12
 ;2009;z
 ;2010;z
 ;2011;15
 ;2012;11
 ;2013;14
 ;2014;3
 ;2015;4
 ;2016;6
Vodice;;
 ;2006;z
 ;2007;5
 ;2008;5
 ;2009;z
 ;2010;7
 ;2011;7
 ;2012;5
 ;2013;10
 ;2014;9
 ;2015;10
 ;2016;9
Vojnik;;
 ;2006;18
 ;2007;12
 ;2008;17
 ;2009;26
 ;2010;31
 ;2011;16
 ;2012;18
 ;2013;20
 ;2014;37
 ;2015;23
 ;2016;13
Vransko;;
 ;2006;3
 ;2007;4
 ;2008;4
 ;2009;5
 ;2010;3
 ;2011;8
 ;2012;4
 ;2013;8
 ;2014;z
 ;2015;7
 ;2016;5
Vrhnika;;
 ;2006;55
 ;2007;56
 ;2008;45
 ;2009;32
 ;2010;38
 ;2011;35
 ;2012;19
 ;2013;65
 ;2014;43
 ;2015;48
 ;2016;43
Vuzenica;;
 ;2006;11
 ;2007;3
 ;2008;8
 ;2009;4
 ;2010;12
 ;2011;6
 ;2012;18
 ;2013;11
 ;2014;7
 ;2015;11
 ;2016;7
Zagorje ob Savi;;
 ;2006;41
 ;2007;62
 ;2008;61
 ;2009;53
 ;2010;67
 ;2011;82
 ;2012;57
 ;2013;98
 ;2014;53
 ;2015;41
 ;2016;33
Zavrè;;
 ;2006;z
 ;2007;3
 ;2008;z
 ;2009;6
 ;2010;6
 ;2011;6
 ;2012;10
 ;2013;5
 ;2014;7
 ;2015;6
 ;2016;z
Zreèe;;
 ;2006;18
 ;2007;18
 ;2008;13
 ;2009;15
 ;2010;25
 ;2011;17
 ;2012;19
 ;2013;19
 ;2014;22
 ;2015;20
 ;2016;17
Žalec;;
 ;2006;82
 ;2007;85
 ;2008;81
 ;2009;90
 ;2010;88
 ;2011;70
 ;2012;66
 ;2013;130
 ;2014;92
 ;2015;83
 ;2016;59
Železniki;;
 ;2006;10
 ;2007;12
 ;2008;10
 ;2009;5
 ;2010;8
 ;2011;5
 ;2012;10
 ;2013;21
 ;2014;21
 ;2015;11
 ;2016;11
Žetale;;
 ;2006;3
 ;2007;z
 ;2008;3
 ;2009;7
 ;2010;z
 ;2011;3
 ;2012;7
 ;2013;4
 ;2014;5
 ;2015;3
 ;2016;3
Žiri;;
 ;2006;6
 ;2007;8
 ;2008;10
 ;2009;5
 ;2010;z
 ;2011;5
 ;2012;4
 ;2013;9
 ;2014;4
 ;2015;9
 ;2016;4
Žirovnica;;
 ;2006;10
 ;2007;5
 ;2008;11
 ;2009;8
 ;2010;7
 ;2011;8
 ;2012;7
 ;2013;5
 ;2014;6
 ;2015;5
 ;2016;8
Žužemberk;;
 ;2006;3
 ;2007;12
 ;2008;13
 ;2009;5
 ;2010;6
 ;2011;11
 ;2012;8
 ;2013;9
 ;2014;14
 ;2015;10
 ;2016;8
Tujina;;
 ;2006;536
 ;2007;759
 ;2008;790
 ;2009;811
 ;2010;824
 ;2011;774
 ;2012;938
 ;2013;1132
 ;2014;987
 ;2015;855
 ;2016;624
;;
Vir: Statistièni urad Republike Slovenije.;;
;;
Povezane vsebine: ;;
- (seznam HREF= http://www.stat.si/StatWeb/File/DocSysFile/8274 ;;
target=_blank) Metodološka pojasnila;;
;;
Podatki so teritorialno razvršèeni po uredbi o Standardni ;;
klasifikaciji teritorialnih enot ((seznam ;;
HREF=http://www.stat.si/StatWeb/glavnanavigacija/metode-in-klasifikac-;;
ije/klasifikacije TARGET=_blank) opis in pojasnila), raven SKTE 5. ;;
Podatki o spremembah posameznih obèin so dostopni na (seznam ;;
HREF=http://www.stat.si/StatWeb/glavnanavigacija/metode-in-klasifikac-;;
ije/klasifikacije/spremembe-obmocij-obcin TARGET=_blank) povezavi. V ;;
Seznamu obèin s spremembami obmoèij obèin od leta 1995 dalje je ;;
opisana vrsta spremembe, naveden je datum, s katerim je opisana ;;
teritorialna sprememba upoštevana pri teritorialnem razvršèanju enot ;;
za statistiène namene ter naveden Uradni list, v katerem so bile ;;
objavljene omenjene teritorialne opombe. V seznamu obèin je navedeno ;;
zadnje veljavno stanje imen obèin.;;
;;
V preraèunu deleža so pri kategoriji SLOVENIJA zajeti tudi  ;;
obsojenci s stalnim prebivališèem v tujini.;;
;;
Ker so bili podatki o odloèitvah sodnikov pri našem podatkovnem viru ;;
(Vrhovno sodišèe Republike Slovenije, Informatizirana kazenska ;;
evidenca Vrhovnega sodišèa RS) popravljeni, smo te podatke za leto ;;
2015 popravili tudi v SI-STAT bazi.;;
