"";"Investitor";"Regija";"Tip.objekta";"Leto";"Število.stavb";"Površina.stavb.......m2."
"65";"Investitor - SKUPAJ";"Pomurska";"Nestanovanjske stavbe";2016;546;99043
"66";"Investitor - SKUPAJ";"Pomurska";"Nestanovanjske stavbe";2017;594;96242
"67";"Investitor - SKUPAJ";"Podravska";"Tip stavbe - SKUPAJ";2007;1081;560410
"68";"Investitor - SKUPAJ";"Podravska";"Tip stavbe - SKUPAJ";2008;1013;435642
"69";"Investitor - SKUPAJ";"Podravska";"Tip stavbe - SKUPAJ";2009;724;252361
"70";"Investitor - SKUPAJ";"Podravska";"Tip stavbe - SKUPAJ";2010;687;269957
"71";"Investitor - SKUPAJ";"Podravska";"Tip stavbe - SKUPAJ";2011;674;310127
"72";"Investitor - SKUPAJ";"Podravska";"Tip stavbe - SKUPAJ";2012;515;190855
"73";"Investitor - SKUPAJ";"Podravska";"Tip stavbe - SKUPAJ";2013;622;206751
"74";"Investitor - SKUPAJ";"Podravska";"Tip stavbe - SKUPAJ";2014;590;172185
"75";"Investitor - SKUPAJ";"Podravska";"Tip stavbe - SKUPAJ";2015;777;191332
"76";"Investitor - SKUPAJ";"Podravska";"Tip stavbe - SKUPAJ";2016;1308;288524
"77";"Investitor - SKUPAJ";"Podravska";"Tip stavbe - SKUPAJ";2017;1295;269103
"78";"Investitor - SKUPAJ";"Podravska";"Stanovanjske stavbe";2007;852;346455
"79";"Investitor - SKUPAJ";"Podravska";"Stanovanjske stavbe";2008;823;276620
"80";"Investitor - SKUPAJ";"Podravska";"Stanovanjske stavbe";2009;590;166101
"81";"Investitor - SKUPAJ";"Podravska";"Stanovanjske stavbe";2010;550;146601
"82";"Investitor - SKUPAJ";"Podravska";"Stanovanjske stavbe";2011;529;144630
"83";"Investitor - SKUPAJ";"Podravska";"Stanovanjske stavbe";2012;381;94677
"84";"Investitor - SKUPAJ";"Podravska";"Stanovanjske stavbe";2013;469;109527
"85";"Investitor - SKUPAJ";"Podravska";"Stanovanjske stavbe";2014;448;107968
"86";"Investitor - SKUPAJ";"Podravska";"Stanovanjske stavbe";2015;434;97517
"87";"Investitor - SKUPAJ";"Podravska";"Stanovanjske stavbe";2016;535;122391
"88";"Investitor - SKUPAJ";"Podravska";"Stanovanjske stavbe";2017;622;139068
"89";"Investitor - SKUPAJ";"Podravska";"Nestanovanjske stavbe";2007;229;213955
"90";"Investitor - SKUPAJ";"Podravska";"Nestanovanjske stavbe";2008;190;159022
"91";"Investitor - SKUPAJ";"Podravska";"Nestanovanjske stavbe";2009;134;86260
"92";"Investitor - SKUPAJ";"Podravska";"Nestanovanjske stavbe";2010;137;123356
"93";"Investitor - SKUPAJ";"Podravska";"Nestanovanjske stavbe";2011;145;165497
"94";"Investitor - SKUPAJ";"Podravska";"Nestanovanjske stavbe";2012;134;96178
"95";"Investitor - SKUPAJ";"Podravska";"Nestanovanjske stavbe";2013;153;97224
"96";"Investitor - SKUPAJ";"Podravska";"Nestanovanjske stavbe";2014;142;64217
"97";"Investitor - SKUPAJ";"Podravska";"Nestanovanjske stavbe";2015;343;93815
"98";"Investitor - SKUPAJ";"Podravska";"Nestanovanjske stavbe";2016;773;166133
"99";"Investitor - SKUPAJ";"Podravska";"Nestanovanjske stavbe";2017;673;130035
"100";"Investitor - SKUPAJ";"Koroška";"Tip stavbe - SKUPAJ";2007;186;104069
"101";"Investitor - SKUPAJ";"Koroška";"Tip stavbe - SKUPAJ";2008;173;117976
"102";"Investitor - SKUPAJ";"Koroška";"Tip stavbe - SKUPAJ";2009;127;69749
"103";"Investitor - SKUPAJ";"Koroška";"Tip stavbe - SKUPAJ";2010;139;65067
"104";"Investitor - SKUPAJ";"Koroška";"Tip stavbe - SKUPAJ";2011;121;58100
"105";"Investitor - SKUPAJ";"Koroška";"Tip stavbe - SKUPAJ";2012;129;53041
"106";"Investitor - SKUPAJ";"Koroška";"Tip stavbe - SKUPAJ";2013;108;41652
"107";"Investitor - SKUPAJ";"Koroška";"Tip stavbe - SKUPAJ";2014;125;48359
"108";"Investitor - SKUPAJ";"Koroška";"Tip stavbe - SKUPAJ";2015;149;37351
"109";"Investitor - SKUPAJ";"Koroška";"Tip stavbe - SKUPAJ";2016;262;57950
"110";"Investitor - SKUPAJ";"Koroška";"Tip stavbe - SKUPAJ";2017;223;74628
"111";"Investitor - SKUPAJ";"Koroška";"Stanovanjske stavbe";2007;113;36294
"112";"Investitor - SKUPAJ";"Koroška";"Stanovanjske stavbe";2008;126;43562
"113";"Investitor - SKUPAJ";"Koroška";"Stanovanjske stavbe";2009;74;28085
"114";"Investitor - SKUPAJ";"Koroška";"Stanovanjske stavbe";2010;89;24369
"115";"Investitor - SKUPAJ";"Koroška";"Stanovanjske stavbe";2011;74;21141
"116";"Investitor - SKUPAJ";"Koroška";"Stanovanjske stavbe";2012;83;20941
"117";"Investitor - SKUPAJ";"Koroška";"Stanovanjske stavbe";2013;75;21442
"118";"Investitor - SKUPAJ";"Koroška";"Stanovanjske stavbe";2014;86;22463
"119";"Investitor - SKUPAJ";"Koroška";"Stanovanjske stavbe";2015;63;14926
"120";"Investitor - SKUPAJ";"Koroška";"Stanovanjske stavbe";2016;70;16318
"121";"Investitor - SKUPAJ";"Koroška";"Stanovanjske stavbe";2017;73;16821
"122";"Investitor - SKUPAJ";"Koroška";"Nestanovanjske stavbe";2007;73;67775
"123";"Investitor - SKUPAJ";"Koroška";"Nestanovanjske stavbe";2008;47;74414
"124";"Investitor - SKUPAJ";"Koroška";"Nestanovanjske stavbe";2009;53;41664
"125";"Investitor - SKUPAJ";"Koroška";"Nestanovanjske stavbe";2010;50;40698
"126";"Investitor - SKUPAJ";"Koroška";"Nestanovanjske stavbe";2011;47;36959
"127";"Investitor - SKUPAJ";"Koroška";"Nestanovanjske stavbe";2012;46;32100
"128";"Investitor - SKUPAJ";"Koroška";"Nestanovanjske stavbe";2013;33;20210
"129";"Investitor - SKUPAJ";"Koroška";"Nestanovanjske stavbe";2014;39;25896
"130";"Investitor - SKUPAJ";"Koroška";"Nestanovanjske stavbe";2015;86;22425
"131";"Investitor - SKUPAJ";"Koroška";"Nestanovanjske stavbe";2016;192;41632
"132";"Investitor - SKUPAJ";"Koroška";"Nestanovanjske stavbe";2017;150;57807
"133";"Investitor - SKUPAJ";"Savinjska";"Tip stavbe - SKUPAJ";2007;752;462484
