"";"Regija";"Leto";"Število.dokončanih.stanovanj.na.1000.prebivalcev";"Povprečna.površina.dokončanih.stanovanj..m2.";"Delež.dokončanih.novogradenj....";"Delež.dokončanih.stanovanj...."
"105";"Posavska";2010;"2.jul";139;98,4;"34.8"
"106";"Posavska";2011;"2.mar";152;100;"36.1"
"107";"Posavska";2012;"1.avg";135;99,2;"35.0"
"108";"Posavska";2013;"1.jul";143;98,3;"35.1"
"109";"Posavska";2014;"1.apr";149;74,7;"28.sep"
"110";"Posavska";2015;"1.apr";131;95,1;"27.apr"
"111";"Posavska";2016;"1.jun";146;91,9;"40.3"
"112";"Posavska";2017;"2.0";135;93,3;"63.8"
"113";"Jugovzhodna Slovenija";2002;"2.sep";117;98;NA
"114";"Jugovzhodna Slovenija";2003;"2.feb";114;95,7;NA
"115";"Jugovzhodna Slovenija";2004;"3.feb";103;99,1;NA
"116";"Jugovzhodna Slovenija";2005;"2.jun";117;96,1;NA
"117";"Jugovzhodna Slovenija";2006;"3.avg";98;93,6;NA
"118";"Jugovzhodna Slovenija";2007;"4.mar";110;98,7;NA
"119";"Jugovzhodna Slovenija";2008;"4.mar";125;98,5;"47.7"
"120";"Jugovzhodna Slovenija";2009;"2.0";154;95,4;"30.0"
"121";"Jugovzhodna Slovenija";2010;"2.apr";129;95,4;"38.7"
"122";"Jugovzhodna Slovenija";2011;"1.avg";164;98;"30.jul"
"123";"Jugovzhodna Slovenija";2012;"1.avg";141;98,9;"31.6"
"124";"Jugovzhodna Slovenija";2013;"1.jun";166;96,9;"28.avg"
"125";"Jugovzhodna Slovenija";2014;"1.maj";161;82,9;"25.jun"
"126";"Jugovzhodna Slovenija";2015;"2.0";157;96,8;"31.2"
"127";"Jugovzhodna Slovenija";2016;"1.maj";175;94,1;"33.4"
"128";"Jugovzhodna Slovenija";2017;"2.apr";147;96,2;"61.6"
"129";"Osrednjeslovenska";2002;"4.jul";105;98,5;NA
"130";"Osrednjeslovenska";2003;"3.avg";104;93,6;NA
"131";"Osrednjeslovenska";2004;"3.jun";101;97,7;NA
"132";"Osrednjeslovenska";2005;"4.jun";102;97;NA
"133";"Osrednjeslovenska";2006;"4.mar";112;97,8;NA
"134";"Osrednjeslovenska";2007;"4.jan";108;96,5;NA
"135";"Osrednjeslovenska";2008;"6.0";100;98,1;"46.8"
"136";"Osrednjeslovenska";2009;"4.sep";106;98,4;"48.9"
"137";"Osrednjeslovenska";2010;"3.apr";118;99,2;"43.0"
"138";"Osrednjeslovenska";2011;"2.sep";116;99,2;"50.8"
"139";"Osrednjeslovenska";2012;"1.apr";162;98,6;"37.0"
"140";"Osrednjeslovenska";2013;"1.jan";169;96,5;"26.maj"
"141";"Osrednjeslovenska";2014;"1.jul";130;91,7;"39.3"
"142";"Osrednjeslovenska";2015;"1.feb";145;98,9;"36.1"
"143";"Osrednjeslovenska";2016;"1.jan";175;92;"45.6"
"144";"Osrednjeslovenska";2017;"1.mar";151;95,6;"68.8"
"145";"Gorenjska";2002;"3.jan";117;88,6;NA
"146";"Gorenjska";2003;"2.sep";126;94,1;NA
"147";"Gorenjska";2004;"3.jul";116;92,8;NA
"148";"Gorenjska";2005;"2.avg";133;93,8;NA
"149";"Gorenjska";2006;"3.jun";122;95,4;NA
"150";"Gorenjska";2007;"5.jun";104;93,7;NA
"151";"Gorenjska";2008;"5.jan";117;95,3;"39.7"
"152";"Gorenjska";2009;"5.jan";107;93,2;"46.5"
"153";"Gorenjska";2010;"3.apr";151;96,8;"44.4"
