"";"Investitor";"Vrsta.objekta";"Leto";"Tip.gradbene.aktivnosti...SKUPAJ";"Novogradnja";"Povečava";"Rekonstrukcija.in.sprememba.namembnosti";"Investicijska.vzdrževalna.dela";"Redna.vzdrževalna.dela"
"48";"Investitor - SKUPAJ";"112 Večstanovanjske stavbe";2017;"141496540";"74058323";"z";"z";"889379";"51350441"
"49";"Investitor - SKUPAJ";"1121 Dvostanovanjske stavbe";2010;"10040829";"6955229";"z";"z";"2490615";"48995"
"50";"Investitor - SKUPAJ";"1121 Dvostanovanjske stavbe";2011;"10172045";"5592116";"z";"757247";"3030327";"z"
"51";"Investitor - SKUPAJ";"1121 Dvostanovanjske stavbe";2012;"5962832";"3956735";"z";"630477";"z";"1248741"
"52";"Investitor - SKUPAJ";"1121 Dvostanovanjske stavbe";2013;"7886151";"4237401";"z";"z";"z";"3160467"
"53";"Investitor - SKUPAJ";"1121 Dvostanovanjske stavbe";2014;"6412065";"2917106";"z";"z";"z";"2242119"
"54";"Investitor - SKUPAJ";"1121 Dvostanovanjske stavbe";2015;"7277126";"3599967";"68539";"446045";"52461";"3110115"
"55";"Investitor - SKUPAJ";"1121 Dvostanovanjske stavbe";2016;"10607411";"4691286";"117243";"858878";NA;"4940004"
"56";"Investitor - SKUPAJ";"1121 Dvostanovanjske stavbe";2017;"9004394";"5552622";"107387";"z";"z";"2138154"
"57";"Investitor - SKUPAJ";"1122 Tri- in večstanovanjske stavbe";2010;"142290138";"125608426";"z";"z";"6442979";"4077841"
"58";"Investitor - SKUPAJ";"1122 Tri- in večstanovanjske stavbe";2011;"129955083";"104177178";NA;"5507724";"17022163";"3248019"
"59";"Investitor - SKUPAJ";"1122 Tri- in večstanovanjske stavbe";2012;"82162306";"50449549";"z";"4845919";"z";"26260056"
"60";"Investitor - SKUPAJ";"1122 Tri- in večstanovanjske stavbe";2013;"77384486";"40962672";NA;"z";"z";"29019779"
"61";"Investitor - SKUPAJ";"1122 Tri- in večstanovanjske stavbe";2014;"58661151";"21938375";"z";"z";"z";"30599632"
"62";"Investitor - SKUPAJ";"1122 Tri- in večstanovanjske stavbe";2015;"92331035";"45639343";"z";"6879417";"z";"39183642"
"63";"Investitor - SKUPAJ";"1122 Tri- in večstanovanjske stavbe";2016;"99183796";"34002038";"z";"15000977";"z";"47520950"
"64";"Investitor - SKUPAJ";"1122 Tri- in večstanovanjske stavbe";2017;"132492146";"68505701";"z";"13888582";"z";"49212287"
"65";"Investitor - SKUPAJ";"113 Stanovanjske stavbe za posebne družbene skupine";2010;"33158580";"29116575";NA;"z";"z";"32182"
"66";"Investitor - SKUPAJ";"113 Stanovanjske stavbe za posebne družbene skupine";2011;"26212652";"22623933";NA;"1176027";"2350190";"62502"
"67";"Investitor - SKUPAJ";"113 Stanovanjske stavbe za posebne družbene skupine";2012;"31528902";"18668035";"z";"5714073";"z";"5649500"
"68";"Investitor - SKUPAJ";"113 Stanovanjske stavbe za posebne družbene skupine";2013;"18011503";"4438295";"z";"8131976";"z";"4219280"
"69";"Investitor - SKUPAJ";"113 Stanovanjske stavbe za posebne družbene skupine";2014;"13941471";"8909329";NA;"z";"z";"3188917"
"70";"Investitor - SKUPAJ";"113 Stanovanjske stavbe za posebne družbene skupine";2015;"19650969";"11291268";"z";"2972373";"z";"5347773"
"71";"Investitor - SKUPAJ";"113 Stanovanjske stavbe za posebne družbene skupine";2016;"15534063";"6076450";"z";"1372974";"z";"7241423"
"72";"Investitor - SKUPAJ";"113 Stanovanjske stavbe za posebne družbene skupine";2017;"23833426";"16472756";"z";"z";NA;"3932493"
"73";"Investitor - SKUPAJ";"1130 Stanovanjske stavbe za posebne družbene skupine";2010;"33158580";"29116575";NA;"z";"z";"32182"
"74";"Investitor - SKUPAJ";"1130 Stanovanjske stavbe za posebne družbene skupine";2011;"26212652";"22623933";NA;"1176027";"2350190";"62502"
"75";"Investitor - SKUPAJ";"1130 Stanovanjske stavbe za posebne družbene skupine";2012;"31528902";"18668035";"z";"5714073";"z";"5649500"
"76";"Investitor - SKUPAJ";"1130 Stanovanjske stavbe za posebne družbene skupine";2013;"18011503";"4438295";"z";"8131976";"z";"4219280"
"77";"Investitor - SKUPAJ";"1130 Stanovanjske stavbe za posebne družbene skupine";2014;"13941471";"8909329";NA;"z";"z";"3188917"
"78";"Investitor - SKUPAJ";"1130 Stanovanjske stavbe za posebne družbene skupine";2015;"19650969";"11291268";"z";"2972373";"z";"5347773"
"79";"Investitor - SKUPAJ";"1130 Stanovanjske stavbe za posebne družbene skupine";2016;"15534063";"6076450";"z";"1372974";"z";"7241423"
"80";"Investitor - SKUPAJ";"1130 Stanovanjske stavbe za posebne družbene skupine";2017;"23833426";"16472756";"z";"z";NA;"3932493"
"81";"Investitor - SKUPAJ";"12 NESTANOVANJSKE STAVBE";2010;"968348554";"740013671";"23102227";"104552332";"67720601";"32959724"
"82";"Investitor - SKUPAJ";"12 NESTANOVANJSKE STAVBE";2011;"696504520";"457989687";"17159798";"82634220";"105853514";"32867300"
"83";"Investitor - SKUPAJ";"12 NESTANOVANJSKE STAVBE";2012;"597438345";"352600136";"z";"100327226";"z";"121449042"
"84";"Investitor - SKUPAJ";"12 NESTANOVANJSKE STAVBE";2013;"507360829";"285316120";"8514654";"90922398";"13517588";"109090068"
"85";"Investitor - SKUPAJ";"12 NESTANOVANJSKE STAVBE";2014;"460906853";"223558227";"9436422";"98887199";"12435537";"116589468"
"86";"Investitor - SKUPAJ";"12 NESTANOVANJSKE STAVBE";2015;"478619240";"251703365";"14615815";"107154202";"5119750";"100026108"
"87";"Investitor - SKUPAJ";"12 NESTANOVANJSKE STAVBE";2016;"470005724";"245284485";"16123740";"93230116";"4750570";"110616813"
"88";"Investitor - SKUPAJ";"12 NESTANOVANJSKE STAVBE";2017;"655167673";"374966812";"16257220";"108870143";"3019318";"152054180"
"89";"Investitor - SKUPAJ";"121 Gostinske stavbe";2010;"79708752";"48740067";"z";"z";"z";"8912390"
"90";"Investitor - SKUPAJ";"121 Gostinske stavbe";2011;"40683438";"z";"z";"7528191";"7947082";"z"
"91";"Investitor - SKUPAJ";"121 Gostinske stavbe";2012;"19079828";"4089591";"4690183";"z";"z";"4658202"
"92";"Investitor - SKUPAJ";"121 Gostinske stavbe";2013;"16697554";"6914582";"z";"z";"z";"6079595"
"93";"Investitor - SKUPAJ";"121 Gostinske stavbe";2014;"17202701";"8433532";"19032";"z";"z";"z"
"94";"Investitor - SKUPAJ";"121 Gostinske stavbe";2015;"18168372";"12734688";"z";"1762419";"32626";"z"
"95";"Investitor - SKUPAJ";"121 Gostinske stavbe";2016;"37925928";"21915456";"z";"10052662";"z";"5854706"
"96";"Investitor - SKUPAJ";"121 Gostinske stavbe";2017;"47971656";"31198258";"145954";"9842910";"278330";"6506205"
"97";"Investitor - SKUPAJ";"1211 Hotelske in podobne gostinske stavbe";2010;"78507025";"48121340";"z";"z";"z";"8912390"
"98";"Investitor - SKUPAJ";"1211 Hotelske in podobne gostinske stavbe";2011;"39498730";"z";"z";"z";"z";"z"
"99";"Investitor - SKUPAJ";"1211 Hotelske in podobne gostinske stavbe";2012;"18019065";"z";"4690183";"z";"z";"3931296"
"100";"Investitor - SKUPAJ";"1211 Hotelske in podobne gostinske stavbe";2013;"15134653";"z";"z";"2993956";"z";"5895943"
"101";"Investitor - SKUPAJ";"1211 Hotelske in podobne gostinske stavbe";2014;"15653498";"7324476";"19032";"1401018";"z";"z"
"102";"Investitor - SKUPAJ";"1211 Hotelske in podobne gostinske stavbe";2015;"17061491";"11855509";"z";"1755848";"z";"z"
"103";"Investitor - SKUPAJ";"1211 Hotelske in podobne gostinske stavbe";2016;"35977794";"21130399";"z";"9721510";"z";"5022782"
"104";"Investitor - SKUPAJ";"1211 Hotelske in podobne gostinske stavbe";2017;"45725864";"29655662";"z";"9591270";"278330";"z"
"105";"Investitor - SKUPAJ";"1212 Druge gostinske stavbe za kratkotrajno nastanitev";2010;"1201727";"618727";NA;"z";"z";NA
"106";"Investitor - SKUPAJ";"1212 Druge gostinske stavbe za kratkotrajno nastanitev";2011;"1184708";"z";"z";"z";"z";"z"
"107";"Investitor - SKUPAJ";"1212 Druge gostinske stavbe za kratkotrajno nastanitev";2012;"1060763";"z";NA;"z";NA;"726906"
"108";"Investitor - SKUPAJ";"1212 Druge gostinske stavbe za kratkotrajno nastanitev";2013;"1562900";"z";"z";"z";NA;"183652"
"109";"Investitor - SKUPAJ";"1212 Druge gostinske stavbe za kratkotrajno nastanitev";2014;"1549203";"1109057";NA;"z";"z";"z"
"110";"Investitor - SKUPAJ";"1212 Druge gostinske stavbe za kratkotrajno nastanitev";2015;"1106881";"879179";"z";"6571";"z";"z"
"111";"Investitor - SKUPAJ";"1212 Druge gostinske stavbe za kratkotrajno nastanitev";2016;"1948133";"785057";NA;"331152";NA;"831924"
"112";"Investitor - SKUPAJ";"1212 Druge gostinske stavbe za kratkotrajno nastanitev";2017;"2245792";"1542597";"z";"251639";NA;"z"
"113";"Investitor - SKUPAJ";"122 Poslovne in upravne stavbe";2010;"79370492";"53519707";"2235290";"6199429";"13194092";"4221973"
"114";"Investitor - SKUPAJ";"122 Poslovne in upravne stavbe";2011;"111588992";"67257740";"3439374";"12306029";"22416210";"6169639"
"115";"Investitor - SKUPAJ";"122 Poslovne in upravne stavbe";2012;"124006348";"55305284";"z";"26848764";"z";"30883478"
"116";"Investitor - SKUPAJ";"122 Poslovne in upravne stavbe";2013;"80658660";"21822386";"429952";"22398800";"5552977";"30454545"
"117";"Investitor - SKUPAJ";"122 Poslovne in upravne stavbe";2014;"95608711";"31899857";"808280";"30923537";"4411785";"27565251"
"118";"Investitor - SKUPAJ";"122 Poslovne in upravne stavbe";2015;"77247708";"30193307";"492751";"19357127";"304726";"26899798"
"119";"Investitor - SKUPAJ";"122 Poslovne in upravne stavbe";2016;"91385787";"35191381";"1938757";"16426126";"575240";"37254283"
"120";"Investitor - SKUPAJ";"122 Poslovne in upravne stavbe";2017;"116730327";"45898070";"492974";"25093091";"238842";"45007350"
"121";"Investitor - SKUPAJ";"1220 Poslovne in upravne stavbe";2010;"79370492";"53519707";"2235290";"6199429";"13194092";"4221973"
"122";"Investitor - SKUPAJ";"1220 Poslovne in upravne stavbe";2011;"111588992";"67257740";"3439374";"12306029";"22416210";"6169639"
"123";"Investitor - SKUPAJ";"1220 Poslovne in upravne stavbe";2012;"124006348";"55305284";"z";"26848764";"z";"30883478"
"124";"Investitor - SKUPAJ";"1220 Poslovne in upravne stavbe";2013;"80658660";"21822386";"429952";"22398800";"5552977";"30454545"
"125";"Investitor - SKUPAJ";"1220 Poslovne in upravne stavbe";2014;"95608711";"31899857";"808280";"30923537";"4411785";"27565251"
"126";"Investitor - SKUPAJ";"1220 Poslovne in upravne stavbe";2015;"77247708";"30193307";"492751";"19357127";"304726";"26899798"
"127";"Investitor - SKUPAJ";"1220 Poslovne in upravne stavbe";2016;"91385787";"35191381";"1938757";"16426126";"575240";"37254283"
"128";"Investitor - SKUPAJ";"1220 Poslovne in upravne stavbe";2017;"116730327";"45898070";"492974";"25093091";"238842";"45007350"
"129";"Investitor - SKUPAJ";"123 Trgovske stavbe in stavbe za storitvene dejavnosti";2010;"315199532";"273603546";"5874734";"23339360";"8537208";"3844683"
"130";"Investitor - SKUPAJ";"123 Trgovske stavbe in stavbe za storitvene dejavnosti";2011;"136759632";"107795580";"1522723";"8735508";"11695910";"7009912"
"131";"Investitor - SKUPAJ";"123 Trgovske stavbe in stavbe za storitvene dejavnosti";2012;"122452961";"93037506";"z";"14453341";"z";"14639713"
"132";"Investitor - SKUPAJ";"123 Trgovske stavbe in stavbe za storitvene dejavnosti";2013;"70560904";"44722176";"z";"11216556";"z";"13807478"
"133";"Investitor - SKUPAJ";"123 Trgovske stavbe in stavbe za storitvene dejavnosti";2014;"55391907";"29254237";"236705";"13013007";"291083";"12596875"
"134";"Investitor - SKUPAJ";"123 Trgovske stavbe in stavbe za storitvene dejavnosti";2015;"80286654";"43179839";"2290398";"18625716";"346430";"15844269"
"135";"Investitor - SKUPAJ";"123 Trgovske stavbe in stavbe za storitvene dejavnosti";2016;"90373201";"50438877";"4811945";"22809757";"268590";"12044033"
"136";"Investitor - SKUPAJ";"123 Trgovske stavbe in stavbe za storitvene dejavnosti";2017;"129747199";"85459899";"3109514";"25172136";"829469";"15176180"
"137";"Investitor - SKUPAJ";"1230 Trgovske stavbe in stavbe za storitvene dejavnosti";2010;"315199532";"273603546";"5874734";"23339360";"8537208";"3844683"
"138";"Investitor - SKUPAJ";"1230 Trgovske stavbe in stavbe za storitvene dejavnosti";2011;"136759632";"107795580";"1522723";"8735508";"11695910";"7009912"
