"";"Občine";"Leto";"Spol";"Izobrazba...SKUPAJ";"Osnovnošolska.ali.manj";"Srednješolska";"Višješolska..visokošolska";"Neznano"
"79";"Ankaran/Ancarano";2015;"Spol - SKUPAJ";1339;"158";665;"516";NA
"80";"Ankaran/Ancarano";2015;"Moški";706;"102";385;"219";NA
"81";"Ankaran/Ancarano";2015;"Ženske";633;"56";280;"297";NA
"82";"Ankaran/Ancarano";2016;"Spol - SKUPAJ";1384;"158";679;"547";NA
"83";"Ankaran/Ancarano";2016;"Moški";719;"104";382;"233";NA
"84";"Ankaran/Ancarano";2016;"Ženske";665;"54";297;"314";NA
"85";"Ankaran/Ancarano";2017;"Spol - SKUPAJ";1397;"124";691;"582";NA
"86";"Ankaran/Ancarano";2017;"Moški";731;"73";407;"251";NA
"87";"Ankaran/Ancarano";2017;"Ženske";666;"51";284;"331";NA
"88";"Apače";2007;"Spol - SKUPAJ";1347;"314";830;"127";75
"89";"Apače";2007;"Moški";791;"201";497;"41";53
"90";"Apače";2007;"Ženske";556;"114";334;"86";22
"91";"Apače";2008;"Spol - SKUPAJ";1345;"314";823;"142";66
"92";"Apače";2008;"Moški";784;"197";502;"43";41
"93";"Apače";2008;"Ženske";562;"117";321;"99";24
"94";"Apače";2009;"Spol - SKUPAJ";1270;"272";814;"149";34
"95";"Apače";2009;"Moški";744;"181";493;"49";21
"96";"Apače";2009;"Ženske";526;"92";321;"100";14
"97";"Apače";2010;"Spol - SKUPAJ";1232;"247";799;"155";31
"98";"Apače";2010;"Moški";713;"167";477;"49";20
"99";"Apače";2010;"Ženske";519;"80";322;"106";11
"100";"Apače";2011;"Spol - SKUPAJ";1189;"250";772;"167";NA
"101";"Apače";2011;"Moški";686;"165";462;"59";NA
"102";"Apače";2011;"Ženske";503;"85";310;"108";NA
"103";"Apače";2012;"Spol - SKUPAJ";1145;"218";748;"179";NA
"104";"Apače";2012;"Moški";650;"138";446;"66";NA
"105";"Apače";2012;"Ženske";495;"80";302;"113";NA
"106";"Apače";2013;"Spol - SKUPAJ";1105;"203";717;"185";NA
"107";"Apače";2013;"Moški";619;"134";422;"63";NA
"108";"Apače";2013;"Ženske";486;"69";295;"122";NA
"109";"Apače";2014;"Spol - SKUPAJ";1054;"193";669;"192";NA
"110";"Apače";2014;"Moški";603;"128";405;"70";NA
"111";"Apače";2014;"Ženske";451;"65";264;"122";NA
"112";"Apače";2015;"Spol - SKUPAJ";1074;"179";689;"206";NA
"113";"Apače";2015;"Moški";604;"117";412;"75";NA
"114";"Apače";2015;"Ženske";470;"62";277;"131";NA
"115";"Apače";2016;"Spol - SKUPAJ";1072;"171";677;"224";NA
"116";"Apače";2016;"Moški";591;"108";398;"85";NA
"117";"Apače";2016;"Ženske";481;"63";279;"139";NA
"118";"Apače";2017;"Spol - SKUPAJ";1043;"162";646;"235";NA
"119";"Apače";2017;"Moški";567;"103";379;"85";NA
"120";"Apače";2017;"Ženske";476;"59";267;"150";NA
"121";"Beltinci";2005;"Spol - SKUPAJ";3348;"907";1992;"412";37
"122";"Beltinci";2005;"Moški";1849;"510";1129;"184";26
"123";"Beltinci";2005;"Ženske";1499;"397";863;"228";11
"124";"Beltinci";2006;"Spol - SKUPAJ";3434;"905";2046;"446";37
"125";"Beltinci";2006;"Moški";1920;"518";1175;"202";25
"126";"Beltinci";2006;"Ženske";1514;"386";871;"244";12
"127";"Beltinci";2007;"Spol - SKUPAJ";3482;"871";2102;"470";38
"128";"Beltinci";2007;"Moški";1955;"517";1205;"208";26
"129";"Beltinci";2007;"Ženske";1526;"354";898;"262";13
"130";"Beltinci";2008;"Spol - SKUPAJ";3560;"872";2165;"498";25
"131";"Beltinci";2008;"Moški";1974;"505";1228;"217";24
"132";"Beltinci";2008;"Ženske";1586;"367";937;"281";1
"133";"Beltinci";2009;"Spol - SKUPAJ";3165;"637";1977;"533";18
"134";"Beltinci";2009;"Moški";1810;"379";1176;"239";17
"135";"Beltinci";2009;"Ženske";1355;"259";801;"294";1
"136";"Beltinci";2010;"Spol - SKUPAJ";3195;"614";2002;"566";13
"137";"Beltinci";2010;"Moški";1792;"368";1159;"253";12
"138";"Beltinci";2010;"Ženske";1403;"246";843;"313";1
"139";"Beltinci";2011;"Spol - SKUPAJ";3254;"584";2076;"594";NA
"140";"Beltinci";2011;"Moški";1816;"342";1210;"264";NA
"141";"Beltinci";2011;"Ženske";1438;"242";866;"330";NA
"142";"Beltinci";2012;"Spol - SKUPAJ";3063;"485";1956;"622";NA
"143";"Beltinci";2012;"Moški";1668;"267";1131;"270";NA
"144";"Beltinci";2012;"Ženske";1395;"218";825;"352";NA
"145";"Beltinci";2013;"Spol - SKUPAJ";3062;"455";1951;"656";NA
"146";"Beltinci";2013;"Moški";1688;"255";1147;"286";NA
"147";"Beltinci";2013;"Ženske";1374;"200";804;"370";NA
"148";"Beltinci";2014;"Spol - SKUPAJ";2945;"345";1930;"670";NA
"149";"Beltinci";2014;"Moški";1625;"197";1135;"293";NA
"150";"Beltinci";2014;"Ženske";1320;"148";795;"377";NA
"151";"Beltinci";2015;"Spol - SKUPAJ";2965;"354";1911;"700";NA
"152";"Beltinci";2015;"Moški";1613;"196";1115;"302";NA
"153";"Beltinci";2015;"Ženske";1352;"158";796;"398";NA
"154";"Beltinci";2016;"Spol - SKUPAJ";2967;"300";1931;"736";NA
"155";"Beltinci";2016;"Moški";1576;"153";1115;"308";NA
"156";"Beltinci";2016;"Ženske";1391;"147";816;"428";NA
