"Delovno aktivno prebivalstvo po: OBÈINE, LETO, SPOL , DOSEŽENA IZOBRAZBA"

"Obèine";"Leto";"Spol";"Izobrazba - SKUPAJ";"Osnovnošolska ali manj";"Srednješolska";"Višješolska, visokošolska";"Neznano"
" ";"2009"
" ";" ";"Spol - SKUPAJ";1535;205;999;320;10
" ";" ";"Moški";846;123;590;127;6
" ";" ";"Ženske";689;82;409;193;4
" ";"2010"
" ";" ";"Spol - SKUPAJ";1515;187;989;329;10
" ";" ";"Moški";827;113;579;129;6
" ";" ";"Ženske";688;74;410;200;4
" ";"2011"
" ";" ";"Spol - SKUPAJ";1508;171;979;358;-
" ";" ";"Moški";817;100;571;146;-
" ";" ";"Ženske";691;71;408;212;-
" ";"2012"
" ";" ";"Spol - SKUPAJ";1462;146;944;372;-
" ";" ";"Moški";779;87;541;151;-
" ";" ";"Ženske";683;59;403;221;-
" ";"2013"
" ";" ";"Spol - SKUPAJ";1464;146;932;386;-
" ";" ";"Moški";789;90;545;154;-
" ";" ";"Ženske";675;56;387;232;-
" ";"2014"
" ";" ";"Spol - SKUPAJ";1457;134;915;408;-
" ";" ";"Moški";770;79;533;158;-
" ";" ";"Ženske";687;55;382;250;-
" ";"2015"
" ";" ";"Spol - SKUPAJ";1459;118;913;428;-
" ";" ";"Moški";765;64;530;171;-
" ";" ";"Ženske";694;54;383;257;-
" ";"2016"
" ";" ";"Spol - SKUPAJ";1486;103;922;461;-
" ";" ";"Moški";789;53;549;187;-
" ";" ";"Ženske";697;50;373;274;-
" ";"2017"
" ";" ";"Spol - SKUPAJ";1503;94;919;490;-
" ";" ";"Moški";801;49;554;198;-
" ";" ";"Ženske";702;45;365;292;-
"Hoèe - Slivnica"
" ";"2005"
" ";" ";"Spol - SKUPAJ";4056;567;2618;847;24
" ";" ";"Moški";2241;333;1540;350;19
" ";" ";"Ženske";1815;235;1077;497;5
" ";"2006"
" ";" ";"Spol - SKUPAJ";4241;595;2704;920;22
" ";" ";"Moški";2382;388;1599;378;17
" ";" ";"Ženske";1860;207;1105;542;5
" ";"2007"
" ";" ";"Spol - SKUPAJ";4584;724;2848;992;21
" ";" ";"Moški";2639;517;1705;401;15
" ";" ";"Ženske";1946;207;1143;590;6
" ";"2008"
" ";" ";"Spol - SKUPAJ";4760;770;2903;1070;17
" ";" ";"Moški";2766;573;1754;427;11
" ";" ";"Ženske";1995;197;1149;643;6
" ";"2009"
" ";" ";"Spol - SKUPAJ";4437;465;2842;1120;10
" ";" ";"Moški";2465;295;1717;445;7
" ";" ";"Ženske";1972;170;1125;674;3
" ";"2010"
" ";" ";"Spol - SKUPAJ";4257;388;2725;1137;7
" ";" ";"Moški";2353;242;1646;459;6
" ";" ";"Ženske";1904;146;1079;678;1
" ";"2011"
" ";" ";"Spol - SKUPAJ";4288;369;2729;1190;-
" ";" ";"Moški";2378;242;1649;487;-
" ";" ";"Ženske";1910;127;1080;703;-
" ";"2012"
" ";" ";"Spol - SKUPAJ";4275;311;2741;1223;-
" ";" ";"Moški";2400;195;1705;500;-
" ";" ";"Ženske";1875;116;1036;723;-
" ";"2013"
" ";" ";"Spol - SKUPAJ";4277;286;2710;1281;-
" ";" ";"Moški";2386;174;1683;529;-
" ";" ";"Ženske";1891;112;1027;752;-
" ";"2014"
" ";" ";"Spol - SKUPAJ";4303;265;2711;1327;-
" ";" ";"Moški";2452;163;1738;551;-
" ";" ";"Ženske";1851;102;973;776;-
" ";"2015"
" ";" ";"Spol - SKUPAJ";4447;246;2808;1393;-
" ";" ";"Moški";2537;152;1829;556;-
" ";" ";"Ženske";1910;94;979;837;-
" ";"2016"
" ";" ";"Spol - SKUPAJ";4538;227;2859;1452;-
" ";" ";"Moški";2590;145;1855;590;-
" ";" ";"Ženske";1948;82;1004;862;-
" ";"2017"
" ";" ";"Spol - SKUPAJ";4809;225;3037;1547;-
" ";" ";"Moški";2806;145;2021;640;-
" ";" ";"Ženske";2003;80;1016;907;-
"Hodoš/Hodos"
" ";"2005"
" ";" ";"Spol - SKUPAJ";97;64;28;4;1
" ";" ";"Moški";56;39;14;2;1
" ";" ";"Ženske";41;25;14;2;-
" ";"2006"
" ";" ";"Spol - SKUPAJ";118;80;33;5;-
" ";" ";"Moški";73;56;15;2;-
" ";" ";"Ženske";45;24;18;3;-
" ";"2007"
" ";" ";"Spol - SKUPAJ";116;74;36;6;-
" ";" ";"Moški";66;48;15;3;-
" ";" ";"Ženske";51;27;21;3;-
" ";"2008"
" ";" ";"Spol - SKUPAJ";118;74;38;6;-
" ";" ";"Moški";66;49;14;3;-
" ";" ";"Ženske";52;25;24;3;-
" ";"2009"
" ";" ";"Spol - SKUPAJ";107;66;36;5;-
" ";" ";"Moški";65;42;21;2;-
" ";" ";"Ženske";42;24;15;3;-
" ";"2010"
" ";" ";"Spol - SKUPAJ";112;64;39;7;2
" ";" ";"Moški";67;41;22;2;2
" ";" ";"Ženske";45;23;17;5;-
" ";"2011"
" ";" ";"Spol - SKUPAJ";114;63;44;7;-
" ";" ";"Moški";62;36;23;3;-
" ";" ";"Ženske";52;27;21;4;-
" ";"2012"
" ";" ";"Spol - SKUPAJ";91;46;37;8;-
" ";" ";"Moški";53;30;18;5;-
" ";" ";"Ženske";38;16;19;3;-
" ";"2013"
" ";" ";"Spol - SKUPAJ";89;44;36;9;-
" ";" ";"Moški";42;23;14;5;-
" ";" ";"Ženske";47;21;22;4;-
" ";"2014"
" ";" ";"Spol - SKUPAJ";81;35;36;10;-
" ";" ";"Moški";43;22;16;5;-
" ";" ";"Ženske";38;13;20;5;-
" ";"2015"
" ";" ";"Spol - SKUPAJ";80;36;35;9;-
" ";" ";"Moški";42;20;17;5;-
" ";" ";"Ženske";38;16;18;4;-
" ";"2016"
" ";" ";"Spol - SKUPAJ";79;30;39;10;-
" ";" ";"Moški";43;18;19;6;-
" ";" ";"Ženske";36;12;20;4;-
" ";"2017"
" ";" ";"Spol - SKUPAJ";80;31;39;10;-
" ";" ";"Moški";43;20;18;5;-
" ";" ";"Ženske";37;11;21;5;-
"Horjul"
" ";"2005"
" ";" ";"Spol - SKUPAJ";1217;207;785;209;15
" ";" ";"Moški";706;121;496;80;9
" ";" ";"Ženske";510;86;289;129;6
" ";"2006"
" ";" ";"Spol - SKUPAJ";1211;193;784;219;15
" ";" ";"Moški";705;117;494;85;9
" ";" ";"Ženske";505;76;290;134;6
" ";"2007"
" ";" ";"Spol - SKUPAJ";1273;202;825;233;12
" ";" ";"Moški";753;130;520;97;6
" ";" ";"Ženske";520;72;305;136;6
" ";"2008"
" ";" ";"Spol - SKUPAJ";1302;196;848;244;14
" ";" ";"Moški";776;128;539;104;6
" ";" ";"Ženske";526;68;309;140;8
" ";"2009"
" ";" ";"Spol - SKUPAJ";1276;158;844;270;4
" ";" ";"Moški";757;101;537;114;4
" ";" ";"Ženske";519;57;306;156;-
" ";"2010"
" ";" ";"Spol - SKUPAJ";1261;137;835;285;4
" ";" ";"Moški";744;91;527;122;4
" ";" ";"Ženske";517;46;308;163;-
" ";"2011"
" ";" ";"Spol - SKUPAJ";1255;139;819;297;-
" ";" ";"Moški";725;93;513;119;-
" ";" ";"Ženske";530;46;306;178;-
" ";"2012"
" ";" ";"Spol - SKUPAJ";1226;125;786;315;-
" ";" ";"Moški";715;85;505;125;-
" ";" ";"Ženske";511;40;281;190;-
" ";"2013"
" ";" ";"Spol - SKUPAJ";1244;127;781;336;-
" ";" ";"Moški";723;87;500;136;-
" ";" ";"Ženske";521;40;281;200;-
" ";"2014"
" ";" ";"Spol - SKUPAJ";1239;115;766;358;-
" ";" ";"Moški";706;77;491;138;-
" ";" ";"Ženske";533;38;275;220;-
" ";"2015"
" ";" ";"Spol - SKUPAJ";1247;102;760;385;-
" ";" ";"Moški";691;65;478;148;-
" ";" ";"Ženske";556;37;282;237;-
" ";"2016"
" ";" ";"Spol - SKUPAJ";1228;95;747;386;-
" ";" ";"Moški";684;63;475;146;-
" ";" ";"Ženske";544;32;272;240;-
" ";"2017"
" ";" ";"Spol - SKUPAJ";1274;98;774;402;-
" ";" ";"Moški";713;65;494;154;-
" ";" ";"Ženske";561;33;280;248;-
"Hrastnik"
" ";"2005"
" ";" ";"Spol - SKUPAJ";4010;1111;2320;542;37
" ";" ";"Moški";2299;697;1363;213;26
" ";" ";"Ženske";1711;414;957;329;11
" ";"2006"
" ";" ";"Spol - SKUPAJ";4049;1115;2343;574;17
" ";" ";"Moški";2343;714;1381;234;15
" ";" ";"Ženske";1705;401;962;340;2
" ";"2007"
" ";" ";"Spol - SKUPAJ";4154;1085;2451;609;9
" ";" ";"Moški";2391;700;1436;247;8
" ";" ";"Ženske";1763;385;1015;362;1
" ";"2008"
" ";" ";"Spol - SKUPAJ";4208;1066;2482;649;10
" ";" ";"Moški";2394;684;1439;263;7
" ";" ";"Ženske";1814;382;1043;386;3
" ";"2009"
" ";" ";"Spol - SKUPAJ";3794;766;2368;652;8
" ";" ";"Moški";2095;451;1382;258;4
" ";" ";"Ženske";1699;315;986;394;4
" ";"2010"
" ";" ";"Spol - SKUPAJ";3676;701;2274;696;5
" ";" ";"Moški";1974;406;1295;271;2
" ";" ";"Ženske";1702;295;979;425;3
" ";"2011"
" ";" ";"Spol - SKUPAJ";3600;626;2238;736;-
" ";" ";"Moški";1939;349;1303;287;-
" ";" ";"Ženske";1661;277;935;449;-
" ";"2012"
" ";" ";"Spol - SKUPAJ";3404;528;2120;756;-
" ";" ";"Moški";1806;284;1242;280;-
" ";" ";"Ženske";1598;244;878;476;-
" ";"2013"
" ";" ";"Spol - SKUPAJ";3372;507;2089;776;-
" ";" ";"Moški";1788;277;1217;294;-
" ";" ";"Ženske";1584;230;872;482;-
" ";"2014"
" ";" ";"Spol - SKUPAJ";3348;487;2059;802;-
" ";" ";"Moški";1762;269;1193;300;-
" ";" ";"Ženske";1586;218;866;502;-
" ";"2015"
" ";" ";"Spol - SKUPAJ";3352;487;2037;828;-
" ";" ";"Moški";1786;277;1192;317;-
" ";" ";"Ženske";1566;210;845;511;-
" ";"2016"
" ";" ";"Spol - SKUPAJ";3416;466;2072;878;-
" ";" ";"Moški";1783;253;1205;325;-
" ";" ";"Ženske";1633;213;867;553;-
" ";"2017"
" ";" ";"Spol - SKUPAJ";3544;451;2180;913;-
" ";" ";"Moški";1835;239;1267;329;-
" ";" ";"Ženske";1709;212;913;584;-
"Hrpelje - Kozina"
" ";"2005"
" ";" ";"Spol - SKUPAJ";1667;366;990;262;50
" ";" ";"Moški";1024;236;633;114;41
" ";" ";"Ženske";644;130;357;148;9
" ";"2006"
" ";" ";"Spol - SKUPAJ";1699;347;1006;289;57
" ";" ";"Moški";1039;217;650;123;48
" ";" ";"Ženske";660;130;355;166;8
" ";"2007"
" ";" ";"Spol - SKUPAJ";1794;385;1069;296;44
" ";" ";"Moški";1117;256;695;126;40
" ";" ";"Ženske";677;129;374;170;4
" ";"2008"
" ";" ";"Spol - SKUPAJ";1862;400;1125;298;39
" ";" ";"Moški";1164;279;733;117;35
" ";" ";"Ženske";698;121;391;181;4
" ";"2009"
" ";" ";"Spol - SKUPAJ";1814;329;1127;332;27
" ";" ";"Moški";1114;226;737;129;22
" ";" ";"Ženske";700;103;389;203;5
" ";"2010"
" ";" ";"Spol - SKUPAJ";1778;295;1109;352;22
" ";" ";"Moški";1082;204;722;140;16
" ";" ";"Ženske";696;91;387;212;6
" ";"2011"
" ";" ";"Spol - SKUPAJ";1786;268;1116;402;-
" ";" ";"Moški";1069;183;731;155;-
" ";" ";"Ženske";717;85;385;247;-
" ";"2012"
" ";" ";"Spol - SKUPAJ";1686;225;1051;410;-
" ";" ";"Moški";1003;156;695;152;-
" ";" ";"Ženske";683;69;356;258;-
" ";"2013"
" ";" ";"Spol - SKUPAJ";1666;203;1038;425;-
" ";" ";"Moški";983;134;681;168;-
" ";" ";"Ženske";683;69;357;257;-
" ";"2014"
" ";" ";"Spol - SKUPAJ";1679;199;1033;447;-
" ";" ";"Moški";988;131;675;182;-
" ";" ";"Ženske";691;68;358;265;-
" ";"2015"
" ";" ";"Spol - SKUPAJ";1735;187;1041;507;-
" ";" ";"Moški";1003;123;683;197;-
" ";" ";"Ženske";732;64;358;310;-
" ";"2016"
" ";" ";"Spol - SKUPAJ";1788;182;1065;541;-
" ";" ";"Moški";1012;113;693;206;-
" ";" ";"Ženske";776;69;372;335;-
" ";"2017"
" ";" ";"Spol - SKUPAJ";1868;185;1106;577;-
" ";" ";"Moški";1061;121;720;220;-
" ";" ";"Ženske";807;64;386;357;-
"Idrija"
" ";"2005"
" ";" ";"Spol - SKUPAJ";5217;1356;2788;1055;18
" ";" ";"Moški";2976;763;1742;460;11
" ";" ";"Ženske";2241;593;1046;595;7
" ";"2006"
" ";" ";"Spol - SKUPAJ";5318;1340;2844;1119;16
" ";" ";"Moški";3028;761;1783;474;10
" ";" ";"Ženske";2290;579;1060;644;5
" ";"2007"
" ";" ";"Spol - SKUPAJ";5401;1355;2873;1159;14
" ";" ";"Moški";3116;817;1805;484;11
" ";" ";"Ženske";2286;538;1068;675;3
" ";"2008"
" ";" ";"Spol - SKUPAJ";5378;1300;2838;1227;13
" ";" ";"Moški";3105;802;1781;513;10
" ";" ";"Ženske";2273;499;1057;714;3
" ";"2009"
" ";" ";"Spol - SKUPAJ";5108;1068;2786;1238;16
" ";" ";"Moški";2925;639;1751;525;10
" ";" ";"Ženske";2183;429;1035;713;6
" ";"2010"
" ";" ";"Spol - SKUPAJ";4921;942;2696;1276;7
" ";" ";"Moški";2829;588;1698;539;4
" ";" ";"Ženske";2092;354;998;737;3
" ";"2011"
" ";" ";"Spol - SKUPAJ";4986;909;2734;1343;-
" ";" ";"Moški";2824;534;1734;556;-
" ";" ";"Ženske";2162;375;1000;787;-
" ";"2012"
" ";" ";"Spol - SKUPAJ";5048;934;2745;1369;-
" ";" ";"Moški";2896;551;1773;572;-
" ";" ";"Ženske";2152;383;972;797;-
" ";"2013"
" ";" ";"Spol - SKUPAJ";5018;862;2709;1447;-
" ";" ";"Moški";2860;504;1760;596;-
" ";" ";"Ženske";2158;358;949;851;-
" ";"2014"
" ";" ";"Spol - SKUPAJ";5022;834;2716;1472;-
" ";" ";"Moški";2875;491;1769;615;-
" ";" ";"Ženske";2147;343;947;857;-
" ";"2015"
" ";" ";"Spol - SKUPAJ";4964;775;2694;1495;-
" ";" ";"Moški";2818;438;1757;623;-
" ";" ";"Ženske";2146;337;937;872;-
" ";"2016"
" ";" ";"Spol - SKUPAJ";5008;743;2725;1540;-
" ";" ";"Moški";2841;424;1762;655;-
" ";" ";"Ženske";2167;319;963;885;-
" ";"2017"
" ";" ";"Spol - SKUPAJ";5173;755;2766;1652;-
" ";" ";"Moški";2897;418;1795;684;-
" ";" ";"Ženske";2276;337;971;968;-
"Ig"
" ";"2005"
" ";" ";"Spol - SKUPAJ";2725;516;1711;478;20
" ";" ";"Moški";1479;276;997;187;19
" ";" ";"Ženske";1246;240;714;291;1
" ";"2006"
" ";" ";"Spol - SKUPAJ";2768;508;1733;501;26
" ";" ";"Moški";1509;274;1011;200;25
" ";" ";"Ženske";1259;234;722;301;1
" ";"2007"
" ";" ";"Spol - SKUPAJ";2870;530;1751;568;22
" ";" ";"Moški";1583;305;1037;219;22
" ";" ";"Ženske";1288;225;714;349;-
" ";"2008"
" ";" ";"Spol - SKUPAJ";3010;573;1799;616;22
" ";" ";"Moški";1683;356;1075;229;22
" ";" ";"Ženske";1327;217;724;387;-
" ";"2009"
" ";" ";"Spol - SKUPAJ";3030;483;1845;686;16
" ";" ";"Moški";1686;298;1105;266;16
" ";" ";"Ženske";1344;185;740;420;-
" ";"2010"
" ";" ";"Spol - SKUPAJ";2952;432;1798;711;11
" ";" ";"Moški";1614;261;1069;273;11
" ";" ";"Ženske";1338;171;729;438;-
" ";"2011"
" ";" ";"Spol - SKUPAJ";2977;419;1793;765;-
" ";" ";"Moški";1618;255;1070;293;-
" ";" ";"Ženske";1359;164;723;472;-
" ";"2012"
" ";" ";"Spol - SKUPAJ";2969;382;1775;812;-
" ";" ";"Moški";1597;221;1067;309;-
" ";" ";"Ženske";1372;161;708;503;-
" ";"2013"
" ";" ";"Spol - SKUPAJ";2960;336;1779;845;-
" ";" ";"Moški";1572;196;1061;315;-
" ";" ";"Ženske";1388;140;718;530;-
" ";"2014"
" ";" ";"Spol - SKUPAJ";2977;312;1788;877;-
" ";" ";"Moški";1620;190;1084;346;-
" ";" ";"Ženske";1357;122;704;531;-
" ";"2015"
" ";" ";"Spol - SKUPAJ";2976;298;1752;926;-
" ";" ";"Moški";1596;178;1057;361;-
" ";" ";"Ženske";1380;120;695;565;-
" ";"2016"
" ";" ";"Spol - SKUPAJ";3053;280;1792;981;-
" ";" ";"Moški";1635;168;1089;378;-
" ";" ";"Ženske";1418;112;703;603;-
" ";"2017"
" ";" ";"Spol - SKUPAJ";3158;286;1807;1065;-
" ";" ";"Moški";1692;165;1113;414;-
" ";" ";"Ženske";1466;121;694;651;-
"Ilirska Bistrica"
" ";"2005"
" ";" ";"Spol - SKUPAJ";5628;1058;3551;979;41
" ";" ";"Moški";3338;636;2269;398;36
" ";" ";"Ženske";2290;422;1282;581;5
" ";"2006"
" ";" ";"Spol - SKUPAJ";5777;1087;3588;1062;39
" ";" ";"Moški";3421;657;2294;436;34
" ";" ";"Ženske";2356;430;1295;626;5
" ";"2007"
" ";" ";"Spol - SKUPAJ";6001;1131;3710;1132;28
" ";" ";"Moški";3547;710;2361;453;23
" ";" ";"Ženske";2454;421;1349;679;5
" ";"2008"
" ";" ";"Spol - SKUPAJ";6063;1093;3736;1204;30
" ";" ";"Moški";3584;693;2385;483;24
" ";" ";"Ženske";2478;400;1351;721;6
" ";"2009"
" ";" ";"Spol - SKUPAJ";5836;892;3719;1197;28
" ";" ";"Moški";3456;568;2402;469;16
" ";" ";"Ženske";2380;324;1316;727;12
" ";"2010"
" ";" ";"Spol - SKUPAJ";5580;794;3543;1225;18
" ";" ";"Moški";3288;516;2286;478;8
" ";" ";"Ženske";2292;278;1257;747;10
" ";"2011"
" ";" ";"Spol - SKUPAJ";5567;722;3540;1305;-
" ";" ";"Moški";3285;471;2318;496;-
" ";" ";"Ženske";2282;251;1222;809;-
" ";"2012"
" ";" ";"Spol - SKUPAJ";5410;640;3415;1355;-
" ";" ";"Moški";3168;415;2223;530;-
" ";" ";"Ženske";2242;225;1192;825;-
" ";"2013"
" ";" ";"Spol - SKUPAJ";5360;604;3394;1362;-
" ";" ";"Moški";3161;395;2229;537;-
" ";" ";"Ženske";2199;209;1165;825;-
" ";"2014"
" ";" ";"Spol - SKUPAJ";5338;568;3361;1409;-
" ";" ";"Moški";3164;371;2232;561;-
" ";" ";"Ženske";2174;197;1129;848;-
" ";"2015"
" ";" ";"Spol - SKUPAJ";5305;533;3325;1447;-
" ";" ";"Moški";3111;342;2189;580;-
" ";" ";"Ženske";2194;191;1136;867;-
" ";"2016"
" ";" ";"Spol - SKUPAJ";5387;489;3382;1516;-
" ";" ";"Moški";3146;310;2242;594;-
" ";" ";"Ženske";2241;179;1140;922;-
" ";"2017"
" ";" ";"Spol - SKUPAJ";5527;472;3448;1607;-
" ";" ";"Moški";3188;289;2275;624;-
" ";" ";"Ženske";2339;183;1173;983;-
"Ivanèna Gorica"
" ";"2005"
" ";" ";"Spol - SKUPAJ";6200;1259;3818;973;150
" ";" ";"Moški";3525;780;2233;396;116
" ";" ";"Ženske";2675;479;1586;577;34
" ";"2006"
" ";" ";"Spol - SKUPAJ";6372;1241;3913;1061;157
" ";" ";"Moški";3640;770;2320;429;121
" ";" ";"Ženske";2732;471;1593;632;36
" ";"2007"
" ";" ";"Spol - SKUPAJ";6692;1283;4083;1170;155
" ";" ";"Moški";3845;820;2437;472;116
" ";" ";"Ženske";2847;463;1646;698;39
" ";"2008"
" ";" ";"Spol - SKUPAJ";6969;1305;4273;1257;134
" ";" ";"Moški";3983;831;2545;509;97
" ";" ";"Ženske";2986;474;1728;748;37
" ";"2009"
" ";" ";"Spol - SKUPAJ";7005;1062;4436;1435;73
" ";" ";"Moški";3989;693;2661;578;57
" ";" ";"Ženske";3016;369;1775;857;16
" ";"2010"
" ";" ";"Spol - SKUPAJ";6921;934;4407;1527;53
" ";" ";"Moški";3940;617;2674;605;44
" ";" ";"Ženske";2981;317;1733;922;9
" ";"2011"
" ";" ";"Spol - SKUPAJ";7027;929;4389;1709;-
" ";" ";"Moški";3959;620;2669;670;-
" ";" ";"Ženske";3068;309;1720;1039;-
" ";"2012"
" ";" ";"Spol - SKUPAJ";6971;814;4349;1808;-
" ";" ";"Moški";3940;550;2659;731;-
" ";" ";"Ženske";3031;264;1690;1077;-
" ";"2013"
" ";" ";"Spol - SKUPAJ";6986;758;4324;1904;-
" ";" ";"Moški";3944;508;2664;772;-
" ";" ";"Ženske";3042;250;1660;1132;-
" ";"2014"
" ";" ";"Spol - SKUPAJ";7176;731;4438;2007;-
" ";" ";"Moški";4072;494;2761;817;-
" ";" ";"Ženske";3104;237;1677;1190;-
" ";"2015"
" ";" ";"Spol - SKUPAJ";7189;623;4457;2109;-
" ";" ";"Moški";4009;402;2750;857;-
" ";" ";"Ženske";3180;221;1707;1252;-
" ";"2016"
" ";" ";"Spol - SKUPAJ";7441;587;4596;2258;-
" ";" ";"Moški";4148;377;2870;901;-
" ";" ";"Ženske";3293;210;1726;1357;-
" ";"2017"
" ";" ";"Spol - SKUPAJ";7807;608;4737;2462;-
" ";" ";"Moški";4363;384;2984;995;-
" ";" ";"Ženske";3444;224;1753;1467;-
"Izola/Isola"
" ";"2005"
" ";" ";"Spol - SKUPAJ";6347;1526;3347;1453;21
" ";" ";"Moški";3526;926;1915;674;11
" ";" ";"Ženske";2821;600;1432;779;10
" ";"2006"
" ";" ";"Spol - SKUPAJ";6605;1605;3472;1511;18
" ";" ";"Moški";3716;1020;1992;696;9
" ";" ";"Ženske";2889;585;1480;815;9
" ";"2007"
" ";" ";"Spol - SKUPAJ";6901;1739;3564;1583;15
" ";" ";"Moški";3994;1174;2087;725;7
" ";" ";"Ženske";2907;564;1476;858;8
" ";"2008"
" ";" ";"Spol - SKUPAJ";7207;1902;3641;1649;15
" ";" ";"Moški";4197;1329;2117;745;6
" ";" ";"Ženske";3010;573;1524;904;9
" ";"2009"
" ";" ";"Spol - SKUPAJ";6911;1488;3698;1720;6
" ";" ";"Moški";3962;1020;2190;749;3
" ";" ";"Ženske";2949;468;1507;971;3
" ";"2010"
" ";" ";"Spol - SKUPAJ";6556;1307;3516;1728;5
" ";" ";"Moški";3678;883;2043;750;2
" ";" ";"Ženske";2878;424;1473;978;3
" ";"2011"
" ";" ";"Spol - SKUPAJ";6430;1141;3459;1830;-
" ";" ";"Moški";3585;773;2027;785;-
" ";" ";"Ženske";2845;368;1432;1045;-
" ";"2012"
" ";" ";"Spol - SKUPAJ";6129;971;3290;1868;-
" ";" ";"Moški";3345;633;1928;784;-
" ";" ";"Ženske";2784;338;1362;1084;-
" ";"2013"
" ";" ";"Spol - SKUPAJ";5971;875;3173;1923;-
" ";" ";"Moški";3210;522;1876;812;-
" ";" ";"Ženske";2761;353;1297;1111;-
" ";"2014"
" ";" ";"Spol - SKUPAJ";6092;859;3208;2025;-
" ";" ";"Moški";3303;523;1914;866;-
" ";" ";"Ženske";2789;336;1294;1159;-
" ";"2015"
" ";" ";"Spol - SKUPAJ";6133;797;3269;2067;-
" ";" ";"Moški";3351;509;1958;884;-
" ";" ";"Ženske";2782;288;1311;1183;-
" ";"2016"
" ";" ";"Spol - SKUPAJ";6338;782;3370;2186;-
" ";" ";"Moški";3442;482;2031;929;-
" ";" ";"Ženske";2896;300;1339;1257;-
" ";"2017"
" ";" ";"Spol - SKUPAJ";6686;790;3548;2348;-
" ";" ";"Moški";3656;493;2151;1012;-
" ";" ";"Ženske";3030;297;1397;1336;-
"Jesenice"
" ";"2005"
" ";" ";"Spol - SKUPAJ";8805;2386;5203;1173;43
" ";" ";"Moški";4995;1353;3129;483;30
" ";" ";"Ženske";3810;1033;2074;690;13
" ";"2006"
" ";" ";"Spol - SKUPAJ";9146;2461;5428;1218;39
" ";" ";"Moški";5190;1401;3263;499;27
" ";" ";"Ženske";3956;1060;2165;719;12
" ";"2007"
" ";" ";"Spol - SKUPAJ";9437;2504;5614;1289;30
" ";" ";"Moški";5336;1441;3368;511;17
" ";" ";"Ženske";4101;1063;2247;778;13
" ";"2008"
" ";" ";"Spol - SKUPAJ";9499;2490;5618;1360;30
" ";" ";"Moški";5412;1463;3387;544;18
" ";" ";"Ženske";4086;1027;2231;816;12
" ";"2009"
" ";" ";"Spol - SKUPAJ";8891;1862;5656;1351;22
" ";" ";"Moški";5005;1030;3434;530;11
" ";" ";"Ženske";3886;832;2223;821;10
" ";"2010"
" ";" ";"Spol - SKUPAJ";8577;1704;5481;1376;16
" ";" ";"Moški";4799;932;3325;535;7
" ";" ";"Ženske";3778;772;2156;841;9
" ";"2011"
" ";" ";"Spol - SKUPAJ";8325;1565;5324;1436;-
" ";" ";"Moški";4587;824;3194;569;-
" ";" ";"Ženske";3738;741;2130;867;-
" ";"2012"
" ";" ";"Spol - SKUPAJ";7981;1376;5146;1459;-
" ";" ";"Moški";4316;706;3034;576;-
" ";" ";"Ženske";3665;670;2112;883;-
" ";"2013"
" ";" ";"Spol - SKUPAJ";7819;1268;5038;1513;-
" ";" ";"Moški";4219;634;2986;599;-
" ";" ";"Ženske";3600;634;2052;914;-
" ";"2014"
" ";" ";"Spol - SKUPAJ";7893;1221;5093;1579;-
" ";" ";"Moški";4289;605;3065;619;-
" ";" ";"Ženske";3604;616;2028;960;-
" ";"2015"
" ";" ";"Spol - SKUPAJ";8036;1234;5167;1635;-
" ";" ";"Moški";4361;617;3103;641;-
" ";" ";"Ženske";3675;617;2064;994;-
" ";"2016"
" ";" ";"Spol - SKUPAJ";8320;1250;5366;1704;-
" ";" ";"Moški";4501;611;3226;664;-
" ";" ";"Ženske";3819;639;2140;1040;-
" ";"2017"
" ";" ";"Spol - SKUPAJ";8664;1236;5616;1812;-
" ";" ";"Moški";4716;619;3394;703;-
" ";" ";"Ženske";3948;617;2222;1109;-
"Jezersko"
" ";"2005"
" ";" ";"Spol - SKUPAJ";265;59;150;52;5
" ";" ";"Moški";148;38;84;23;3
" ";" ";"Ženske";117;21;66;29;1
" ";"2006"
" ";" ";"Spol - SKUPAJ";269;60;152;53;5
" ";" ";"Moški";153;40;88;22;3
" ";" ";"Ženske";116;20;64;31;1
" ";"2007"
" ";" ";"Spol - SKUPAJ";278;57;160;57;5
" ";" ";"Moški";155;38;89;24;4
" ";" ";"Ženske";123;19;71;33;1
" ";"2008"
" ";" ";"Spol - SKUPAJ";285;62;160;58;5
" ";" ";"Moški";160;41;93;23;4
" ";" ";"Ženske";124;21;67;35;1
" ";"2009"
" ";" ";"Spol - SKUPAJ";260;44;154;57;5
" ";" ";"Moški";147;29;88;26;4
" ";" ";"Ženske";113;15;66;31;1
" ";"2010"
" ";" ";"Spol - SKUPAJ";257;37;150;67;3
" ";" ";"Moški";139;23;87;27;2
" ";" ";"Ženske";118;14;63;40;1
" ";"2011"
" ";" ";"Spol - SKUPAJ";240;35;140;65;-
" ";" ";"Moški";129;21;80;28;-
" ";" ";"Ženske";111;14;60;37;-
" ";"2012"
" ";" ";"Spol - SKUPAJ";246;31;142;73;-
" ";" ";"Moški";127;18;79;30;-
" ";" ";"Ženske";119;13;63;43;-
" ";"2013"
" ";" ";"Spol - SKUPAJ";243;30;138;75;-
" ";" ";"Moški";131;18;79;34;-
" ";" ";"Ženske";112;12;59;41;-
" ";"2014"
" ";" ";"Spol - SKUPAJ";246;27;138;81;-
" ";" ";"Moški";134;16;80;38;-
" ";" ";"Ženske";112;11;58;43;-
