"Delovno aktivno prebivalstvo po: OBÈINE, LETO, SPOL , DOSEŽENA IZOBRAZBA"

"Obèine";"Leto";"Spol";"Izobrazba - SKUPAJ";"Osnovnošolska ali manj";"Srednješolska";"Višješolska, visokošolska";"Neznano"
" ";" ";"Spol - SKUPAJ";-;-;-;-;-
" ";" ";"Moški";-;-;-;-;-
" ";" ";"Ženske";-;-;-;-;-
" ";"2014"
" ";" ";"Spol - SKUPAJ";-;-;-;-;-
" ";" ";"Moški";-;-;-;-;-
" ";" ";"Ženske";-;-;-;-;-
" ";"2015"
" ";" ";"Spol - SKUPAJ";1339;158;665;516;-
" ";" ";"Moški";706;102;385;219;-
" ";" ";"Ženske";633;56;280;297;-
" ";"2016"
" ";" ";"Spol - SKUPAJ";1384;158;679;547;-
" ";" ";"Moški";719;104;382;233;-
" ";" ";"Ženske";665;54;297;314;-
" ";"2017"
" ";" ";"Spol - SKUPAJ";1397;124;691;582;-
" ";" ";"Moški";731;73;407;251;-
" ";" ";"Ženske";666;51;284;331;-
"Apaèe"
" ";"2005"
" ";" ";"Spol - SKUPAJ";-;-;-;-;-
" ";" ";"Moški";-;-;-;-;-
" ";" ";"Ženske";-;-;-;-;-
" ";"2006"
" ";" ";"Spol - SKUPAJ";-;-;-;-;-
" ";" ";"Moški";-;-;-;-;-
" ";" ";"Ženske";-;-;-;-;-
" ";"2007"
" ";" ";"Spol - SKUPAJ";1347;314;830;127;75
" ";" ";"Moški";791;201;497;41;53
" ";" ";"Ženske";556;114;334;86;22
" ";"2008"
" ";" ";"Spol - SKUPAJ";1345;314;823;142;66
" ";" ";"Moški";784;197;502;43;41
" ";" ";"Ženske";562;117;321;99;24
" ";"2009"
" ";" ";"Spol - SKUPAJ";1270;272;814;149;34
" ";" ";"Moški";744;181;493;49;21
" ";" ";"Ženske";526;92;321;100;14
" ";"2010"
" ";" ";"Spol - SKUPAJ";1232;247;799;155;31
" ";" ";"Moški";713;167;477;49;20
" ";" ";"Ženske";519;80;322;106;11
" ";"2011"
" ";" ";"Spol - SKUPAJ";1189;250;772;167;-
" ";" ";"Moški";686;165;462;59;-
" ";" ";"Ženske";503;85;310;108;-
" ";"2012"
" ";" ";"Spol - SKUPAJ";1145;218;748;179;-
" ";" ";"Moški";650;138;446;66;-
" ";" ";"Ženske";495;80;302;113;-
" ";"2013"
" ";" ";"Spol - SKUPAJ";1105;203;717;185;-
" ";" ";"Moški";619;134;422;63;-
" ";" ";"Ženske";486;69;295;122;-
" ";"2014"
" ";" ";"Spol - SKUPAJ";1054;193;669;192;-
" ";" ";"Moški";603;128;405;70;-
" ";" ";"Ženske";451;65;264;122;-
" ";"2015"
" ";" ";"Spol - SKUPAJ";1074;179;689;206;-
" ";" ";"Moški";604;117;412;75;-
" ";" ";"Ženske";470;62;277;131;-
" ";"2016"
" ";" ";"Spol - SKUPAJ";1072;171;677;224;-
" ";" ";"Moški";591;108;398;85;-
" ";" ";"Ženske";481;63;279;139;-
" ";"2017"
" ";" ";"Spol - SKUPAJ";1043;162;646;235;-
" ";" ";"Moški";567;103;379;85;-
" ";" ";"Ženske";476;59;267;150;-
"Beltinci"
" ";"2005"
" ";" ";"Spol - SKUPAJ";3348;907;1992;412;37
" ";" ";"Moški";1849;510;1129;184;26
" ";" ";"Ženske";1499;397;863;228;11
" ";"2006"
" ";" ";"Spol - SKUPAJ";3434;905;2046;446;37
" ";" ";"Moški";1920;518;1175;202;25
" ";" ";"Ženske";1514;386;871;244;12
" ";"2007"
" ";" ";"Spol - SKUPAJ";3482;871;2102;470;38
" ";" ";"Moški";1955;517;1205;208;26
" ";" ";"Ženske";1526;354;898;262;13
" ";"2008"
" ";" ";"Spol - SKUPAJ";3560;872;2165;498;25
" ";" ";"Moški";1974;505;1228;217;24
" ";" ";"Ženske";1586;367;937;281;1
" ";"2009"
" ";" ";"Spol - SKUPAJ";3165;637;1977;533;18
" ";" ";"Moški";1810;379;1176;239;17
" ";" ";"Ženske";1355;259;801;294;1
" ";"2010"
" ";" ";"Spol - SKUPAJ";3195;614;2002;566;13
" ";" ";"Moški";1792;368;1159;253;12
" ";" ";"Ženske";1403;246;843;313;1
" ";"2011"
" ";" ";"Spol - SKUPAJ";3254;584;2076;594;-
" ";" ";"Moški";1816;342;1210;264;-
" ";" ";"Ženske";1438;242;866;330;-
" ";"2012"
" ";" ";"Spol - SKUPAJ";3063;485;1956;622;-
" ";" ";"Moški";1668;267;1131;270;-
" ";" ";"Ženske";1395;218;825;352;-
" ";"2013"
" ";" ";"Spol - SKUPAJ";3062;455;1951;656;-
" ";" ";"Moški";1688;255;1147;286;-
" ";" ";"Ženske";1374;200;804;370;-
" ";"2014"
" ";" ";"Spol - SKUPAJ";2945;345;1930;670;-
" ";" ";"Moški";1625;197;1135;293;-
" ";" ";"Ženske";1320;148;795;377;-
" ";"2015"
" ";" ";"Spol - SKUPAJ";2965;354;1911;700;-
" ";" ";"Moški";1613;196;1115;302;-
" ";" ";"Ženske";1352;158;796;398;-
" ";"2016"
" ";" ";"Spol - SKUPAJ";2967;300;1931;736;-
" ";" ";"Moški";1576;153;1115;308;-
" ";" ";"Ženske";1391;147;816;428;-
" ";"2017"
" ";" ";"Spol - SKUPAJ";2994;299;1922;773;-
" ";" ";"Moški";1570;161;1092;317;-
" ";" ";"Ženske";1424;138;830;456;-
"Benedikt"
" ";"2005"
" ";" ";"Spol - SKUPAJ";824;218;481;59;66
" ";" ";"Moški";478;129;282;20;46
" ";" ";"Ženske";346;89;199;39;19
" ";"2006"
" ";" ";"Spol - SKUPAJ";885;225;525;69;66
" ";" ";"Moški";514;132;309;23;50
" ";" ";"Ženske";371;93;216;46;17
" ";"2007"
" ";" ";"Spol - SKUPAJ";933;236;548;79;69
" ";" ";"Moški";560;146;335;25;54
" ";" ";"Ženske";372;90;213;54;16
" ";"2008"
" ";" ";"Spol - SKUPAJ";989;237;585;98;69
" ";" ";"Moški";590;148;364;30;47
" ";" ";"Ženske";399;89;221;67;22
" ";"2009"
" ";" ";"Spol - SKUPAJ";964;200;614;107;44
" ";" ";"Moški";564;123;379;33;29
" ";" ";"Ženske";400;77;235;73;15
" ";"2010"
" ";" ";"Spol - SKUPAJ";957;187;610;123;37
" ";" ";"Moški";555;116;368;47;24
" ";" ";"Ženske";402;71;242;76;13
" ";"2011"
" ";" ";"Spol - SKUPAJ";990;224;616;150;-
" ";" ";"Moški";552;131;369;52;-
" ";" ";"Ženske";438;93;247;98;-
" ";"2012"
" ";" ";"Spol - SKUPAJ";980;214;607;159;-
" ";" ";"Moški";556;126;369;61;-
" ";" ";"Ženske";424;88;238;98;-
" ";"2013"
" ";" ";"Spol - SKUPAJ";967;188;601;178;-
" ";" ";"Moški";541;108;366;67;-
" ";" ";"Ženske";426;80;235;111;-
" ";"2014"
" ";" ";"Spol - SKUPAJ";958;166;608;184;-
" ";" ";"Moški";569;112;387;70;-
" ";" ";"Ženske";389;54;221;114;-
" ";"2015"
" ";" ";"Spol - SKUPAJ";971;156;614;201;-
" ";" ";"Moški";546;100;369;77;-
" ";" ";"Ženske";425;56;245;124;-
" ";"2016"
" ";" ";"Spol - SKUPAJ";931;135;586;210;-
" ";" ";"Moški";504;83;340;81;-
" ";" ";"Ženske";427;52;246;129;-
" ";"2017"
" ";" ";"Spol - SKUPAJ";1004;137;641;226;-
" ";" ";"Moški";544;85;372;87;-
" ";" ";"Ženske";460;52;269;139;-
"Bistrica ob Sotli"
" ";"2005"
" ";" ";"Spol - SKUPAJ";516;161;285;60;10
" ";" ";"Moški";304;96;179;22;7
" ";" ";"Ženske";212;65;105;38;3
" ";"2006"
" ";" ";"Spol - SKUPAJ";518;158;285;63;12
" ";" ";"Moški";311;98;179;27;8
" ";" ";"Ženske";207;61;107;36;4
" ";"2007"
" ";" ";"Spol - SKUPAJ";547;157;306;72;12
" ";" ";"Moški";337;101;198;30;9
" ";" ";"Ženske";210;56;108;42;3
" ";"2008"
" ";" ";"Spol - SKUPAJ";566;159;307;88;13
" ";" ";"Moški";343;101;194;39;9
" ";" ";"Ženske";223;58;112;49;4
" ";"2009"
" ";" ";"Spol - SKUPAJ";545;134;308;87;15
" ";" ";"Moški";321;83;192;33;13
" ";" ";"Ženske";224;51;116;55;3
" ";"2010"
" ";" ";"Spol - SKUPAJ";532;115;301;98;18
" ";" ";"Moški";305;70;188;34;13
" ";" ";"Ženske";227;45;113;64;5
" ";"2011"
" ";" ";"Spol - SKUPAJ";567;126;324;117;-
" ";" ";"Moški";334;77;212;45;-
" ";" ";"Ženske";233;49;112;72;-
" ";"2012"
" ";" ";"Spol - SKUPAJ";539;109;309;121;-
" ";" ";"Moški";320;70;201;49;-
" ";" ";"Ženske";219;39;108;72;-
" ";"2013"
" ";" ";"Spol - SKUPAJ";544;105;318;121;-
" ";" ";"Moški";328;66;214;48;-
" ";" ";"Ženske";216;39;104;73;-
" ";"2014"
" ";" ";"Spol - SKUPAJ";544;99;322;123;-
" ";" ";"Moški";319;58;214;47;-
" ";" ";"Ženske";225;41;108;76;-
" ";"2015"
" ";" ";"Spol - SKUPAJ";495;68;297;130;-
" ";" ";"Moški";285;38;194;53;-
" ";" ";"Ženske";210;30;103;77;-
" ";"2016"
" ";" ";"Spol - SKUPAJ";518;63;309;146;-
" ";" ";"Moški";292;33;205;54;-
" ";" ";"Ženske";226;30;104;92;-
" ";"2017"
" ";" ";"Spol - SKUPAJ";538;65;318;155;-
" ";" ";"Moški";305;34;211;60;-
" ";" ";"Ženske";233;31;107;95;-
"Bled"
" ";"2005"
" ";" ";"Spol - SKUPAJ";4343;569;2648;1081;46
" ";" ";"Moški";2373;324;1530;486;33
" ";" ";"Ženske";1970;245;1118;595;13
" ";"2006"
" ";" ";"Spol - SKUPAJ";4417;539;2694;1141;43
" ";" ";"Moški";2435;315;1569;522;30
" ";" ";"Ženske";1981;224;1125;619;13
" ";"2007"
" ";" ";"Spol - SKUPAJ";3343;378;1974;961;29
" ";" ";"Moški";1836;235;1145;434;22
" ";" ";"Ženske";1508;144;829;527;8
" ";"2008"
" ";" ";"Spol - SKUPAJ";3304;342;1959;977;25
" ";" ";"Moški";1818;211;1149;441;17
" ";" ";"Ženske";1486;131;810;536;9
" ";"2009"
" ";" ";"Spol - SKUPAJ";3209;239;1898;1052;20
" ";" ";"Moški";1729;144;1114;458;14
" ";" ";"Ženske";1480;95;784;594;7
" ";"2010"
" ";" ";"Spol - SKUPAJ";3155;217;1844;1074;20
" ";" ";"Moški";1712;129;1114;456;13
" ";" ";"Ženske";1443;88;730;618;7
" ";"2011"
" ";" ";"Spol - SKUPAJ";3164;221;1820;1123;-
" ";" ";"Moški";1706;139;1097;470;-
" ";" ";"Ženske";1458;82;723;653;-
" ";"2012"
" ";" ";"Spol - SKUPAJ";3022;192;1710;1120;-
" ";" ";"Moški";1620;116;1038;466;-
" ";" ";"Ženske";1402;76;672;654;-
" ";"2013"
" ";" ";"Spol - SKUPAJ";3060;187;1674;1199;-
" ";" ";"Moški";1636;111;1018;507;-
" ";" ";"Ženske";1424;76;656;692;-
" ";"2014"
" ";" ";"Spol - SKUPAJ";3020;169;1641;1210;-
" ";" ";"Moški";1587;96;993;498;-
" ";" ";"Ženske";1433;73;648;712;-
" ";"2015"
" ";" ";"Spol - SKUPAJ";3079;168;1669;1242;-
" ";" ";"Moški";1638;93;1024;521;-
" ";" ";"Ženske";1441;75;645;721;-
" ";"2016"
" ";" ";"Spol - SKUPAJ";3172;153;1687;1332;-
" ";" ";"Moški";1692;87;1041;564;-
" ";" ";"Ženske";1480;66;646;768;-
" ";"2017"
" ";" ";"Spol - SKUPAJ";3222;146;1696;1380;-
" ";" ";"Moški";1714;83;1050;581;-
" ";" ";"Ženske";1508;63;646;799;-
"Bloke"
" ";"2005"
" ";" ";"Spol - SKUPAJ";699;182;401;103;13
" ";" ";"Moški";422;110;261;49;2
" ";" ";"Ženske";277;72;140;54;11
" ";"2006"
" ";" ";"Spol - SKUPAJ";768;218;432;114;4
" ";" ";"Moški";481;142;282;55;2
" ";" ";"Ženske";286;76;149;59;2
" ";"2007"
" ";" ";"Spol - SKUPAJ";777;200;451;124;2
" ";" ";"Moški";497;139;302;54;2
" ";" ";"Ženske";280;61;149;70;-
" ";"2008"
" ";" ";"Spol - SKUPAJ";760;174;446;137;3
" ";" ";"Moški";476;119;293;63;2
" ";" ";"Ženske";284;56;154;74;1
" ";"2009"
" ";" ";"Spol - SKUPAJ";697;120;429;146;3
" ";" ";"Moški";420;75;275;67;3
" ";" ";"Ženske";277;45;154;79;-
" ";"2010"
" ";" ";"Spol - SKUPAJ";671;112;411;147;1
" ";" ";"Moški";402;73;264;64;1
" ";" ";"Ženske";269;39;147;83;-
" ";"2011"
" ";" ";"Spol - SKUPAJ";693;119;415;159;-
" ";" ";"Moški";412;76;266;70;-
" ";" ";"Ženske";281;43;149;89;-
" ";"2012"
" ";" ";"Spol - SKUPAJ";648;92;391;165;-
" ";" ";"Moški";378;57;252;69;-
" ";" ";"Ženske";270;35;139;96;-
" ";"2013"
" ";" ";"Spol - SKUPAJ";632;85;365;182;-
" ";" ";"Moški";364;50;235;79;-
" ";" ";"Ženske";268;35;130;103;-
" ";"2014"
" ";" ";"Spol - SKUPAJ";643;80;381;182;-
" ";" ";"Moški";375;49;247;79;-
" ";" ";"Ženske";268;31;134;103;-
" ";"2015"
" ";" ";"Spol - SKUPAJ";638;70;376;192;-
" ";" ";"Moški";371;45;237;89;-
" ";" ";"Ženske";267;25;139;103;-
" ";"2016"
" ";" ";"Spol - SKUPAJ";653;61;388;204;-
" ";" ";"Moški";378;36;254;88;-
" ";" ";"Ženske";275;25;134;116;-
" ";"2017"
" ";" ";"Spol - SKUPAJ";717;69;423;225;-
" ";" ";"Moški";418;42;281;95;-
" ";" ";"Ženske";299;27;142;130;-
"Bohinj"
" ";"2005"
" ";" ";"Spol - SKUPAJ";2184;327;1471;357;29
" ";" ";"Moški";1235;169;902;147;18
" ";" ";"Ženske";949;158;570;210;11
" ";"2006"
" ";" ";"Spol - SKUPAJ";2148;310;1436;373;29
" ";" ";"Moški";1218;163;882;155;18
" ";" ";"Ženske";930;147;555;218;11
" ";"2007"
" ";" ";"Spol - SKUPAJ";2190;318;1457;387;28
" ";" ";"Moški";1243;162;903;165;13
" ";" ";"Ženske";946;156;554;222;15
" ";"2008"
" ";" ";"Spol - SKUPAJ";2265;333;1494;404;33
" ";" ";"Moški";1289;179;923;175;12
" ";" ";"Ženske";976;154;571;229;21
" ";"2009"
" ";" ";"Spol - SKUPAJ";2185;274;1455;432;24
" ";" ";"Moški";1238;154;887;186;10
" ";" ";"Ženske";947;120;568;246;14
" ";"2010"
" ";" ";"Spol - SKUPAJ";2050;201;1391;444;14
" ";" ";"Moški";1163;116;853;190;4
" ";" ";"Ženske";887;85;538;254;10
" ";"2011"
" ";" ";"Spol - SKUPAJ";1995;187;1358;450;-
" ";" ";"Moški";1123;106;827;190;-
" ";" ";"Ženske";872;81;531;260;-
" ";"2012"
" ";" ";"Spol - SKUPAJ";1983;167;1335;481;-
" ";" ";"Moški";1121;93;827;201;-
" ";" ";"Ženske";862;74;508;280;-
" ";"2013"
" ";" ";"Spol - SKUPAJ";1993;159;1353;481;-
" ";" ";"Moški";1119;94;825;200;-
" ";" ";"Ženske";874;65;528;281;-
" ";"2014"
" ";" ";"Spol - SKUPAJ";1998;159;1314;525;-
" ";" ";"Moški";1114;88;800;226;-
" ";" ";"Ženske";884;71;514;299;-
" ";"2015"
" ";" ";"Spol - SKUPAJ";1992;144;1298;550;-
" ";" ";"Moški";1110;86;783;241;-
" ";" ";"Ženske";882;58;515;309;-
" ";"2016"
" ";" ";"Spol - SKUPAJ";2023;132;1317;574;-
" ";" ";"Moški";1116;79;796;241;-
" ";" ";"Ženske";907;53;521;333;-
" ";"2017"
" ";" ";"Spol - SKUPAJ";2133;137;1371;625;-
" ";" ";"Moški";1194;77;856;261;-
" ";" ";"Ženske";939;60;515;364;-
"Borovnica"
" ";"2005"
" ";" ";"Spol - SKUPAJ";1725;371;1067;273;14
" ";" ";"Moški";952;227;605;112;9
" ";" ";"Ženske";773;145;462;161;5
" ";"2006"
" ";" ";"Spol - SKUPAJ";1776;373;1097;293;13
" ";" ";"Moški";981;231;621;121;8
" ";" ";"Ženske";795;142;476;172;5
" ";"2007"
" ";" ";"Spol - SKUPAJ";1815;370;1107;329;10
" ";" ";"Moški";1021;237;638;140;7
" ";" ";"Ženske";794;133;469;189;3
" ";"2008"
" ";" ";"Spol - SKUPAJ";1847;366;1132;341;8
" ";" ";"Moški";1042;242;658;138;5
" ";" ";"Ženske";805;124;475;203;3
" ";"2009"
" ";" ";"Spol - SKUPAJ";1810;299;1129;377;5
" ";" ";"Moški";1026;206;669;148;3
" ";" ";"Ženske";784;93;460;229;2
" ";"2010"
" ";" ";"Spol - SKUPAJ";1771;304;1073;389;5
" ";" ";"Moški";1010;215;635;156;4
" ";" ";"Ženske";761;89;438;233;1
" ";"2011"
" ";" ";"Spol - SKUPAJ";1719;256;1034;429;-
" ";" ";"Moški";958;178;615;165;-
" ";" ";"Ženske";761;78;419;264;-
" ";"2012"
" ";" ";"Spol - SKUPAJ";1588;189;953;446;-
" ";" ";"Moški";876;125;584;167;-
" ";" ";"Ženske";712;64;369;279;-
" ";"2013"
" ";" ";"Spol - SKUPAJ";1623;159;985;479;-
" ";" ";"Moški";892;104;601;187;-
" ";" ";"Ženske";731;55;384;292;-
" ";"2014"
" ";" ";"Spol - SKUPAJ";1696;150;1024;522;-
" ";" ";"Moški";895;99;606;190;-
" ";" ";"Ženske";801;51;418;332;-
" ";"2015"
" ";" ";"Spol - SKUPAJ";1703;154;1011;538;-
" ";" ";"Moški";910;104;603;203;-
" ";" ";"Ženske";793;50;408;335;-
" ";"2016"
" ";" ";"Spol - SKUPAJ";1784;153;1048;583;-
" ";" ";"Moški";956;99;635;222;-
" ";" ";"Ženske";828;54;413;361;-
" ";"2017"
" ";" ";"Spol - SKUPAJ";1864;142;1093;629;-
" ";" ";"Moški";990;93;654;243;-
" ";" ";"Ženske";874;49;439;386;-
"Bovec"
" ";"2005"
" ";" ";"Spol - SKUPAJ";1278;347;693;221;17
" ";" ";"Moški";733;198;411;115;9
" ";" ";"Ženske";545;150;282;106;8
" ";"2006"
" ";" ";"Spol - SKUPAJ";1279;336;698;233;11
" ";" ";"Moški";734;202;404;118;9
" ";" ";"Ženske";545;134;294;115;2
" ";"2007"
" ";" ";"Spol - SKUPAJ";1336;363;725;235;12
" ";" ";"Moški";786;226;431;118;10
" ";" ";"Ženske";550;137;294;117;2
" ";"2008"
" ";" ";"Spol - SKUPAJ";1345;357;728;251;10
" ";" ";"Moški";780;222;426;125;8
" ";" ";"Ženske";565;135;302;126;2
" ";"2009"
" ";" ";"Spol - SKUPAJ";1249;282;726;234;7
" ";" ";"Moški";724;180;430;112;3
" ";" ";"Ženske";525;103;296;122;4
" ";"2010"
" ";" ";"Spol - SKUPAJ";1233;251;724;251;7
" ";" ";"Moški";713;159;435;117;2
" ";" ";"Ženske";520;92;289;134;5
" ";"2011"
" ";" ";"Spol - SKUPAJ";1259;255;731;273;-
" ";" ";"Moški";706;155;428;123;-
" ";" ";"Ženske";553;100;303;150;-
" ";"2012"
" ";" ";"Spol - SKUPAJ";1228;236;721;271;-
" ";" ";"Moški";685;137;427;121;-
" ";" ";"Ženske";543;99;294;150;-
" ";"2013"
" ";" ";"Spol - SKUPAJ";1093;192;637;264;-
" ";" ";"Moški";623;116;391;116;-
" ";" ";"Ženske";470;76;246;148;-
" ";"2014"
" ";" ";"Spol - SKUPAJ";1120;177;663;280;-
" ";" ";"Moški";633;102;400;131;-
" ";" ";"Ženske";487;75;263;149;-
" ";"2015"
" ";" ";"Spol - SKUPAJ";1123;171;660;292;-
" ";" ";"Moški";626;100;396;130;-
" ";" ";"Ženske";497;71;264;162;-
" ";"2016"
" ";" ";"Spol - SKUPAJ";1181;169;704;308;-
" ";" ";"Moški";641;94;415;132;-
" ";" ";"Ženske";540;75;289;176;-
" ";"2017"
" ";" ";"Spol - SKUPAJ";1193;173;699;321;-
" ";" ";"Moški";646;96;412;138;-
" ";" ";"Ženske";547;77;287;183;-
"Braslovèe"
" ";"2005"
" ";" ";"Spol - SKUPAJ";2089;393;1277;392;28
" ";" ";"Moški";1180;230;768;165;17
" ";" ";"Ženske";909;163;508;227;11
" ";"2006"
