"Ocena dokonèanih stanovanj - izbrani kazalniki, po obèinah Slovenije,"
"letno po: OBÈINE, LETO , KAZALNIK"

" ";" ";"Število dokonèanih stanovanj na 1000 prebivalcev";"Povpreèna površina dokonèanih stanovanj [m2]"
" ";"2007";4.3;154
" ";"2008";11.2;116
" ";"2009";4.9;147
" ";"2010";4.1;146
" ";"2011";2.8;167
" ";"2012";1.4;197
" ";"2013";1.3;190
" ";"2014";0.9;170
" ";"2015";2.1;146
" ";"2016";1.7;170
" ";"2017";1.3;168
"Brežice"
" ";"2002";2.9;97
" ";"2003";2.2;142
" ";"2004";1.6;128
" ";"2005";2.5;128
" ";"2006";4.5;127
" ";"2007";1.9;123
" ";"2008";5.2;109
" ";"2009";2.3;144
" ";"2010";3.6;142
" ";"2011";2.3;147
" ";"2012";1.6;157
" ";"2013";1.9;143
" ";"2014";1.0;159
" ";"2015";1.1;150
" ";"2016";1.2;162
" ";"2017";2.2;125
"Cankova"
" ";"2002";0.5;70
" ";"2003";1.0;133
" ";"2004";0.5;121
" ";"2005";2.0;82
" ";"2006";1.5;109
" ";"2007";3.0;122
" ";"2008";1.5;88
" ";"2009";1.6;137
" ";"2010";2.6;84
" ";"2011";0.5;122
" ";"2012";2.1;238
" ";"2013";1.1;152
" ";"2014";0.5;17
" ";"2015";0.5;56
" ";"2016";2.8;119
" ";"2017";2.8;88
"Celje"
" ";"2002";0.8;112
" ";"2003";0.5;164
" ";"2004";0.3;130
" ";"2005";0.7;149
" ";"2006";1.2;122
" ";"2007";1.8;132
" ";"2008";0.7;208
" ";"2009";2.6;95
" ";"2010";1.2;183
" ";"2011";0.9;198
" ";"2012";0.4;185
" ";"2013";0.5;180
" ";"2014";0.4;172
" ";"2015";0.4;148
" ";"2016";0.5;167
" ";"2017";0.6;110
"Cerklje na Gorenjskem"
" ";"2002";5.2;127
" ";"2003";4.0;117
" ";"2004";4.6;155
" ";"2005";3.5;188
" ";"2006";4.8;174
" ";"2007";12.8;95
" ";"2008";6.0;158
" ";"2009";7.9;121
" ";"2010";4.8;162
" ";"2011";4.1;201
" ";"2012";2.5;199
" ";"2013";1.2;187
" ";"2014";5.0;98
" ";"2015";1.4;184
" ";"2016";2.5;97
" ";"2017";1.1;103
"Cerknica"
" ";"2002";2.4;105
" ";"2003";1.5;143
" ";"2004";1.9;143
" ";"2005";4.5;128
