"Ocena dokonèanih stanovanj - izbrani kazalniki, po obèinah Slovenije,"
"letno po: OBÈINE, LETO , KAZALNIK"

" ";" ";"Število dokonèanih stanovanj na 1000 prebivalcev";"Povpreèna površina dokonèanih stanovanj [m2]"
" ";"2013";0.8;104
" ";"2014";2.1;105
" ";"2015";0.8;139
" ";"2016";4.7;126
" ";"2017";1.7;123
"Kamnik"
" ";"2002";5.2;95
" ";"2003";2.2;110
" ";"2004";1.7;109
" ";"2005";5.2;82
" ";"2006";14.3;82
" ";"2007";2.9;120
" ";"2008";1.6;128
" ";"2009";1.9;103
" ";"2010";3.3;87
" ";"2011";6.6;61
" ";"2012";1.7;159
" ";"2013";1.5;130
" ";"2014";1.1;126
" ";"2015";1.0;139
" ";"2016";1.1;136
" ";"2017";1.0;131
"Kanal"
" ";"2002";1.6;172
" ";"2003";1.0;157
" ";"2004";2.4;190
" ";"2005";1.8;188
" ";"2006";3.3;141
" ";"2007";2.3;122
" ";"2008";2.4;88
" ";"2009";1.5;128
" ";"2010";1.7;174
" ";"2011";0.2;116
" ";"2012";1.2;155
" ";"2013";1.6;184
" ";"2014";0.7;179
" ";"2015";0.4;114
" ";"2016";0.7;149
" ";"2017";1.5;149
"Kidrièevo"
" ";"2002";1.9;93
" ";"2003";4.3;72
" ";"2004";5.2;75
" ";"2005";1.9;110
" ";"2006";3.3;168
" ";"2007";1.9;108
" ";"2008";2.1;126
" ";"2009";1.8;131
" ";"2010";1.0;177
" ";"2011";1.7;203
" ";"2012";1.4;162
" ";"2013";0.3;184
" ";"2014";0.3;189
" ";"2015";0.6;133
" ";"2016";2.0;166
" ";"2017";0.3;215
"Kobarid"
" ";"2002";8.1;111
" ";"2003";4.8;137
" ";"2004";4.4;110
" ";"2005";2.0;154
" ";"2006";2.0;157
" ";"2007";0.5;189
" ";"2008";7.1;67
" ";"2009";2.6;137
" ";"2010";2.6;154
" ";"2011";3.1;138
" ";"2012";3.1;140
" ";"2013";7.1;121
" ";"2014";1.9;167
" ";"2015";2.9;158
" ";"2016";2.2;173
" ";"2017";1.0;182
"Kobilje"
" ";"2002";11.0;142
" ";"2003";4.7;188
" ";"2004";6.3;182
" ";"2005";1.6;341
" ";"2006";14.1;138
" ";"2007";1.6;167
" ";"2008";1.6;188
" ";"2009";3.3;177
" ";"2010";0.0;0
" ";"2011";0.0;0
" ";"2012";1.7;99
" ";"2013";5.1;126
" ";"2014";1.7;159
" ";"2015";0.0;0
" ";"2016";7.0;124
" ";"2017";1.8;131
"Koèevje"
" ";"2002";1.1;104
" ";"2003";0.5;117
" ";"2004";2.3;65
" ";"2005";1.7;95
" ";"2006";2.5;94
" ";"2007";3.0;91
" ";"2008";7.8;80
" ";"2009";1.5;148
" ";"2010";1.7;129
" ";"2011";1.3;144
" ";"2012";1.3;111
" ";"2013";0.6;113
" ";"2014";1.1;133
" ";"2015";1.3;130
" ";"2016";0.8;161
" ";"2017";5.1;84
"Komen"
" ";"2002";6.1;136
" ";"2003";2.8;136
" ";"2004";2.2;136
" ";"2005";4.5;116
" ";"2006";3.4;127
" ";"2007";2.5;111
" ";"2008";5.8;136
" ";"2009";3.1;139
" ";"2010";1.7;173
" ";"2011";2.5;164
" ";"2012";2.5;180
" ";"2013";1.7;126
" ";"2014";0.9;102
" ";"2015";0.6;221
" ";"2016";1.7;216
" ";"2017";1.1;114
"Komenda"
" ";"2002";5.4;124
" ";"2003";3.5;142
" ";"2004";3.7;138
" ";"2005";3.6;114
" ";"2006";5.7;150
" ";"2007";37.7;71
" ";"2008";11.1;128
" ";"2009";28.6;115
" ";"2010";32.7;90
" ";"2011";18.2;84
" ";"2012";1.7;118
" ";"2013";4.5;125
" ";"2014";2.9;151
" ";"2015";1.2;160
" ";"2016";3.3;148
" ";"2017";1.6;171
"Koper/Capodistria"
" ";"2002";2.5;93
" ";"2003";2.8;89
" ";"2004";7.7;77
" ";"2005";7.1;70
" ";"2006";8.8;79
" ";"2007";8.8;81
" ";"2008";5.2;109
" ";"2009";8.8;103
" ";"2010";2.9;138
" ";"2011";4.3;97
" ";"2012";3.8;76
" ";"2013";1.0;143
" ";"2014";1.0;158
" ";"2015";0.7;159
" ";"2016";0.9;146
" ";"2017";0.6;168
"Kostanjevica na Krki"
" ";"2002";-;-
" ";"2003";-;-
" ";"2004";-;-
" ";"2005";-;-
" ";"2006";-;-
" ";"2007";0.0;0
" ";"2008";0.4;91
" ";"2009";0.4;251
" ";"2010";4.1;106
" ";"2011";2.9;134
" ";"2012";3.7;117
" ";"2013";1.7;164
" ";"2014";1.2;115
" ";"2015";2.0;97
" ";"2016";1.2;150
" ";"2017";2.0;154
"Kostel"
" ";"2002";1.5;122
" ";"2003";4.4;48
" ";"2004";1.4;72
" ";"2005";4.3;79
" ";"2006";1.5;60
" ";"2007";2.9;86
" ";"2008";7.7;130
" ";"2009";1.5;95
" ";"2010";6.1;68
" ";"2011";7.7;99
" ";"2012";4.7;72
" ";"2013";3.1;141
" ";"2014";9.3;76
" ";"2015";1.6;93
" ";"2016";3.1;90
" ";"2017";0.0;0
"Kozje"
" ";"2002";5.8;100
" ";"2003";3.8;116
" ";"2004";2.4;104
" ";"2005";4.2;116
" ";"2006";2.1;78
" ";"2007";4.2;147
" ";"2008";2.1;123
" ";"2009";1.8;101
" ";"2010";3.1;121
" ";"2011";5.2;131
" ";"2012";2.8;141
" ";"2013";5.1;154
" ";"2014";1.6;227
" ";"2015";1.6;144
" ";"2016";2.3;205
" ";"2017";1.6;142
"Kranj"
" ";"2002";2.1;124
" ";"2003";1.8;157
" ";"2004";3.3;109
" ";"2005";2.7;136
" ";"2006";4.1;95
" ";"2007";7.5;87
" ";"2008";6.2;101
" ";"2009";9.8;77
" ";"2010";3.0;164
" ";"2011";2.2;126
" ";"2012";1.6;138
" ";"2013";1.8;122
" ";"2014";0.5;152
" ";"2015";0.5;165
" ";"2016";0.5;165
" ";"2017";0.8;128
"Kranjska Gora"
" ";"2002";9.3;131
" ";"2003";14.1;109
" ";"2004";15.4;88
" ";"2005";5.2;100
" ";"2006";8.6;76
" ";"2007";18.5;90
" ";"2008";9.2;105
" ";"2009";18.3;91
" ";"2010";5.1;102
" ";"2011";6.0;50
" ";"2012";1.5;164
" ";"2013";1.9;79
" ";"2014";0.9;226
" ";"2015";2.8;145
" ";"2016";1.7;112
" ";"2017";1.7;142
"Križevci"
" ";"2002";4.5;149
" ";"2003";2.8;140
" ";"2004";2.2;135
" ";"2005";0.8;172
" ";"2006";2.8;148
" ";"2007";1.4;115
" ";"2008";2.1;130
" ";"2009";3.2;156
" ";"2010";2.1;129
" ";"2011";3.7;137
" ";"2012";1.6;154
" ";"2013";1.6;113
" ";"2014";1.9;91
" ";"2015";1.1;100
" ";"2016";1.4;97
" ";"2017";1.1;136
"Krško"
" ";"2002";1.6;113
" ";"2003";2.2;136
" ";"2004";2.1;122
" ";"2005";1.3;128
" ";"2006";1.5;143
" ";"2007";1.5;136
" ";"2008";2.9;124
" ";"2009";2.4;148
" ";"2010";2.2;138
" ";"2011";1.9;150
" ";"2012";1.8;127
" ";"2013";1.5;130
" ";"2014";1.5;143
" ";"2015";1.1;106
" ";"2016";1.7;122
" ";"2017";2.1;126
"Kungota"
" ";"2002";7.3;99
" ";"2003";7.5;112
" ";"2004";7.3;127
" ";"2005";9.7;120
" ";"2006";4.3;113
" ";"2007";8.1;123
" ";"2008";6.6;169
" ";"2009";11.5;169
" ";"2010";7.4;146
" ";"2011";8.6;187
" ";"2012";5.0;150
" ";"2013";3.3;160
" ";"2014";2.7;178
" ";"2015";1.7;145
" ";"2016";1.7;134
" ";"2017";1.0;210
"Kuzma"
" ";"2002";3.0;130
" ";"2003";0.6;60
" ";"2004";1.8;100
" ";"2005";4.3;110
" ";"2006";2.4;145
" ";"2007";1.2;185
" ";"2008";7.6;146
" ";"2009";4.5;121
" ";"2010";2.5;151
" ";"2011";1.9;128
" ";"2012";3.8;142
" ";"2013";1.9;121
" ";"2014";3.7;220
" ";"2015";3.8;109
" ";"2016";5.1;199
" ";"2017";1.9;82
"Laško"
" ";"2002";3.6;143
" ";"2003";3.1;147
" ";"2004";2.7;121
" ";"2005";2.4;133
" ";"2006";4.2;105
" ";"2007";2.3;164
" ";"2008";2.0;177
" ";"2009";1.2;145
" ";"2010";1.2;139
" ";"2011";1.8;133
" ";"2012";0.8;134
" ";"2013";1.7;85
" ";"2014";1.4;99
" ";"2015";1.2;79
" ";"2016";2.7;127
" ";"2017";0.6;122
"Lenart"
" ";"2002";4.6;161
" ";"2003";4.8;158
" ";"2004";4.6;161
" ";"2005";14.4;92
" ";"2006";5.1;163
" ";"2007";9.3;147
" ";"2008";11.0;120
" ";"2009";8.0;156
" ";"2010";6.7;122
" ";"2011";2.7;164
" ";"2012";16.6;78
" ";"2013";10.5;110
" ";"2014";2.1;163
" ";"2015";3.0;119
" ";"2016";1.8;185
" ";"2017";2.2;144
"Lendava/Lendva"
" ";"2002";2.9;169
" ";"2003";1.4;141
" ";"2004";1.8;198
" ";"2005";1.0;155
" ";"2006";1.0;134
" ";"2007";3.1;85
" ";"2008";2.3;125
" ";"2009";3.7;91
" ";"2010";2.2;141
" ";"2011";1.5;96
" ";"2012";2.5;151
" ";"2013";2.2;114
" ";"2014";1.6;116
" ";"2015";1.5;100
" ";"2016";3.0;128
" ";"2017";0.5;109
"Litija"
" ";"2002";4.0;140
" ";"2003";4.3;119
" ";"2004";2.4;141
" ";"2005";2.8;126
" ";"2006";0.8;134
" ";"2007";5.7;105
" ";"2008";5.3;101
" ";"2009";10.2;77
" ";"2010";4.1;169
" ";"2011";3.1;189
" ";"2012";4.5;170
" ";"2013";2.7;170
" ";"2014";2.7;168
" ";"2015";1.2;211
" ";"2016";2.2;175
" ";"2017";2.1;150
"Ljubljana"
" ";"2002";4.5;93
" ";"2003";4.6;87
" ";"2004";3.4;83
" ";"2005";4.9;89
" ";"2006";1.7;108
" ";"2007";2.6;96
" ";"2008";5.7;73
" ";"2009";3.0;104
" ";"2010";1.7;102
" ";"2011";2.6;93
" ";"2012";0.5;178
" ";"2013";0.5;180
" ";"2014";1.5;101
" ";"2015";0.9;121
" ";"2016";0.6;177
" ";"2017";0.7;122
"Ljubno"
" ";"2002";0.7;112
" ";"2003";3.0;177
" ";"2004";1.9;180
" ";"2005";1.9;151
" ";"2006";0.7;223
" ";"2007";0.7;293
" ";"2008";1.5;120
" ";"2009";0.4;191
" ";"2010";1.9;139
" ";"2011";1.9;161
" ";"2012";0.0;0
" ";"2013";1.5;133
" ";"2014";1.5;126
" ";"2015";1.5;161
" ";"2016";1.2;172
" ";"2017";1.2;135
"Ljutomer"
" ";"2002";7.8;87
" ";"2003";4.8;104
" ";"2004";2.2;118
" ";"2005";2.6;95
" ";"2006";3.1;141
" ";"2007";2.0;120
" ";"2008";2.2;147
" ";"2009";2.2;103
" ";"2010";3.8;112
" ";"2011";3.2;109
" ";"2012";1.1;100
" ";"2013";1.2;92
" ";"2014";2.0;100
" ";"2015";1.5;114
" ";"2016";2.8;112
" ";"2017";1.0;102
"Log - Dragomer"
" ";"2002";-;-
" ";"2003";-;-
" ";"2004";-;-
" ";"2005";-;-
" ";"2006";-;-
" ";"2007";0.3;118
" ";"2008";2.0;252
" ";"2009";0.6;154
" ";"2010";1.4;253
" ";"2011";2.8;162
" ";"2012";0.8;256
" ";"2013";1.1;132
" ";"2014";1.4;220
" ";"2015";0.3;170
" ";"2016";2.2;164
" ";"2017";1.9;213
"Logatec"
" ";"2002";6.1;162
" ";"2003";4.4;115
" ";"2004";4.1;100
" ";"2005";15.3;73
" ";"2006";2.2;147
" ";"2007";6.2;99
" ";"2008";4.6;138
" ";"2009";30.5;53
" ";"2010";5.5;127
" ";"2011";3.6;146
" ";"2012";5.4;121
" ";"2013";2.4;153
" ";"2014";1.8;189
" ";"2015";2.3;202
" ";"2016";2.2;185
" ";"2017";1.4;169
"Loška dolina"
" ";"2002";1.9;106
" ";"2003";0.5;84
" ";"2004";1.3;135
" ";"2005";1.0;191
" ";"2006";1.3;131
" ";"2007";1.0;152
" ";"2008";0.5;176
" ";"2009";0.5;118
" ";"2010";1.5;202
" ";"2011";0.5;222
" ";"2012";1.3;228
" ";"2013";3.1;144
" ";"2014";0.0;0
" ";"2015";1.3;150
" ";"2016";1.3;128
" ";"2017";1.3;151
"Loški Potok"
" ";"2002";1.0;152
" ";"2003";1.9;140
" ";"2004";2.4;177
" ";"2005";2.0;175
" ";"2006";2.0;139
" ";"2007";1.0;101
" ";"2008";0.0;0
" ";"2009";2.0;202
" ";"2010";4.0;175
" ";"2011";4.6;144
" ";"2012";1.5;245
" ";"2013";1.6;183
" ";"2014";3.2;168
" ";"2015";4.3;183
" ";"2016";1.6;175
" ";"2017";1.1;249
"Lovrenc na Pohorju"
" ";"2002";3.8;99
" ";"2003";1.9;116
" ";"2004";1.3;243
" ";"2005";1.9;196
" ";"2006";2.5;166
" ";"2007";2.2;185
" ";"2008";1.6;155
" ";"2009";2.2;155
" ";"2010";8.0;85
" ";"2011";1.9;164
" ";"2012";2.6;165
" ";"2013";3.8;123
" ";"2014";1.3;123
" ";"2015";2.6;103
" ";"2016";1.0;84
" ";"2017";1.3;128
"Luèe"
" ";"2002";1.3;136
" ";"2003";1.9;173
" ";"2004";1.3;150
" ";"2005";1.2;140
" ";"2006";3.7;160
" ";"2007";0.6;156
" ";"2008";0.6;179
" ";"2009";0.7;197
" ";"2010";1.3;134
" ";"2011";1.3;155
" ";"2012";0.7;209
" ";"2013";0.7;192
" ";"2014";0.7;42
" ";"2015";2.7;111
" ";"2016";1.3;95
" ";"2017";2.0;127
"Lukovica"
" ";"2002";4.2;132
" ";"2003";2.1;160
" ";"2004";2.2;156
" ";"2005";1.0;147
" ";"2006";2.2;164
" ";"2007";3.4;152
" ";"2008";4.2;159
" ";"2009";2.8;148
" ";"2010";1.1;152
" ";"2011";0.7;150
" ";"2012";0.5;185
" ";"2013";1.4;142
" ";"2014";1.4;185
" ";"2015";3.5;113
" ";"2016";2.3;148
" ";"2017";1.9;167
"Majšperk"
" ";"2002";2.2;75
" ";"2003";1.0;106
" ";"2004";2.7;89
" ";"2005";1.2;96
" ";"2006";2.9;128
" ";"2007";1.5;111
" ";"2008";2.9;157
" ";"2009";1.5;108
" ";"2010";1.9;104
" ";"2011";1.5;151
" ";"2012";1.0;86
" ";"2013";0.8;207
" ";"2014";0.8;141
" ";"2015";0.5;87
" ";"2016";1.0;234
" ";"2017";3.5;166
"Makole"
" ";"2002";-;-
" ";"2003";-;-
" ";"2004";-;-
" ";"2005";-;-
" ";"2006";-;-
" ";"2007";0.5;188
" ";"2008";0.0;0
" ";"2009";1.4;121
" ";"2010";1.9;191
" ";"2011";3.4;200
" ";"2012";3.4;117
" ";"2013";2.0;99
" ";"2014";3.5;102
" ";"2015";1.5;93
" ";"2016";1.5;120
" ";"2017";2.5;191
"Maribor"
" ";"2002";3.8;108
" ";"2003";5.9;94
" ";"2004";4.8;90
" ";"2005";5.8;88
" ";"2006";3.8;105
" ";"2007";6.3;97
" ";"2008";8.1;73
" ";"2009";3.4;97
" ";"2010";1.0;165
" ";"2011";0.9;174
" ";"2012";0.5;162
" ";"2013";0.6;152
" ";"2014";0.8;144
" ";"2015";0.8;171
" ";"2016";0.6;139
" ";"2017";0.8;147
"Markovci"
" ";"2002";2.0;114
" ";"2003";2.7;91
" ";"2004";3.7;115
" ";"2005";1.7;122
" ";"2006";1.7;108
" ";"2007";2.0;172
" ";"2008";1.3;144
" ";"2009";2.8;122
" ";"2010";1.3;114
" ";"2011";1.5;227
" ";"2012";2.0;182
" ";"2013";0.5;135
" ";"2014";1.0;195
" ";"2015";0.5;113
" ";"2016";2.0;164
" ";"2017";2.5;164
"Medvode"
" ";"2002";2.5;126
" ";"2003";2.1;235
" ";"2004";5.0;137
" ";"2005";4.5;166
" ";"2006";3.9;187
" ";"2007";5.7;157
" ";"2008";6.3;172
" ";"2009";9.9;142
" ";"2010";4.8;148
" ";"2011";3.3;145
" ";"2012";2.5;159
" ";"2013";2.3;172
" ";"2014";2.6;144
" ";"2015";2.2;150
" ";"2016";1.4;168
" ";"2017";1.4;192
"Mengeš"
" ";"2002";0.4;98
" ";"2003";0.6;141
" ";"2004";0.0;0
" ";"2005";1.6;122
" ";"2006";7.0;64
" ";"2007";2.2;91
" ";"2008";4.2;122
" ";"2009";1.6;160
" ";"2010";0.4;141
" ";"2011";0.7;127
" ";"2012";0.5;134
" ";"2013";0.0;0
" ";"2014";1.9;68
" ";"2015";2.5;140
" ";"2016";2.3;156
" ";"2017";2.4;159
"Metlika"
" ";"2002";3.9;120
" ";"2003";1.3;152
" ";"2004";2.4;133
" ";"2005";1.4;123
" ";"2006";2.1;179
" ";"2007";2.5;150
" ";"2008";2.7;123
" ";"2009";2.0;115
" ";"2010";1.8;94
" ";"2011";2.7;145
" ";"2012";1.9;130
" ";"2013";2.4;189
" ";"2014";1.9;123
" ";"2015";2.3;157
" ";"2016";1.6;152
" ";"2017";1.1;151
"Mežica"
" ";"2002";0.0;0
" ";"2003";1.5;78
" ";"2004";4.8;76
" ";"2005";1.8;79
" ";"2006";2.1;92
" ";"2007";0.0;0
" ";"2008";0.3;212
" ";"2009";1.6;150
" ";"2010";0.0;0
" ";"2011";0.3;112
" ";"2012";0.3;242
" ";"2013";0.6;221
" ";"2014";0.0;0
" ";"2015";0.6;114
" ";"2016";0.6;86
" ";"2017";0.8;50
"Miklavž na Dravskem polju"
" ";"2002";6.5;116
" ";"2003";3.5;130
" ";"2004";5.8;135
" ";"2005";9.8;91
" ";"2006";4.9;161
" ";"2007";4.5;115
" ";"2008";7.4;120
" ";"2009";8.0;177
" ";"2010";4.6;163
" ";"2011";7.0;162
" ";"2012";2.2;150
" ";"2013";2.5;135
" ";"2014";4.0;196
" ";"2015";1.4;157
" ";"2016";1.4;127
" ";"2017";3.0;143
"Miren - Kostanjevica"
" ";"2002";3.1;194
" ";"2003";3.7;152
" ";"2004";3.5;147
" ";"2005";3.3;164
" ";"2006";4.8;180
" ";"2007";4.3;156
" ";"2008";4.2;134
" ";"2009";3.9;158
" ";"2010";8.1;164
" ";"2011";1.9;117
" ";"2012";1.9;193
" ";"2013";1.6;166
" ";"2014";2.1;139
" ";"2015";1.4;154
" ";"2016";1.7;112
" ";"2017";2.3;165
"Mirna"
" ";"2002";-;-
" ";"2003";-;-
" ";"2004";-;-
" ";"2005";-;-
" ";"2006";-;-
" ";"2007";-;-
" ";"2008";-;-
" ";"2009";-;-
" ";"2010";-;-
" ";"2011";-;-
" ";"2012";0.0;0
" ";"2013";0.4;83
" ";"2014";0.4;248
" ";"2015";3.2;169
" ";"2016";2.4;214
" ";"2017";3.1;201
"Mirna Peè"
" ";"2002";3.3;137
" ";"2003";2.9;119
" ";"2004";1.8;88
" ";"2005";4.0;119
" ";"2006";4.3;152
" ";"2007";1.8;121
" ";"2008";1.1;169
" ";"2009";2.2;168
" ";"2010";1.4;145
" ";"2011";1.1;216
" ";"2012";0.4;40
" ";"2013";2.4;145
" ";"2014";0.7;154
" ";"2015";3.1;163
" ";"2016";2.4;166
" ";"2017";2.4;166
"Mislinja"
" ";"2002";4.7;99
" ";"2003";4.7;107
" ";"2004";2.3;119
" ";"2005";4.6;184
" ";"2006";1.7;170
" ";"2007";2.5;182
" ";"2008";1.9;159
" ";"2009";13.9;70
" ";"2010";1.7;215
" ";"2011";1.1;189
" ";"2012";1.3;218
" ";"2013";1.3;197
" ";"2014";1.3;171
" ";"2015";1.7;172
" ";"2016";0.4;162
" ";"2017";0.7;180
"Mokronog - Trebelno"
" ";"2002";-;-
" ";"2003";-;-
" ";"2004";-;-
" ";"2005";-;-
" ";"2006";-;-
" ";"2007";0.0;0
" ";"2008";3.1;129
" ";"2009";0.0;0
" ";"2010";1.7;170
" ";"2011";3.0;179
" ";"2012";4.0;189
" ";"2013";2.3;135
" ";"2014";2.0;170
" ";"2015";2.6;176
" ";"2016";2.0;175
" ";"2017";7.3;145
"Moravèe"
" ";"2002";6.9;132
" ";"2003";2.9;135
" ";"2004";1.7;148
" ";"2005";1.9;172
" ";"2006";1.9;149
" ";"2007";2.5;163
" ";"2008";3.1;185
" ";"2009";3.5;192
" ";"2010";3.0;151
" ";"2011";1.8;151
" ";"2012";2.2;181
" ";"2013";2.3;159
" ";"2014";1.2;188
" ";"2015";1.1;149
" ";"2016";1.0;126
" ";"2017";0.8;264
"Moravske Toplice"
" ";"2002";5.1;112
" ";"2003";2.6;121
" ";"2004";3.9;82
" ";"2005";3.5;98
" ";"2006";2.6;112
" ";"2007";4.0;97
" ";"2008";3.8;121
" ";"2009";3.6;145
" ";"2010";3.8;119
" ";"2011";3.4;140
" ";"2012";2.2;160
" ";"2013";2.9;130
" ";"2014";2.2;135
" ";"2015";1.5;85
" ";"2016";2.4;143
" ";"2017";2.9;137
"Mozirje"
" ";"2002";1.9;140
" ";"2003";0.9;159
" ";"2004";1.9;185
" ";"2005";9.0;92
" ";"2006";8.9;88
" ";"2007";1.7;189
" ";"2008";1.2;160
" ";"2009";2.0;129
" ";"2010";2.5;143
" ";"2011";3.2;135
" ";"2012";18.5;73
" ";"2013";11.7;99
" ";"2014";0.7;202
" ";"2015";4.7;138
" ";"2016";1.7;136
" ";"2017";2.0;214
"Murska Sobota"
" ";"2002";0.9;129
" ";"2003";0.8;112
" ";"2004";1.3;86
" ";"2005";1.3;99
" ";"2006";1.9;108
" ";"2007";1.6;120
" ";"2008";1.8;106
" ";"2009";1.8;138
" ";"2010";1.6;136
" ";"2011";1.3;146
" ";"2012";0.9;184
" ";"2013";0.6;196
" ";"2014";1.0;156
" ";"2015";1.4;85
" ";"2016";3.1;79
" ";"2017";0.7;139
"Muta"
" ";"2002";1.1;82
" ";"2003";3.5;109
" ";"2004";7.3;96
" ";"2005";3.0;138
" ";"2006";6.3;86
" ";"2007";1.4;142
" ";"2008";3.6;126
" ";"2009";2.5;164
" ";"2010";1.7;127
" ";"2011";1.4;178
" ";"2012";0.0;0
" ";"2013";0.6;124
" ";"2014";2.3;142
" ";"2015";1.5;161
" ";"2016";1.5;118
" ";"2017";2.4;152
"Naklo"
" ";"2002";6.1;160
" ";"2003";2.8;128
" ";"2004";3.6;200
" ";"2005";1.8;166
" ";"2006";2.8;192
" ";"2007";3.3;164
" ";"2008";3.7;202
" ";"2009";2.7;169
" ";"2010";2.1;181
" ";"2011";1.9;160
" ";"2012";1.5;220
" ";"2013";1.3;112
" ";"2014";0.9;280
" ";"2015";1.1;161
" ";"2016";2.1;135
" ";"2017";1.1;176
"Nazarje"
" ";"2002";0.4;115
" ";"2003";1.1;172
" ";"2004";1.5;188
" ";"2005";0.8;145
" ";"2006";0.8;145
" ";"2007";0.8;158
" ";"2008";0.0;0
" ";"2009";1.5;135
" ";"2010";1.5;142
" ";"2011";12.3;53
" ";"2012";0.8;183
" ";"2013";0.8;148
" ";"2014";1.6;161
" ";"2015";1.2;103
" ";"2016";1.2;125
" ";"2017";10.8;61
"Nova Gorica"
" ";"2002";2.8;146
" ";"2003";4.8;112
" ";"2004";3.8;132
" ";"2005";2.5;137
" ";"2006";4.9;100
" ";"2007";4.9;98
" ";"2008";3.4;101
" ";"2009";9.8;73
" ";"2010";2.5;100
" ";"2011";1.5;125
" ";"2012";2.4;126
" ";"2013";1.0;125
" ";"2014";0.9;118
" ";"2015";1.0;129
" ";"2016";1.8;152
" ";"2017";1.0;141
"Novo mesto"
" ";"2002";2.2;139
" ";"2003";1.8;132
" ";"2004";2.6;106
" ";"2005";2.2;142
" ";"2006";5.6;83
" ";"2007";7.1;108
" ";"2008";6.1;116
" ";"2009";1.9;169
" ";"2010";1.1;167
" ";"2011";0.8;146
" ";"2012";0.9;164
" ";"2013";1.1;177
" ";"2014";1.3;156
" ";"2015";1.3;182
" ";"2016";1.1;173
" ";"2017";1.1;166
"Odranci"
" ";"2002";2.9;188
" ";"2003";4.7;99
" ";"2004";2.3;234
" ";"2005";1.2;160
" ";"2006";1.8;147
" ";"2007";1.2;238
" ";"2008";1.2;252
" ";"2009";2.4;216
" ";"2010";1.8;181
" ";"2011";1.8;207
" ";"2012";3.0;158
" ";"2013";2.4;126
" ";"2014";4.3;128
" ";"2015";1.2;73
" ";"2016";3.1;146
" ";"2017";2.5;137
"Oplotnica"
" ";"2002";2.5;171
" ";"2003";1.8;151
" ";"2004";2.0;196
" ";"2005";2.8;190
" ";"2006";6.6;132
" ";"2007";5.0;144
" ";"2008";4.8;187
" ";"2009";6.4;113
" ";"2010";3.0;163
" ";"2011";3.3;178
" ";"2012";4.5;178
" ";"2013";3.5;155
" ";"2014";2.7;145
" ";"2015";2.2;144
" ";"2016";3.4;160
" ";"2017";1.7;129
"Ormož"
" ";"2002";2.9;125
" ";"2003";2.3;124
" ";"2004";2.3;109
" ";"2005";2.3;122
" ";"2006";2.8;130
" ";"2007";3.7;145
" ";"2008";3.0;150
" ";"2009";4.1;125
" ";"2010";4.4;103
" ";"2011";1.3;97
" ";"2012";1.8;144
" ";"2013";2.3;132
" ";"2014";4.1;84
" ";"2015";1.7;131
" ";"2016";3.0;126
" ";"2017";2.4;131
"Osilnica"
" ";"2002";0.0;0
" ";"2003";0.0;0
" ";"2004";2.3;142
" ";"2005";2.3;130
" ";"2006";4.7;43
" ";"2007";2.3;86
" ";"2008";0.0;0
" ";"2009";0.0;0
" ";"2010";17.3;64
" ";"2011";2.5;60
" ";"2012";4.8;174
" ";"2013";2.6;50
" ";"2014";0.0;0
" ";"2015";0.0;0
" ";"2016";0.0;0
" ";"2017";2.7;114
"Pesnica"
" ";"2002";4.9;131
" ";"2003";3.0;143
" ";"2004";4.3;121
" ";"2005";3.6;141
" ";"2006";7.4;117
" ";"2007";4.4;134
" ";"2008";4.5;161
" ";"2009";4.6;152
" ";"2010";2.8;143
" ";"2011";2.3;178
" ";"2012";1.6;150
" ";"2013";2.3;157
" ";"2014";1.3;166
" ";"2015";1.2;177
" ";"2016";1.8;138
" ";"2017";1.8;162
"Piran/Pirano"
" ";"2002";3.9;79
" ";"2003";1.9;91
" ";"2004";4.3;81
" ";"2005";9.6;116
" ";"2006";4.7;100
" ";"2007";4.1;110
" ";"2008";7.3;76
" ";"2009";7.2;80
" ";"2010";2.0;107
" ";"2011";0.9;131
" ";"2012";2.9;96
" ";"2013";2.1;105
" ";"2014";0.8;183
" ";"2015";1.1;145
" ";"2016";1.2;152
" ";"2017";0.7;163
"Pivka"
" ";"2002";3.5;151
" ";"2003";8.4;76
" ";"2004";3.7;143
" ";"2005";2.5;157
" ";"2006";3.0;138
" ";"2007";1.7;109
" ";"2008";3.0;137
" ";"2009";3.3;117
" ";"2010";2.5;128
" ";"2011";3.9;139
" ";"2012";2.2;164
" ";"2013";2.5;134
" ";"2014";2.3;166
" ";"2015";2.3;206
" ";"2016";0.7;129
" ";"2017";0.8;118
"Podèetrtek"
" ";"2002";8.5;59
" ";"2003";7.2;83
" ";"2004";9.0;60
" ";"2005";6.3;86
" ";"2006";6.0;84
" ";"2007";11.1;92
" ";"2008";4.3;107
" ";"2009";10.9;80
" ";"2010";4.8;122
" ";"2011";7.8;96
" ";"2012";11.7;78
" ";"2013";32.8;81
" ";"2014";2.7;100
" ";"2015";4.8;114
" ";"2016";1.8;135
" ";"2017";1.8;159
"Podlehnik"
" ";"2002";1.0;80
" ";"2003";2.1;81
" ";"2004";1.0;101
" ";"2005";1.5;96
" ";"2006";4.1;132
" ";"2007";2.6;87
" ";"2008";1.0;130
" ";"2009";1.6;101
" ";"2010";1.1;130
" ";"2011";0.5;110
" ";"2012";0.5;204
" ";"2013";0.5;238
" ";"2014";1.1;98
" ";"2015";1.1;126
" ";"2016";2.8;156
" ";"2017";1.1;111
"Podvelka"
