Prebivalstvo po: SPOL, STATISTIÈNA REGIJA, LETO , STAROST;;;;
;;;;
Spol - SKUPAJ;;;;
 ; ; ;Starost - SKUPAJ;45229
 ; ;2008;;
 ; ; ;Starost - SKUPAJ;45226
 ; ;2009;;
 ; ; ;Starost - SKUPAJ;44750
 ; ;2010;;
 ; ; ;Starost - SKUPAJ;44706
 ; ;2011;;
 ; ; ;Starost - SKUPAJ;44222
 ; ;2012;;
 ; ; ;Starost - SKUPAJ;43926
 ; ;2013;;
 ; ; ;Starost - SKUPAJ;43502
 ; ;2014;;
 ; ; ;Starost - SKUPAJ;42983
 ; ;2015;;
 ; ; ;Starost - SKUPAJ;57711
 ; ;2016;;
 ; ; ;Starost - SKUPAJ;57404
 ; ;2017;;
 ; ; ;Starost - SKUPAJ;57280
 ; ;2018;;
 ; ; ;Starost - SKUPAJ;57061
 ;Posavska;;;
 ; ;2000;;
 ; ; ;Starost - SKUPAJ;69844
 ; ;2001;;
 ; ; ;Starost - SKUPAJ;69702
 ; ;2002;;
 ; ; ;Starost - SKUPAJ;69814
 ; ;2003;;
 ; ; ;Starost - SKUPAJ;69895
 ; ;2004;;
 ; ; ;Starost - SKUPAJ;70055
 ; ;2005;;
 ; ; ;Starost - SKUPAJ;69826
 ; ;2006;;
 ; ; ;Starost - SKUPAJ;69899
 ; ;2007;;
 ; ; ;Starost - SKUPAJ;70058
 ; ;2008;;
 ; ; ;Starost - SKUPAJ;70353
 ; ;2009;;
 ; ; ;Starost - SKUPAJ;69900
 ; ;2010;;
 ; ; ;Starost - SKUPAJ;70192
 ; ;2011;;
 ; ; ;Starost - SKUPAJ;70167
 ; ;2012;;
 ; ; ;Starost - SKUPAJ;70164
 ; ;2013;;
 ; ; ;Starost - SKUPAJ;70211
 ; ;2014;;
 ; ; ;Starost - SKUPAJ;69958
 ; ;2015;;
 ; ; ;Starost - SKUPAJ;75619
 ; ;2016;;
 ; ; ;Starost - SKUPAJ;75711
 ; ;2017;;
