"";"Občina";"X2005";"X2006";"X2007";"X2008";"X2009";"X2010";"X2011";"X2012";"X2013";"X2014";"X2015";"X2016";"X2017"
"50";"Hodoš/Hodos";847,9;874,71;822,4;751,87;772,64;800,87;825;797,26;811,43;765,29;870,38;881,13;869,31
"51";"Horjul";728,65;755,35;803,58;847,25;833,3;916,28;938,1;937,08;938,57;979,67;1016,06;1020,16;1076,63
"52";"Hrastnik";637,07;658,98;705,54;764,42;784,03;824,34;870,03;869,74;882,04;881,25;899,75;920,67;955,3
"53";"Hrpelje - Kozina";689,45;705,12;769,03;792,8;820,69;864,39;881,21;880,12;863,53;892,08;915,58;921,04;931,54
"54";"Idrija";710,54;743,41;813,15;838,79;848,31;923,75;944,03;953,24;970,89;990,55;994,12;1042,02;1090,82
"55";"Ig";722,03;743,9;799,79;863,92;908,53;939,41;944,98;942,18;934,47;917,93;924,93;956,8;985,5
"56";"Ilirska Bistrica";653,44;684,39;724,36;791,78;841,57;872,61;944,98;891,5;907,02;910,66;925,19;942,4;989,68
"57";"Ivančna Gorica";674,61;714,4;791,24;832,08;812,33;884,29;918,62;906,96;943,11;964,13;974,15;1006,65;1025,39
"58";"Izola/Isola";675,38;701,79;757,13;819,79;884,55;914,14;933,88;946,66;960,69;973,11;973,99;976,45;994,28
"59";"Jesenice";715,91;757,62;810,48;859,07;904,26;942,65;964,88;982,94;987,81;1006,05;1013,75;1036,17;1078,96
"60";"Jezersko";779,87;818,16;806,55;784,21;803,36;849,45;835,94;819,03;905,14;921,54;1007,57;925,39;969,87
"61";"Juršinci";725,85;761,87;815,49;863,54;896,33;916,13;913,19;846,23;817,49;864,06;876,65;905,81;922,42
"62";"Kamnik";647,56;691,86;740,33;809,38;845,76;887,69;898,37;896,85;897,46;898,68;926,54;948,7;969,92
"63";"Kanal";721,41;788,16;910,4;938,96;979,49;973,76;993,17;1002,29;931,46;955,87;960,06;964,06;1011,3
"64";"Kidričevo";578,06;639,88;714,91;766,1;719,28;740,69;756,12;788,38;823,27;833,92;831,51;833;874,77
"65";"Kobarid";617,3;722,7;767,95;811,2;828,21;859,28;878,18;861,35;872,47;901,46;884,72;896,19;909,89
"66";"Kobilje";857;870,46;777,65;804,59;790,28;834,12;868,91;815,2;818,88;835,83;862,42;890,77;946,23
"67";"Kočevje";621,73;656,93;700,8;758,95;794,42;844,5;862,65;862,63;869,93;875,23;887,93;907,24;935,08
"68";"Komen";683,16;739,57;784,25;847,7;857,25;884,21;889,49;895,25;844,01;834,57;846,05;854,93;872,75
"69";"Komenda";621,96;647,8;767,1;866,31;918,14;1000,33;1017,57;1018,46;1015,49;1018,36;1059,7;1098,88;1156,69
"70";"Koper/Capodistria";756,24;805,6;868,13;941,87;973,33;994,8;1010,03;1016,36;1020,49;1029,76;1049,49;1066,58;1100,66
"71";"Kostanjevica na Krki";518,74;518,13;532,18;582,32;591,54;667,29;706,11;710,74;710,32;703,03;704,07;747,82;774,14
"72";"Kostel";627,96;679,49;744,45;814,06;866,84;878,85;887,26;900,18;849,98;838,18;929,49;934,61;954,95
"73";"Kozje";627,66;672,12;765,34;799,03;845,66;863,07;881,47;892,45;863,72;879,25;897,14;925,28;945,55
"74";"Kranj";755,62;798,76;856,49;929,06;951,52;987,75;1008,79;1027,88;1027,52;1022,17;1034,31;1044,37;1072,85
"75";"Kranjska Gora";734,12;752,83;817,8;860,96;864,62;869,34;890,69;877,77;881,61;886,62;884,13;900,34;938,11
"76";"Križevci";674,97;733,75;814,95;883,37;944,68;938,26;946,67;977,25;987,7;974,33;978,17;1004,05;1044,71
"77";"Krško";739,08;771,39;861,6;932,58;951;986,85;1001,97;1021,78;1021,21;1031,32;1045,54;1059,11;1097
"78";"Kungota";669,87;687,2;765,53;816,82;847,55;859,22;879,69;893,92;888,59;871,38;866,25;852,4;867,43
"79";"Kuzma";638,15;632,24;664,82;706,86;698,45;734,02;821,27;781,11;772,23;797,67;818,42;803,84;829,75
"80";"Laško";713,59;745,98;781,15;837,76;857,97;896,9;928,53;924,79;900,65;887,13;912,18;926,55;944,51
"81";"Lenart";651,26;664,33;691,45;745,38;775,1;811,55;823,31;826,33;836,76;850,68;874,43;884,93;930,06
"82";"Lendava/Lendva";677,39;692,22;737,06;807,38;844,09;881,53;884,69;907,07;903,99;894,62;901,4;924,11;955,2
"83";"Litija";625,33;648,52;694,45;749,77;778,37;823,34;842,47;840,67;838,63;875,42;851,45;884,3;912,5
"84";"Ljubljana";848,09;889,75;963,6;1042,35;1081,27;1106,95;1125,64;1124,97;1125,61;1130,74;1140,33;1159,83;1197,56
"85";"Ljubno";609,26;614,89;660,32;736,21;770,48;825,13;837,57;881,1;911,61;909,97;939,49;964,19;1003,81
"86";"Ljutomer";614,26;641,01;700,07;770,64;806,66;881,04;891,48;904,37;913,45;922,25;926,72;952,18;992,31
"87";"Log - Dragomer";607,73;656,59;742,09;745,43;781,91;811,1;779,16;814,07;879,19;884,93;895,82;908,44;941,86
"88";"Logatec";648,7;688,09;739,76;815,12;872,77;907,71;930,81;940,37;939,82;945,93;945,89;970,51;998,01
"89";"Loška dolina";661,93;693,33;757,79;799,78;796,41;836,57;844,59;828,85;817,28;803,78;818,95;856,09;882,85
"90";"Loški Potok";671,38;727,94;776,33;853,25;836,64;892,68;935,17;936,79;884,82;935,6;962,99;976,19;1006,02
"91";"Lovrenc na Pohorju";583,6;606,37;691,63;771,01;781,22;822;804,87;821,51;804,99;816,83;837,36;866,15;893,83
"92";"Luče";575,55;595,21;630,28;676,93;732,25;800,87;851,48;843,28;850,44;878,99;851,6;844,64;868,71
"93";"Lukovica";639,23;704,07;778,94;927,96;971,57;1029,02;1007,62;1002,25;1019,49;1011,98;1003,91;1042,1;1073,66
"94";"Majšperk";633,83;529,65;604,46;644,46;748,18;747,05;796,53;789,13;780,68;799,29;808,55;828,97;875,1
"95";"Makole";536,62;547,88;706,77;636,36;718,84;748,32;752,99;793,87;810,98;785,92;778,33;827,35;868,98
"96";"Maribor";727,61;764,21;813,09;871,09;909,07;945,16;964,64;969,07;966,4;971,46;980,8;997,25;1026,49
"97";"Markovci";677,49;706,24;759,33;800,69;833,29;876,54;870,17;859,67;854,99;822,03;809,85;865,56;876,73
"98";"Medvode";699,56;729,18;789,48;842,29;885,27;929,43;927,07;928,29;938;943,19;948,37;973,11;1001,94
"99";"Mengeš";735,46;693,98;751,92;815,98;819,66;845,62;957,21;937,73;918,34;937,86;947,68;947,73;955,72
"100";"Metlika";584,55;606,44;661,56;721,15;749,19;777,11;819,89;812,78;828,38;832,23;850,26;863,1;886,53
"101";"Mežica";636,81;675,3;732,5;821,67;854,51;908,5;944,23;940,28;966,6;1024,66;1039,03;1048,19;1083,74
"102";"Miklavž na Dravskem polju";627,58;679,08;740,03;794,23;801,44;817,36;868,49;891,79;852,28;848,96;839,99;839,26;856,16
"103";"Miren - Kostanjevica";643,05;703,94;763,48;823,22;823,17;864,91;885,76;902,98;924,33;928,36;920,68;942,13;966,9
"104";"Mirna";NA;NA;NA;NA;NA;NA;NA;916,5;924,61;925,82;941,2;955,05;1014,7
"105";"Mirna Peč";706,05;731,95;800,95;844,18;864,67;894,67;947,37;892,86;885,79;914,84;889,98;896,72;918,04
"106";"Mislinja";647,31;640,3;725,5;840,08;781,76;827;818,88;852,6;853,18;842,85;826,42;821,35;824,86
"107";"Mokronog - Trebelno";583,79;624,07;671,95;760,04;747,95;819,52;870,85;834,47;833,39;871,9;886,48;907,2;919,57
"108";"Moravče";726,43;793,5;878,7;913,21;856,43;899,7;922,43;903,47;886,38;920,97;935,27;945,51;951,98
"109";"Moravske Toplice";648,59;668,93;710,34;767,96;797,83;810,54;818,79;822,11;815,46;810,79;794,34;819,24;833,88
"110";"Mozirje";696,1;714,06;766,04;828,84;837,32;862,3;878,32;882,07;883,31;868,88;888,14;909,52;957,39
"111";"Murska Sobota";635,4;663,65;706,57;762,37;834,05;894,32;902,34;905,37;912,37;941,59;959,41;980,28;1012,23
"112";"Muta";636,87;675,59;741,13;788;773,22;826,71;861,27;862,36;894,18;907,67;927,47;950,58;972,44
"113";"Naklo";721,09;761,25;843,96;893,53;874,83;911,21;957,41;957,83;995,43;974,86;941,9;960,39;992,57
"114";"Nazarje";580,68;613,3;653,07;693,99;712,26;816,77;841,88;854,37;888,54;931,76;973,97;983,8;1019,61
"115";"Nova Gorica";816,22;855,31;924,2;971,55;994,66;1027,89;1032,97;1022,04;1016,28;1017,28;1027,2;1041,9;1073,36
