"Dovoljenja za gradnjo stavb: število stavb, njihova gradbena velikost"
"in stanovanja v njih po: INVESTITOR, STATISTIÈNA REGIJA, TIP STAVBE,"
"LETO , MERITVE"

"Investitor";"Regija";"Tip objekta";"Leto";"Število stavb";"Površina stavb      [m2]"
"Investitor - SKUPAJ"
" ";"SLOVENIJA"
" ";" ";" ";"2010";416;133570
" ";" ";" ";"2011";372;106146
" ";" ";" ";"2012";334;112377
" ";" ";" ";"2013";332;77033
" ";" ";" ";"2014";284;66333
" ";" ";" ";"2015";309;68732
" ";" ";" ";"2016";306;71924
" ";" ";" ";"2017";330;77191
" ";" ";"Nestanovanjske stavbe"
" ";" ";" ";"2007";160;251681
" ";" ";" ";"2008";151;120587
" ";" ";" ";"2009";108;89723
" ";" ";" ";"2010";122;108209
" ";" ";" ";"2011";110;63136
" ";" ";" ";"2012";95;53236
" ";" ";" ";"2013";106;61731
" ";" ";" ";"2014";80;35771
" ";" ";" ";"2015";357;73412
" ";" ";" ";"2016";676;141907
" ";" ";" ";"2017";646;127093
" ";"Zasavska"
" ";" ";"Tip stavbe - SKUPAJ"
" ";" ";" ";"2007";55;30768
" ";" ";" ";"2008";44;16354
" ";" ";" ";"2009";35;9691
" ";" ";" ";"2010";37;37389
" ";" ";" ";"2011";32;8057
" ";" ";" ";"2012";30;9006
" ";" ";" ";"2013";40;13963
" ";" ";" ";"2014";29;6785
" ";" ";" ";"2015";92;21799
" ";" ";" ";"2016";90;17721
" ";" ";" ";"2017";61;23048
" ";" ";"Stanovanjske stavbe"
" ";" ";" ";"2007";39;12279
" ";" ";" ";"2008";37;11291
" ";" ";" ";"2009";25;6489
" ";" ";" ";"2010";19;30093
" ";" ";" ";"2011";24;6741
" ";" ";" ";"2012";25;7646
" ";" ";" ";"2013";23;6582
" ";" ";" ";"2014";26;6389
" ";" ";" ";"2015";44;16146
" ";" ";" ";"2016";39;9550
" ";" ";" ";"2017";37;8918
" ";" ";"Nestanovanjske stavbe"
" ";" ";" ";"2007";16;18489
" ";" ";" ";"2008";7;5063
" ";" ";" ";"2009";10;3202
" ";" ";" ";"2010";18;7296
" ";" ";" ";"2011";8;1316
" ";" ";" ";"2012";5;1360
" ";" ";" ";"2013";17;7381
" ";" ";" ";"2014";3;396
" ";" ";" ";"2015";48;5653
" ";" ";" ";"2016";51;8171
" ";" ";" ";"2017";24;14130
" ";"Posavska"
" ";" ";"Tip stavbe - SKUPAJ"
" ";" ";" ";"2007";230;77415
" ";" ";" ";"2008";303;100488
" ";" ";" ";"2009";261;99502
" ";" ";" ";"2010";220;51028
" ";" ";" ";"2011";188;45499
" ";" ";" ";"2012";135;33338
" ";" ";" ";"2013";144;35792
" ";" ";" ";"2014";176;47511
" ";" ";" ";"2015";412;60721
" ";" ";" ";"2016";475;76716
" ";" ";" ";"2017";429;75829
" ";" ";"Stanovanjske stavbe"
" ";" ";" ";"2007";130;45231
" ";" ";" ";"2008";190;51460
" ";" ";" ";"2009";153;40069
" ";" ";" ";"2010";129;31860
" ";" ";" ";"2011";90;23340
" ";" ";" ";"2012";80;19082
" ";" ";" ";"2013";94;25093
" ";" ";" ";"2014";122;29467
" ";" ";" ";"2015";110;25760
" ";" ";" ";"2016";111;25978
" ";" ";" ";"2017";112;26397
" ";" ";"Nestanovanjske stavbe"
" ";" ";" ";"2007";100;32184
" ";" ";" ";"2008";113;49028
" ";" ";" ";"2009";108;59433
" ";" ";" ";"2010";91;19168
" ";" ";" ";"2011";98;22159
" ";" ";" ";"2012";55;14256
" ";" ";" ";"2013";50;10699
" ";" ";" ";"2014";54;18044
" ";" ";" ";"2015";302;34961
" ";" ";" ";"2016";364;50738
" ";" ";" ";"2017";317;49432
" ";"Jugovzhodna Slovenija"
" ";" ";"Tip stavbe - SKUPAJ"
" ";" ";" ";"2007";507;182847
" ";" ";" ";"2008";397;108663
" ";" ";" ";"2009";339;103148
" ";" ";" ";"2010";383;118609
" ";" ";" ";"2011";414;126847
" ";" ";" ";"2012";384;140539
" ";" ";" ";"2013";381;118505
" ";" ";" ";"2014";452;135572
" ";" ";" ";"2015";770;147978
" ";" ";" ";"2016";751;160314
" ";" ";" ";"2017";808;197275
" ";" ";"Stanovanjske stavbe"
" ";" ";" ";"2007";342;120912
" ";" ";" ";"2008";235;63541
" ";" ";" ";"2009";194;59284
" ";" ";" ";"2010";200;51819
" ";" ";" ";"2011";214;59420
" ";" ";" ";"2012";234;61377
" ";" ";" ";"2013";215;57251
" ";" ";" ";"2014";261;65021
" ";" ";" ";"2015";276;66809
" ";" ";" ";"2016";204;56669
" ";" ";" ";"2017";227;55232
" ";" ";"Nestanovanjske stavbe"
" ";" ";" ";"2007";165;61935
" ";" ";" ";"2008";162;45122
" ";" ";" ";"2009";145;43864
" ";" ";" ";"2010";183;66790
" ";" ";" ";"2011";200;67427
" ";" ";" ";"2012";150;79162
" ";" ";" ";"2013";166;61254
" ";" ";" ";"2014";191;70551
" ";" ";" ";"2015";494;81169
" ";" ";" ";"2016";547;103645
" ";" ";" ";"2017";581;142043
" ";"Osrednjeslovenska"
" ";" ";"Tip stavbe - SKUPAJ"
" ";" ";" ";"2007";1180;959201
" ";" ";" ";"2008";1014;624277
" ";" ";" ";"2009";906;545754
" ";" ";" ";"2010";681;579762
" ";" ";" ";"2011";633;364141
" ";" ";" ";"2012";629;244228
" ";" ";" ";"2013";718;343689
" ";" ";" ";"2014";587;217703
" ";" ";" ";"2015";499;168995
" ";" ";" ";"2016";948;287770
" ";" ";" ";"2017";946;349742
" ";" ";"Stanovanjske stavbe"
